Noise Value,AUCROC_mean,AUCROC_std,AUCROC_count,MCC_mean,MCC_std,MCC_count,Model
0.01,79.1893,19.2247,233,0.2894,0.2472,235,AutoEncoder
0.05,69.0655,22.4716,233,0.1744,0.2544,235,AutoEncoder
0.1,60.2521,18.366,233,0.0516,0.1445,235,AutoEncoder
0.2,55.9875,15.6239,232,0.0143,0.0834,235,AutoEncoder
0.3,50.2333,14.2035,233,0.0021,0.0603,235,AutoEncoder
0.4,52.693,11.2035,233,-0.0004,0.041,235,AutoEncoder
0.5,50.2451,9.7398,233,0.0003,0.0466,235,AutoEncoder
0.01,75.3238,20.757,233,0.2256,0.252,235,COPOD
0.05,71.1169,23.5041,233,0.1791,0.2539,235,COPOD
0.1,66.7281,22.3316,233,0.1095,0.1998,235,COPOD
0.2,66.4054,20.0965,233,0.1001,0.181,235,COPOD
0.3,63.8875,21.616,233,0.0871,0.1756,235,COPOD
0.4,63.1773,19.9259,233,0.0641,0.1469,235,COPOD
0.5,64.0753,18.4995,233,0.065,0.1471,235,COPOD
0.01,72.0266,22.2366,233,0.2044,0.2564,235,DeepSVDD
0.05,66.0407,22.1787,233,0.1409,0.2312,235,DeepSVDD
0.1,59.4505,20.5457,233,0.0503,0.1311,235,DeepSVDD
0.2,56.4345,18.4811,233,0.0341,0.1042,235,DeepSVDD
0.3,55.3772,16.3562,233,0.0174,0.0809,235,DeepSVDD
0.4,55.2172,15.261,233,0.0119,0.0708,235,DeepSVDD
0.5,52.2395,12.9443,233,0.0042,0.0662,235,DeepSVDD
0.01,76.5244,17.8322,233,0.1978,0.2648,235,DIF
0.05,73.5266,20.4208,233,0.175,0.2725,235,DIF
0.1,70.5635,19.4519,233,0.1558,0.226,235,DIF
0.2,68.5983,19.0731,233,0.1545,0.2123,235,DIF
0.3,66.1491,17.5708,232,0.1075,0.1759,235,DIF
0.4,63.3412,16.7026,233,0.0868,0.1629,235,DIF
0.5,61.8797,16.6191,233,0.0891,0.1573,235,DIF
0.01,75.5126,20.6758,233,0.2361,0.2504,235,ECOD
0.05,71.0077,23.1092,233,0.1865,0.2437,235,ECOD
0.1,67.3994,22.3513,233,0.1227,0.191,235,ECOD
0.2,65.8606,21.5831,233,0.0944,0.1695,235,ECOD
0.3,65.8544,21.0275,233,0.0878,0.1528,235,ECOD
0.4,64.236,19.2482,233,0.0755,0.1489,235,ECOD
0.5,62.2321,18.6352,232,0.0674,0.1324,235,ECOD
0.01,77.3302,20.3518,233,0.2608,0.2426,235,IForest
0.05,68.6892,22.9933,233,0.159,0.2432,235,IForest
0.1,61.8535,22.7986,233,0.0548,0.151,235,IForest
0.2,59.1622,21.841,232,0.0241,0.0936,235,IForest
0.3,57.127,19.7315,231,0.0068,0.0544,235,IForest
0.4,56.2234,17.7496,233,0.0062,0.0504,235,IForest
0.5,55.2722,14.8345,233,-0.003,0.0514,235,IForest
0.01,81.5389,18.7471,233,0.3101,0.2646,235,KNN
0.05,69.4769,23.5967,233,0.1858,0.2772,235,KNN
0.1,60.5258,19.7828,233,0.061,0.1673,235,KNN
0.2,57.2648,17.3751,233,0.0327,0.1312,235,KNN
0.3,52.6496,14.496,233,0.0058,0.0595,235,KNN
0.4,52.8558,11.1855,232,0.0061,0.0697,235,KNN
0.5,51.5272,10.7513,233,0.0005,0.0399,235,KNN
0.01,82.0447,18.9882,231,0.3265,0.2744,235,LUNAR
0.05,69.784,23.3147,233,0.1922,0.2838,235,LUNAR
0.1,58.7385,19.1102,231,0.0557,0.1644,235,LUNAR
0.2,55.7945,15.785,231,0.0257,0.1223,235,LUNAR
0.3,53.0399,12.2554,230,0.006,0.0589,235,LUNAR
0.4,51.072,8.9047,231,-0.0051,0.06,235,LUNAR
0.5,51.555,9.8239,231,0.0005,0.0465,235,LUNAR
0.01,82.4675,18.7949,233,0.3739,0.3417,235,MSR
0.05,69.4753,22.9174,233,0.236,0.3534,235,MSR
0.1,59.4159,17.9576,233,0.0916,0.223,235,MSR
0.2,54.5379,13.2817,233,0.0574,0.1797,235,MSR
0.3,51.9875,7.4423,233,0.0293,0.1258,235,MSR
0.4,50.5914,5.1832,233,0.0054,0.0815,235,MSR
0.5,50.834,4.1344,233,0.0083,0.0565,235,MSR
0.01,67.6878,20.822,229,0.1232,0.1984,235,NeuTraLAD
0.05,59.3895,22.7038,229,0.0987,0.2122,235,NeuTraLAD
0.1,53.3468,18.8498,229,0.0336,0.1313,235,NeuTraLAD
0.2,51.8638,19.0676,231,0.0342,0.1561,235,NeuTraLAD
0.3,50.9972,16.7093,229,0.0176,0.1086,235,NeuTraLAD
0.4,50.9912,15.3596,232,0.0158,0.1272,235,NeuTraLAD
0.5,49.7547,16.4438,230,0.0162,0.1297,235,NeuTraLAD
0.01,75.5476,20.41,233,0.2357,0.2441,235,OCSVM
0.05,67.2956,22.8556,233,0.1532,0.2365,235,OCSVM
0.1,59.3588,19.413,233,0.0493,0.1233,235,OCSVM
0.2,55.8341,17.6183,233,0.025,0.0875,235,OCSVM
0.3,53.6177,13.4356,233,0.0067,0.0512,235,OCSVM
0.4,52.4117,10.6047,233,0.0028,0.0453,235,OCSVM
0.5,51.7251,9.2498,233,-0.0043,0.0592,235,OCSVM
0.01,76.2099,20.831,200,0.2372,0.2534,202,PCA
0.05,69.4445,22.6629,200,0.1659,0.2469,202,PCA
0.1,61.2576,21.1421,202,0.0482,0.1446,204,PCA
0.2,56.704,19.6425,200,0.0247,0.0883,202,PCA
0.3,54.8939,17.9692,199,0.0137,0.0814,201,PCA
0.4,53.7887,14.9191,204,0.0019,0.0666,206,PCA
0.5,53.0172,13.0411,207,-0.0025,0.0539,209,PCA
0.01,81.3018,19.4909,233,0.3506,0.341,235,SFF
0.05,69.3355,23.124,233,0.2285,0.3525,235,SFF
0.1,59.0826,17.9849,233,0.0827,0.2233,235,SFF
0.2,54.5655,13.6071,233,0.0553,0.1864,235,SFF
0.3,51.6502,8.7043,233,0.021,0.1405,235,SFF
0.4,50.9976,5.9686,233,0.0122,0.0943,235,SFF
0.5,50.7675,3.6913,233,0.0105,0.0526,235,SFF
