Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,AutoEncoder,1,60.33677243527351,10.727263557742289,85.25,0.07678319006815933,0.14985590778097982,0.12093023255813953,0.19696969696969696,4.246557950973511,0.04568600654602051
1_ALOI,AutoEncoder,2,59.65540306769692,9.236019205587747,86.3,0.06140290402590731,0.12738853503184713,0.10050251256281408,0.17391304347826086,3.0969181060791016,0.04984402656555176
1_ALOI,AutoEncoder,3,53.71361393666228,6.021141116075956,85.2,-0.018049131262927808,0.05732484076433121,0.04568527918781726,0.07692307692307693,3.1460890769958496,0.051733970642089844
1_ALOI,AutoEncoder,4,55.90411364308967,8.305096173107925,85.45,0.02465667823192213,0.09345794392523364,0.07075471698113207,0.13761467889908258,3.1239261627197266,0.04885292053222656
1_ALOI,AutoEncoder,5,53.077841212606835,7.321167962522339,84.39999999999999,0.025593920351937943,0.10344827586206896,0.08181818181818182,0.140625,3.0463249683380127,0.04925203323364258
2_annthyroid,AutoEncoder,1,87.72138162609284,66.93455851246405,86.74854557207499,0.528091005852091,0.598825831702544,0.5275862068965518,0.6923076923076923,2.2105400562286377,0.040998220443725586
2_annthyroid,AutoEncoder,2,82.37167976803266,60.248286417484564,85.45572074983839,0.4533899889580502,0.5379876796714579,0.5057915057915058,0.5745614035087719,2.163721799850464,0.0397191047668457
2_annthyroid,AutoEncoder,3,83.51838874045524,59.50697122771157,86.23141564318036,0.4389155695027846,0.5170068027210885,0.4810126582278481,0.5588235294117647,2.1537258625030518,0.037550926208496094
2_annthyroid,AutoEncoder,4,84.91421052242502,55.97671261746683,84.87394957983193,0.4312959933271959,0.5104602510460251,0.4404332129963899,0.6069651741293532,2.1660101413726807,0.03657698631286621
2_annthyroid,AutoEncoder,5,84.16371979456092,58.78696551327216,85.51099611901681,0.4275672133840174,0.5109170305676856,0.47950819672131145,0.5467289719626168,2.1600890159606934,0.03753399848937988
3_backdoor,AutoEncoder,1,92.56449448255294,84.57340632558524,90.7,0.45733878685124446,0.4294478527607362,0.2892561983471074,0.8333333333333334,3.7055060863494873,0.05946803092956543
3_backdoor,AutoEncoder,2,93.77162822888526,85.09090330442851,89.4,0.45710127067783524,0.43010752688172044,0.28776978417266186,0.851063829787234,3.7296860218048096,0.0640420913696289
3_backdoor,AutoEncoder,3,93.02724514877474,85.54075108669139,89.85,0.45852771547786736,0.43137254901960786,0.2894736842105263,0.8461538461538461,3.766070604324341,0.058856964111328125
