Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,AutoEncoder,1,50.38515851610605,9.81759454609305,82.6,0.008182073287982863,0.10309278350515463,0.09259259259259259,0.11627906976744186,8.002166032791138,0.05655789375305176
1_ALOI,AutoEncoder,2,51.915800301238015,8.815770111371972,84.89999999999999,0.03980171196514786,0.12209302325581395,0.11602209944751381,0.12883435582822086,5.417806148529053,0.0633997917175293
1_ALOI,AutoEncoder,3,51.990416381863746,8.170171327930694,84.0,0.00503148236501918,0.09090909090909091,0.08,0.10526315789473684,6.712082147598267,0.09410309791564941
1_ALOI,AutoEncoder,4,49.880249247453776,8.00070582319264,83.3,-0.012825485426579786,0.07734806629834254,0.06829268292682927,0.08917197452229299,6.799170017242432,0.08871984481811523
1_ALOI,AutoEncoder,5,54.420782579676285,9.094859876297722,83.55,0.020465488427065658,0.10840108401084012,0.09389671361502347,0.1282051282051282,7.146992206573486,0.07591509819030762
2_annthyroid,AutoEncoder,1,56.18387402320625,35.4782732758601,68.81944444444444,0.0823536536463932,0.22719449225473323,0.38596491228070173,0.16097560975609757,4.42775821685791,0.055747032165527344
2_annthyroid,AutoEncoder,2,86.96100163368786,49.687551543431155,88.47222222222221,0.39480048876138746,0.4391891891891892,0.35135135135135137,0.5855855855855856,4.309220790863037,0.05707097053527832
2_annthyroid,AutoEncoder,3,87.15099997171225,46.484530785819636,87.77777777777777,0.40614306267136924,0.4394904458598726,0.3317307692307692,0.6509433962264151,4.225643157958984,0.057684898376464844
2_annthyroid,AutoEncoder,4,82.04536897590361,37.39120246308608,85.27777777777777,0.314026929087862,0.3652694610778443,0.2747747747747748,0.5446428571428571,4.607529163360596,0.05671286582946777
2_annthyroid,AutoEncoder,5,79.14865851373789,45.52064953677392,86.18055555555556,0.31419546898071166,0.3722397476340694,0.295,0.5042735042735043,4.325674057006836,0.0844120979309082
3_backdoor,AutoEncoder,1,50.44837905286875,48.828514414391336,52.2,0.016695157631445297,0.1870748299319728,0.502283105022831,0.11494252873563218,4.0039520263671875,0.09457063674926758
3_backdoor,AutoEncoder,2,50.560364009100226,49.615206327380456,50.2,7.355242681114321e-05,0.17275747508305647,0.49760765550239233,0.10452261306532663,3.873624086380005,0.10825300216674805
3_backdoor,AutoEncoder,3,51.19527921081007,48.36525477255077,51.849999999999994,0.0010046329210263694,0.17196904557179707,0.4784688995215311,0.10482180293501048,4.033676624298096,0.08223104476928711
3_backdoor,AutoEncoder,4,50.4809259535011,46.52630325519197,52.75,-0.013170634808160959,0.1539838854073411,0.441025641025641,0.09327548806941431,3.594789981842041,0.0735330581665039
3_backdoor,AutoEncoder,5,49.920249903698,47.415267669777286,52.949999999999996,0.0234182852312067,0.1723834652594547,0.5077720207253886,0.1038135593220339,4.857635259628296,0.08767986297607422
4_breastw,AutoEncoder,1,76.65591397849461,70.39165430346948,70.8029197080292,0.4147417295209971,0.6875,0.6666666666666666,0.7096774193548387,0.3221549987792969,0.00868082046508789
4_breastw,AutoEncoder,2,99.44862155388472,98.7995057341886,96.35036496350365,0.914859810376036,0.9411764705882353,0.9302325581395349,0.9523809523809523,0.33531904220581055,0.006747007369995117
4_breastw,AutoEncoder,3,96.60774008600096,89.56546900993527,91.97080291970804,0.8316053195791901,0.8888888888888888,0.8301886792452831,0.9565217391304348,0.28258800506591797,0.00704503059387207
