Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,DIF,1,51.106198438108784,7.006603262557505,85.6,0.014247539832728863,0.08860759493670886,0.07368421052631578,0.1111111111111111,14.08884334564209,6.404433250427246
1_ALOI,DIF,2,58.95926317437945,8.554838674031606,85.75,0.046599921052074784,0.11214953271028037,0.08450704225352113,0.16666666666666666,14.004605293273926,6.413700342178345
1_ALOI,DIF,3,53.93599853501654,8.560622385556911,85.8,0.036814753065241373,0.1125,0.1005586592178771,0.1276595744680851,14.221337080001831,6.580812215805054
1_ALOI,DIF,4,56.050245977367275,6.44105878973536,84.25,0.0008040583176103465,0.07624633431085044,0.05701754385964912,0.11504424778761062,14.355429887771606,7.043704509735107
1_ALOI,DIF,5,56.89033189033189,8.282784548547637,86.95,0.07085357256016897,0.132890365448505,0.10471204188481675,0.18181818181818182,15.198807001113892,6.572288751602173
2_annthyroid,DIF,1,75.66632841137366,51.88970241990468,88.81706528765352,0.423892321717966,0.3663003663003663,0.9090909090909091,0.22935779816513763,10.265783548355103,5.03641152381897
2_annthyroid,DIF,2,72.1633367929424,46.49579667741002,87.6535229476406,0.4007770731460177,0.3654485049833887,0.8333333333333334,0.23404255319148937,10.387227296829224,5.0134992599487305
2_annthyroid,DIF,3,74.68332136615501,49.538747017880794,87.84744667097608,0.36911777516722716,0.32857142857142857,0.8070175438596491,0.2062780269058296,10.200180530548096,5.075978517532349
2_annthyroid,DIF,4,72.3271182440406,45.48858054309438,89.14027149321268,0.41482306050704304,0.34375,0.9361702127659575,0.21052631578947367,10.0560462474823,5.07526421546936
2_annthyroid,DIF,5,73.82662000008018,45.53536448519229,90.23285899094438,0.3948561591756818,0.33480176211453744,0.8636363636363636,0.20765027322404372,9.995878458023071,5.010883569717407
3_backdoor,DIF,1,93.02206621628773,69.9776840464622,91.05,0.5049835510775375,0.471976401179941,0.32,0.898876404494382,15.429888248443604,6.849236965179443
3_backdoor,DIF,2,89.26396759121185,60.74865919107292,89.7,0.44119399628900646,0.40804597701149425,0.2689393939393939,0.8452380952380952,15.302510023117065,6.739869594573975
3_backdoor,DIF,3,92.57262742487639,74.06684547728315,90.60000000000001,0.48698060530790127,0.45348837209302323,0.3046875,0.8863636363636364,15.45524263381958,7.072185754776001
3_backdoor,DIF,4,90.13213139607191,73.79106743083923,92.45,0.5646109311695904,0.5648414985590778,0.4260869565217391,0.8376068376068376,15.63513970375061,6.9918718338012695
3_backdoor,DIF,5,88.1440717480529,70.7801307273276,90.95,0.4781113695325792,0.45645645645645644,0.3140495867768595,0.8351648351648352,15.360913753509521,7.011887550354004
4_breastw,DIF,1,80.9710351377018,76.88946541978578,43.78378378378379,0.0,0.0,0.0,0.0,1.2345349788665771,0.6901507377624512
4_breastw,DIF,2,80.95627776478841,72.3414520960346,49.18918918918919,0.0,0.0,0.0,0.0,1.2197723388671875,0.7243664264678955
4_breastw,DIF,3,71.67067307692307,67.74862512301631,43.47826086956522,0.0,0.0,0.0,0.0,1.232339859008789,0.6436147689819336
4_breastw,DIF,4,81.20550545799715,65.67590829791348,52.17391304347826,-0.09820090532517058,0.0,0.0,0.0,1.1922369003295898,0.6842637062072754
4_breastw,DIF,5,83.84160756501183,71.79085316986198,50.54347826086957,-0.024092050674577006,0.061855670103092786,0.42857142857142855,0.03333333333333333,1.210660696029663,0.6678614616394043
5_campaign,DIF,1,66.79014973454159,39.033773516390454,77.8,0.21278055589767175,0.3211009174311927,0.44680851063829785,0.25059665871121717,14.028153657913208,7.47593355178833
5_campaign,DIF,2,67.15258386746513,35.02317151978121,78.2,0.21256457717468846,0.3271604938271605,0.42231075697211157,0.26700251889168763,13.845477819442749,7.493907451629639
5_campaign,DIF,3,67.72980579791725,38.73900782405709,79.55,0.22873228335530316,0.3284072249589491,0.44642857142857145,0.2597402597402597,13.545878410339355,7.292795419692993
5_campaign,DIF,4,66.06243288847983,36.6720842134942,78.5,0.22888966575609085,0.33436532507739936,0.4576271186440678,0.2634146341463415,13.714516878128052,7.40074348449707
5_campaign,DIF,5,65.63806988905006,34.23893672518658,78.0,0.1867416700458812,0.30158730158730157,0.3941908713692946,0.2442159383033419,13.453925609588623,7.452276945114136
6_cardio,DIF,1,95.66748855230716,79.68978022925639,88.05970149253731,0.503121329126683,0.5102040816326531,0.8333333333333334,0.36764705882352944,3.341791868209839,1.1499767303466797
