Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,DeepSVDD,1,56.548659017633604,7.6892267956183815,85.55,0.0695738542822207,0.1373134328358209,0.10599078341013825,0.19491525423728814,3.62910795211792,0.0009500980377197266
1_ALOI,DeepSVDD,2,60.07516251031338,7.209680118249954,85.35000000000001,0.029128508542611564,0.09846153846153846,0.07476635514018691,0.14414414414414414,3.3570680618286133,0.001466989517211914
1_ALOI,DeepSVDD,3,56.45908453525641,8.381739664812356,85.45,0.03010949306594147,0.10461538461538461,0.08629441624365482,0.1328125,3.187063217163086,0.001001119613647461
1_ALOI,DeepSVDD,4,49.61051629453504,5.652961827829209,84.45,-0.00374336596927906,0.07164179104477612,0.05405405405405406,0.10619469026548672,3.4509940147399902,0.0014028549194335938
1_ALOI,DeepSVDD,5,53.57153067934439,8.05627592034909,86.3,0.00141403586412221,0.07432432432432433,0.06666666666666667,0.08396946564885496,3.498816967010498,0.0009839534759521484
2_annthyroid,DeepSVDD,1,85.08077423063607,59.82328034293472,84.68002585649644,0.4396427422563839,0.5288270377733598,0.4925925925925926,0.5708154506437768,2.572003126144409,0.0008478164672851562
2_annthyroid,DeepSVDD,2,82.22013702951716,51.28718987503385,85.52036199095022,0.392641563922145,0.46919431279620855,0.4107883817427386,0.5469613259668509,2.4294052124023438,0.0011510848999023438
2_annthyroid,DeepSVDD,3,83.75549787295408,53.8473253411687,85.32643826761473,0.41336912501787043,0.49667405764966743,0.45901639344262296,0.5410628019323671,2.386582851409912,0.0005841255187988281
2_annthyroid,DeepSVDD,4,88.36633156569278,66.97787402491686,87.07175177763413,0.5056996214002141,0.5798319327731093,0.5411764705882353,0.6244343891402715,2.3166658878326416,0.0006661415100097656
2_annthyroid,DeepSVDD,5,78.97727272727273,46.394300019189494,82.08279430789133,0.3217788107345742,0.42650103519668736,0.40077821011673154,0.4557522123893805,2.322748899459839,0.00096893310546875
3_backdoor,DeepSVDD,1,59.91831762977824,6.951898684180907,84.55,-0.024723454672389403,0.04923076923076923,0.036036036036036036,0.07766990291262135,3.5447001457214355,0.004687070846557617
3_backdoor,DeepSVDD,2,44.60726687649994,5.972900875516035,85.39999999999999,-0.03792820200722319,0.033112582781456956,0.024390243902439025,0.05154639175257732,3.3383469581604004,0.0026171207427978516
3_backdoor,DeepSVDD,3,72.25796568627452,9.210718283426694,86.45,-0.009295393573748782,0.05574912891986063,0.041884816753926704,0.08333333333333333,3.3283228874206543,0.0035080909729003906
3_backdoor,DeepSVDD,4,35.515402679928165,4.782042310551485,85.8,-0.013465930209227282,0.05333333333333334,0.03902439024390244,0.08421052631578947,3.339345932006836,0.0039789676666259766
3_backdoor,DeepSVDD,5,73.29050632575094,9.685745834084276,87.9,0.059857558059452864,0.11678832116788321,0.09142857142857143,0.16161616161616163,4.158653974533081,0.005245208740234375
4_breastw,DeepSVDD,1,97.8021978021978,96.85166095143174,92.97297297297298,0.8677580338668458,0.9353233830845771,0.8785046728971962,1.0,0.26028895378112793,0.0005428791046142578
4_breastw,DeepSVDD,2,98.52150537634408,96.72264728803717,95.13513513513514,0.9070503506145532,0.9533678756476683,0.9108910891089109,1.0,0.19654297828674316,0.0005598068237304688
4_breastw,DeepSVDD,3,99.39566299324565,99.42234276017786,96.19565217391305,0.9260929213785242,0.9651741293532339,0.9326923076923077,1.0,0.19427776336669922,0.0004851818084716797
4_breastw,DeepSVDD,4,99.82225382154283,99.83972093525604,96.19565217391305,0.9260929213785242,0.9651741293532339,0.9326923076923077,1.0,0.19063329696655273,0.0005450248718261719
4_breastw,DeepSVDD,5,97.63882297104888,97.17195045113604,91.84782608695652,0.8461624812285253,0.9289099526066351,0.8672566371681416,1.0,0.1869051456451416,0.0005137920379638672
5_campaign,DeepSVDD,1,70.0126330817675,43.35644992651964,80.55,0.33102040845432157,0.44028776978417267,0.5168918918918919,0.38345864661654133,3.0384693145751953,0.003329753875732422
5_campaign,DeepSVDD,2,69.41166506690757,35.77594123114101,78.75,0.2768562533620175,0.4005641748942172,0.4565916398713826,0.35678391959798994,3.38464617729187,0.0025751590728759766
