Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,ECOD,1,54.002405002405006,6.145120529965052,86.55000000000001,0.0011908387571155656,0.06920415224913495,0.055865921787709494,0.09090909090909091,0.4450249671936035,0.08177304267883301
1_ALOI,ECOD,2,55.6267588088499,8.305373371653262,84.35000000000001,0.029647019643007907,0.10826210826210826,0.08636363636363636,0.1450381679389313,0.03615427017211914,0.08234596252441406
1_ALOI,ECOD,3,51.45694694294046,6.249545536165193,83.8,-0.017339628232663197,0.06358381502890173,0.04888888888888889,0.09090909090909091,0.03044891357421875,0.07740306854248047
1_ALOI,ECOD,4,49.55349667913155,5.370611860528655,85.7,-0.02674701497216748,0.04666666666666667,0.03763440860215054,0.06140350877192982,0.030205965042114258,0.07572698593139648
1_ALOI,ECOD,5,52.564886369134264,8.02083070229326,85.75,0.016971895306711147,0.08945686900958466,0.07291666666666667,0.11570247933884298,0.028911113739013672,0.07277798652648926
2_annthyroid,ECOD,1,82.01408356694701,47.101584657249276,83.38720103425986,0.3081160060768546,0.4037122969837587,0.4264705882352941,0.3832599118942731,0.0063478946685791016,0.020666122436523438
2_annthyroid,ECOD,2,83.0067356177997,43.324203610128016,83.83968972204266,0.30303233574104343,0.3961352657004831,0.3867924528301887,0.40594059405940597,0.0066759586334228516,0.014348030090332031
2_annthyroid,ECOD,3,83.99660284975518,53.31585182750875,85.77892695539754,0.3968571488094649,0.4786729857819905,0.4975369458128079,0.4611872146118721,0.00762486457824707,0.01531219482421875
2_annthyroid,ECOD,4,81.73941198414877,46.79412195586319,82.87007110536523,0.3104752863090568,0.40979955456570155,0.3898305084745763,0.431924882629108,0.006682872772216797,0.014111042022705078
2_annthyroid,ECOD,5,81.59777467502245,45.00671422595832,83.89391979301422,0.29843708601317376,0.39119804400978,0.39603960396039606,0.3864734299516908,0.006187915802001953,0.014224052429199219
3_backdoor,ECOD,1,84.97684210526315,20.44835710505169,88.14999999999999,0.25993297361427276,0.2882882882882883,0.20600858369098712,0.48,0.1195368766784668,0.36450624465942383
3_backdoor,ECOD,2,85.37366474513938,20.365462576526486,88.8,0.29055403151224685,0.3170731707317073,0.23008849557522124,0.5098039215686274,0.1370391845703125,0.34926891326904297
3_backdoor,ECOD,3,89.03226815572552,22.467865504451826,88.1,0.2846533009992154,0.3081395348837209,0.21810699588477367,0.5247524752475248,0.13404321670532227,0.35893774032592773
3_backdoor,ECOD,4,86.51858793589656,23.1262961994045,87.75,0.32258316220277183,0.3569553805774278,0.26459143968871596,0.5483870967741935,0.14255809783935547,0.36832308769226074
3_backdoor,ECOD,5,84.61140197789413,15.29378084813838,87.35000000000001,0.19652827891487032,0.22629969418960244,0.15611814345991562,0.4111111111111111,0.13279008865356445,0.3635110855102539
4_breastw,ECOD,1,99.27536231884058,99.26658909670378,94.5945945945946,0.893807724274638,0.9473684210526315,0.9183673469387755,0.9782608695652174,0.08517885208129883,0.00376129150390625
4_breastw,ECOD,2,99.43701618578467,99.32945970633669,97.2972972972973,0.9463583954718375,0.9717514124293786,0.9555555555555556,0.9885057471264368,0.0011289119720458984,0.003011941909790039
4_breastw,ECOD,3,99.81040407631237,99.81763265702955,99.45652173913044,0.98915062239702,0.9948717948717949,0.9897959183673469,1.0,0.0008089542388916016,0.001795053482055664
4_breastw,ECOD,4,99.33452168746287,99.34733791001905,97.82608695652173,0.9570442790914291,0.9801980198019802,0.9611650485436893,1.0,0.0008769035339355469,0.0020029544830322266
4_breastw,ECOD,5,98.76543209876543,98.80580531815494,97.28260869565217,0.9451664578989866,0.9760765550239234,0.9622641509433962,0.9902912621359223,0.0007832050323486328,0.0016989707946777344
