Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,1,51.64778374080699,3.7745342072942925,87.45,0.004699499271531262,0.052830188679245285,0.035,0.1076923076923077,0.1311638355255127,0.0110931396484375
1_ALOI,IForest,2,49.73121583859839,3.270862725656159,87.55,-0.0022716073652783177,0.04597701149425287,0.030303030303030304,0.09523809523809523,0.11027193069458008,0.010654211044311523
1_ALOI,IForest,3,53.39892498247255,2.912096435049442,87.1,0.0008636913317674861,0.044444444444444446,0.027906976744186046,0.10909090909090909,0.10654187202453613,0.011490106582641602
1_ALOI,IForest,4,53.65721649484536,3.350327304437828,87.9,-0.007561662165547757,0.03968253968253968,0.026041666666666668,0.08333333333333333,0.10558176040649414,0.01019906997680664
1_ALOI,IForest,5,52.44282608126163,3.6871969897712824,87.3,0.00806114303397937,0.05223880597014925,0.03349282296650718,0.11864406779661017,0.10583305358886719,0.009825944900512695
2_annthyroid,IForest,1,90.55103550295857,45.32416152537914,89.375,0.4105002847749052,0.4312267657992565,0.32044198895027626,0.6590909090909091,0.10613203048706055,0.012738227844238281
2_annthyroid,IForest,2,91.73869128722401,50.98039654139907,88.68055555555556,0.46776385751182326,0.4953560371517028,0.37735849056603776,0.7207207207207207,0.1041100025177002,0.012525081634521484
2_annthyroid,IForest,3,94.52420016406892,61.43505642886349,89.72222222222223,0.5076350808214227,0.5256410256410257,0.39805825242718446,0.7735849056603774,0.10523581504821777,0.012773990631103516
2_annthyroid,IForest,4,88.33301957831326,33.841507238562876,85.06944444444444,0.3348479522592208,0.3804034582132565,0.28085106382978725,0.5892857142857143,0.11364889144897461,0.012925863265991211
2_annthyroid,IForest,5,92.37552570885903,55.590188581150144,88.54166666666666,0.46045064651753026,0.4954128440366973,0.38571428571428573,0.6923076923076923,0.11208820343017578,0.020325899124145508
3_backdoor,IForest,1,74.51848045373225,5.178148623321917,87.75,0.005301600494895399,0.04669260700389105,0.029556650246305417,0.1111111111111111,0.14586997032165527,0.018877029418945312
3_backdoor,IForest,2,78.31366771764124,4.429267985274381,88.2,0.059480165179569784,0.07086614173228346,0.041474654377880185,0.24324324324324326,0.14414477348327637,0.018467187881469727
3_backdoor,IForest,3,73.01146534636173,6.090418795841033,88.1,0.049834304190275444,0.08461538461538462,0.05472636815920398,0.1864406779661017,0.13574814796447754,0.01744699478149414
3_backdoor,IForest,4,67.81679389312977,2.8167804458482273,88.3,-0.031927915470322414,0.00847457627118644,0.004975124378109453,0.02857142857142857,0.1343691349029541,0.017454147338867188
3_backdoor,IForest,5,69.00673045000451,4.126876519349931,88.3,0.0008432394455327588,0.040983606557377046,0.025906735751295335,0.09803921568627451,0.1388082504272461,0.017760038375854492
4_breastw,IForest,1,99.67263203841117,99.56426652905213,94.16058394160584,0.8887050698567587,0.9354838709677419,0.8787878787878788,1.0,0.07481908798217773,0.003309011459350586
