Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,1,49.59977493975392,7.6259859280174815,83.65,-0.0037666494771918173,0.08403361344537816,0.07352941176470588,0.09803921568627451,0.18630003929138184,0.01756882667541504
1_ALOI,IForest,2,49.920284775766575,8.195235081924256,84.1,0.005235162154697963,0.09142857142857143,0.08333333333333333,0.10126582278481013,0.1858668327331543,0.016093015670776367
1_ALOI,IForest,3,51.58195646472594,8.272501148168862,83.95,0.009349878557553573,0.09577464788732394,0.085,0.10967741935483871,0.20797228813171387,0.024029970169067383
1_ALOI,IForest,4,50.86556188979833,8.013373641345149,84.1,0.021618264381524473,0.10674157303370786,0.09359605911330049,0.12418300653594772,0.21697187423706055,0.02889108657836914
1_ALOI,IForest,5,52.78328804347827,9.334605033603932,83.75,0.04158323326541479,0.128686327077748,0.11267605633802817,0.15,0.2618238925933838,0.019734859466552734
2_annthyroid,IForest,1,69.94400920158857,28.152765651485424,84.65277777777777,0.2002836146561806,0.284789644012945,0.2634730538922156,0.30985915492957744,0.21077299118041992,0.029435157775878906
2_annthyroid,IForest,2,76.05863340051933,33.00496908993,84.30555555555556,0.2898613058726711,0.3791208791208791,0.3631578947368421,0.39655172413793105,0.21004104614257812,0.015697956085205078
2_annthyroid,IForest,3,72.17639751552795,39.117579210081146,85.20833333333333,0.3322782232063447,0.41643835616438357,0.4,0.4342857142857143,0.1950690746307373,0.014911890029907227
2_annthyroid,IForest,4,73.23522632660837,32.44861785249087,82.22222222222221,0.2612735957879106,0.35678391959798994,0.30735930735930733,0.4251497005988024,0.20799589157104492,0.02764129638671875
2_annthyroid,IForest,5,74.1185740486832,37.99240549087505,84.44444444444444,0.2889247249377356,0.37777777777777777,0.37362637362637363,0.38202247191011235,0.18406224250793457,0.023862838745117188
3_backdoor,IForest,1,56.866249520950994,8.492226404360961,84.05,-0.02159002278321558,0.06451612903225806,0.05789473684210526,0.0728476821192053,0.2766759395599365,0.034490108489990234
3_backdoor,IForest,2,58.47843608563568,7.201825854991576,85.25,0.009581613507610767,0.08099688473520249,0.06190476190476191,0.11711711711711711,0.2593247890472412,0.02668023109436035
3_backdoor,IForest,3,59.37249370347962,10.527266589556582,84.75,0.044163581780059434,0.12607449856733524,0.11282051282051282,0.14285714285714285,0.2538318634033203,0.04342222213745117
3_backdoor,IForest,4,54.53850246043357,8.295721994496521,84.15,0.0020904165984547978,0.08645533141210375,0.07462686567164178,0.10273972602739725,0.27828216552734375,0.03381085395812988
3_backdoor,IForest,5,59.8219646379866,8.197815391892918,84.45,-0.014963002173055552,0.06606606606606606,0.054455445544554455,0.08396946564885496,0.36525917053222656,0.019695043563842773
4_breastw,IForest,1,95.7735767057801,91.68226140757139,89.78102189781022,0.7972701244151965,0.8870967741935484,0.8461538461538461,0.9322033898305084,0.13505816459655762,0.005961894989013672
4_breastw,IForest,2,96.40497967479675,94.71908533605242,94.16058394160584,0.8707580115035567,0.9090909090909091,0.851063829787234,0.975609756097561,0.15533208847045898,0.0057179927825927734
4_breastw,IForest,3,92.06460674157303,83.69044542064367,85.40145985401459,0.7022602533209882,0.8113207547169812,0.7413793103448276,0.8958333333333334,0.13264894485473633,0.01034688949584961
4_breastw,IForest,4,91.6724336793541,91.64400678147527,88.23529411764706,0.7474093186836597,0.84,0.8571428571428571,0.8235294117647058,0.11758708953857422,0.007941961288452148
4_breastw,IForest,5,96.33699633699632,95.8697116731865,92.64705882352942,0.8458586968218333,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.13172411918640137,0.004069805145263672
5_campaign,IForest,1,64.87667034234362,26.097779496909162,80.95,0.2029315039972393,0.31103074141048825,0.344,0.2838283828382838,0.22477102279663086,0.027817964553833008
5_campaign,IForest,2,68.51943473257543,35.86881137127026,80.25,0.21078560685737177,0.32246998284734135,0.3657587548638132,0.2883435582822086,0.2417149543762207,0.036199092864990234
