Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,1,53.21407274895647,8.937678524290657,86.25,0.038555685916356434,0.0802675585284281,0.05128205128205128,0.18461538461538463,0.13749074935913086,0.313748836517334
1_ALOI,KNN,2,50.80348436053135,4.490195895869352,88.5,0.0670926047296581,0.1015625,0.06735751295336788,0.20634920634920634,0.10772013664245605,0.05443692207336426
1_ALOI,KNN,3,57.37415283944847,4.724051974398198,88.2,0.016877738275015642,0.056,0.035897435897435895,0.12727272727272726,0.16437411308288574,0.05832195281982422
1_ALOI,KNN,4,54.71993127147765,6.193549998499994,88.25,0.050065702157361607,0.08560311284046693,0.05583756345177665,0.18333333333333332,0.11406803131103516,0.05644702911376953
1_ALOI,KNN,5,55.06684480304579,4.59815450379784,87.85,0.020685178193493643,0.06177606177606178,0.04,0.13559322033898305,0.12860989570617676,0.06005120277404785
2_annthyroid,KNN,1,71.49425094136632,22.35187043314969,87.5,0.2302945166770421,0.28,0.21604938271604937,0.3977272727272727,0.027820110321044922,0.013550996780395508
2_annthyroid,KNN,2,79.95037927317838,31.062970221461832,86.11111111111111,0.24622834490839804,0.3103448275862069,0.25139664804469275,0.40540540540540543,0.028033018112182617,0.013705015182495117
2_annthyroid,KNN,3,80.45175525444826,39.41854826254172,86.94444444444444,0.292933928088941,0.3472222222222222,0.27472527472527475,0.4716981132075472,0.027003049850463867,0.013649940490722656
2_annthyroid,KNN,4,71.45008605851979,20.759023915481112,84.09722222222223,0.16928611162835355,0.24422442244224424,0.193717277486911,0.33035714285714285,0.027595043182373047,0.013625144958496094
2_annthyroid,KNN,5,76.36490493633352,37.37205214405475,86.31944444444444,0.26671095745077683,0.33220338983050846,0.2752808988764045,0.4188034188034188,0.028250932693481445,0.013435840606689453
3_backdoor,KNN,1,97.40969129458338,88.61577508253527,89.7,0.41632208151652433,0.33548387096774196,0.203125,0.9629629629629629,0.43033814430236816,0.20330595970153809
