Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,NeuTraLAD,1,45.8364925277284,7.404814935173657,89.55,0.03315505856177863,0.08733624454148471,0.1,0.07751937984496124,124.59970140457153,0.03523111343383789
1_ALOI,NeuTraLAD,2,52.9209927376315,8.767578824479278,90.85,0.06779655787044377,0.11594202898550725,0.12,0.11214953271028037,97.38465785980225,0.0273435115814209
1_ALOI,NeuTraLAD,3,62.99459329819238,9.307556089115298,91.25,0.08329082322952892,0.12935323383084577,0.13,0.12871287128712872,89.34726428985596,0.03243875503540039
1_ALOI,NeuTraLAD,4,51.273735995235214,6.5379508205243635,90.14999999999999,0.023350483932681836,0.07511737089201878,0.08,0.07079646017699115,90.14805197715759,0.026139497756958008
1_ALOI,NeuTraLAD,5,53.42082143641556,8.771247915216408,90.0,0.021592674209501006,0.07407407407407407,0.08,0.06896551724137931,92.40041995048523,0.03406167030334473
2_annthyroid,NeuTraLAD,1,60.36970949161032,29.055417911491162,85.71428571428571,0.21652712311226457,0.24573378839590443,0.4675324675324675,0.16666666666666666,66.83959317207336,0.03194117546081543
2_annthyroid,NeuTraLAD,2,67.8945891518933,36.39772996394536,85.77892695539754,0.26907005828355923,0.2857142857142857,0.5641025641025641,0.19130434782608696,67.99471068382263,0.029495954513549805
2_annthyroid,NeuTraLAD,3,61.59036943920665,22.667746904037234,84.03361344537815,0.10384422316248272,0.15699658703071673,0.2948717948717949,0.10697674418604651,67.39486598968506,0.021611452102661133
2_annthyroid,NeuTraLAD,4,70.75031344884366,33.96153951682073,87.91208791208791,0.28174412269907984,0.2889733840304182,0.5671641791044776,0.19387755102040816,64.87455010414124,0.012398242950439453
2_annthyroid,NeuTraLAD,5,52.84058434066422,26.640031122259057,85.70504527813712,0.20104218152827227,0.23529411764705882,0.4358974358974359,0.16113744075829384,79.14408445358276,0.04518628120422363
3_backdoor,NeuTraLAD,1,91.50666428523586,74.04222025296804,97.89999999999999,0.7728893982175232,0.7835051546391752,0.76,0.8085106382978723,275.0444931983948,0.11639523506164551
3_backdoor,NeuTraLAD,2,94.4096708650859,73.95372814469039,98.65,0.8599900571636943,0.8669950738916257,0.88,0.8543689320388349,2979.885229110718,0.035600900650024414
3_backdoor,NeuTraLAD,3,88.5684242151119,68.84597033307963,96.5,0.6280907274386168,0.6464646464646465,0.64,0.6530612244897959,1504.4846897125244,0.05695772171020508
3_backdoor,NeuTraLAD,4,95.74315216561968,71.48752796856662,98.2,0.7971520907401229,0.8021978021978022,0.73,0.8902439024390244,135.16782903671265,0.03804802894592285
3_backdoor,NeuTraLAD,5,90.52315789473684,80.06687759082092,97.7,0.7578947368421053,0.77,0.77,0.77,134.2630808353424,0.054450273513793945
4_breastw,NeuTraLAD,1,91.46666666666667,92.24206581943048,45.94594594594595,0.19738550848793068,0.16666666666666666,1.0,0.09090909090909091,4.4517600536346436,0.006428718566894531
4_breastw,NeuTraLAD,2,89.04494382022472,87.21204287468154,52.972972972972975,0.21773302564045138,0.17142857142857143,1.0,0.09375,5.09930682182312,0.006461381912231445
4_breastw,NeuTraLAD,3,89.32291666666666,86.60148447941079,52.17391304347826,0.1815338686155987,0.16981132075471697,0.9,0.09375,5.308293104171753,0.005469083786010742
4_breastw,NeuTraLAD,4,92.46356203341628,92.46087664533219,52.71739130434783,0.2270383045932499,0.18691588785046728,1.0,0.10309278350515463,6.549311876296997,0.01685166358947754
4_breastw,NeuTraLAD,5,90.30741410488247,87.26514901302367,62.5,0.2763799155222017,0.2247191011235955,1.0,0.12658227848101267,5.7191002368927,0.006133079528808594
5_campaign,NeuTraLAD,1,71.48422455932455,41.532242166675736,79.3,0.20382713762128982,0.2188679245283019,0.58,0.13488372093023257,94.30526852607727,0.04150652885437012
5_campaign,NeuTraLAD,2,67.65380508378523,38.278083319974385,78.8,0.1664188363398305,0.19391634980988592,0.51,0.11971830985915492,95.98659014701843,0.053762197494506836
5_campaign,NeuTraLAD,3,69.99301350721939,40.80392978016246,79.3,0.17547780921850764,0.20077220077220076,0.52,0.12440191387559808,91.21109533309937,0.03247189521789551
5_campaign,NeuTraLAD,4,70.36669253128387,43.271237657769746,81.10000000000001,0.25391387928051906,0.2559055118110236,0.65,0.15931372549019607,89.34028625488281,0.027865171432495117
5_campaign,NeuTraLAD,5,72.38562676354611,46.47015286980285,80.10000000000001,0.23926209803739942,0.24334600760456274,0.64,0.15023474178403756,91.2490746974945,0.03163623809814453
6_cardio,NeuTraLAD,1,59.41792884818599,27.29112096912588,80.84577114427861,0.07299536314234055,0.1348314606741573,0.2857142857142857,0.08823529411764706,17.40269422531128,0.010696649551391602
6_cardio,NeuTraLAD,2,67.67468688200397,28.17881440097116,79.8507462686567,0.09041607041790285,0.14736842105263157,0.3333333333333333,0.0945945945945946,17.455347061157227,0.007523298263549805
6_cardio,NeuTraLAD,3,62.55062680810028,19.255088459696175,81.29675810473816,-0.001352281353681811,0.07407407407407407,0.15,0.04918032786885246,17.049272298812866,0.008884668350219727
6_cardio,NeuTraLAD,4,57.81903542466922,22.08048339379525,79.80049875311721,0.043781661221062786,0.10989010989010989,0.25,0.07042253521126761,17.115517139434814,0.006544351577758789
6_cardio,NeuTraLAD,5,65.20600142891165,29.391467266540356,77.55610972568579,0.003175606105843475,0.08163265306122448,0.2,0.05128205128205128,20.44937825202942,0.023995161056518555
7_Cardiotocography,NeuTraLAD,1,75.378460031028,65.9911292051675,67.82945736434108,0.24536398483644903,0.20952380952380953,0.88,0.11891891891891893,20.054720878601074,0.00952291488647461
7_Cardiotocography,NeuTraLAD,2,74.2762378583274,68.31523907802608,65.31007751937985,0.252030832773472,0.21145374449339208,0.9230769230769231,0.11940298507462686,19.21752905845642,0.00906229019165039
7_Cardiotocography,NeuTraLAD,3,68.47620335316387,57.39280857927057,70.54263565891473,0.2693821059300161,0.23232323232323232,0.8846153846153846,0.13372093023255813,18.431196928024292,0.010254859924316406
7_Cardiotocography,NeuTraLAD,4,77.60686948624804,67.97739056438208,67.82945736434108,0.26744163422878553,0.22429906542056074,0.9230769230769231,0.1276595744680851,21.14638614654541,0.009821414947509766
7_Cardiotocography,NeuTraLAD,5,73.37895079830562,64.41881743528519,68.21705426356588,0.26991917351242783,0.22641509433962265,0.9230769230769231,0.12903225806451613,24.160491228103638,0.011811017990112305
8_celeba,NeuTraLAD,1,74.36852177634081,10.564054024357695,91.7,0.07382642707396735,0.11702127659574468,0.11,0.125,120.99911642074585,0.03049945831298828
8_celeba,NeuTraLAD,2,69.15604185306691,8.684145584993564,91.8,0.06633516188740461,0.10869565217391304,0.1,0.11904761904761904,104.41643452644348,0.03375887870788574
