Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,NeuTraLAD,1,47.01729278473465,5.970168010591878,92.05,-0.0032344172226075447,0.03636363636363636,0.03,0.046153846153846156,50.04234552383423,0.011184930801391602
1_ALOI,NeuTraLAD,2,49.91764387737542,3.456489223898017,92.25,0.01116444235861604,0.049079754601226995,0.04,0.06349206349206349,48.447741985321045,0.01032257080078125
1_ALOI,NeuTraLAD,3,46.42019163355924,2.815774415064469,92.45,-0.010521394650453219,0.025806451612903226,0.02,0.03636363636363636,48.3155460357666,0.010250091552734375
1_ALOI,NeuTraLAD,4,50.71563573883162,4.853981686297247,92.15,-0.026620185405109825,0.012578616352201259,0.010101010101010102,0.016666666666666666,50.5373215675354,0.012468099594116211
1_ALOI,NeuTraLAD,5,47.46723251163563,3.123646202382819,92.35,0.0006779293336433835,0.03773584905660377,0.03,0.05084745762711865,49.2641761302948,0.01009988784790039
2_annthyroid,NeuTraLAD,1,61.06147458310919,19.25460083418229,91.18055555555556,0.15614994847801592,0.20125786163522014,0.22535211267605634,0.18181818181818182,32.26253056526184,0.007608175277709961
2_annthyroid,NeuTraLAD,2,62.63057640032809,15.722313526840582,90.13888888888889,0.17469723915972496,0.21978021978021978,0.28169014084507044,0.18018018018018017,32.27098202705383,0.0075495243072509766
2_annthyroid,NeuTraLAD,3,71.41169981047211,24.738300371568926,91.52777777777777,0.27697986863724594,0.3146067415730337,0.3888888888888889,0.2641509433962264,32.20983648300171,0.0071375370025634766
2_annthyroid,NeuTraLAD,4,56.12461004733219,9.498504011552322,87.91666666666667,-0.0071383263100873486,0.05434782608695652,0.06944444444444445,0.044642857142857144,33.24923849105835,0.007021427154541016
2_annthyroid,NeuTraLAD,5,65.17045564664612,24.238051863213865,90.48611111111111,0.23499325271696028,0.2751322751322751,0.3611111111111111,0.2222222222222222,32.24216151237488,0.007047891616821289
3_backdoor,NeuTraLAD,1,90.37912527121162,15.165104258273388,92.7,0.018400441755269222,0.05194805194805195,0.04,0.07407407407407407,59.53834795951843,0.0229949951171875
3_backdoor,NeuTraLAD,2,91.237901171676,29.77726998127604,95.55,0.3771081460963696,0.35036496350364965,0.24,0.6486486486486487,59.73477101325989,0.02135467529296875
3_backdoor,NeuTraLAD,3,86.59873034169003,56.884384556813494,96.65,0.5836971562669533,0.5786163522012578,0.46,0.7796610169491526,59.123218297958374,0.02186870574951172
3_backdoor,NeuTraLAD,4,84.82733551435841,64.50877596393065,95.75,0.4067811810193235,0.37037037037037035,0.25,0.7142857142857143,59.31904673576355,0.03158998489379883
3_backdoor,NeuTraLAD,5,76.92431513395506,35.80037962088655,96.1,0.40119882755164865,0.4090909090909091,0.3333333333333333,0.5294117647058824,58.89387631416321,0.021847963333129883
4_breastw,NeuTraLAD,1,91.22653862941947,87.89142217913609,62.77372262773723,0.27081760479391476,0.2153846153846154,1.0,0.1206896551724138,2.302644968032837,0.0026226043701171875
4_breastw,NeuTraLAD,2,93.28320802005013,83.46268982728743,72.99270072992701,0.2770937808712147,0.24489795918367346,0.8571428571428571,0.14285714285714285,2.1775195598602295,0.0025217533111572266
4_breastw,NeuTraLAD,3,83.30148112756808,64.4765666973432,70.07299270072993,0.2561826396264598,0.22641509433962265,0.8571428571428571,0.13043478260869565,2.1938095092773438,0.0025246143341064453
4_breastw,NeuTraLAD,4,90.60283687943263,80.42198894517122,72.79411764705883,0.27646366169365166,0.24489795918367346,0.8571428571428571,0.14285714285714285,2.257502555847168,0.0025565624237060547
4_breastw,NeuTraLAD,5,93.1026528258362,87.73022735355805,67.64705882352942,0.30073123629877246,0.2413793103448276,1.0,0.13725490196078433,2.2396609783172607,0.0026311874389648438
5_campaign,NeuTraLAD,1,71.90511659015597,26.359967926072326,87.8,0.20375817067863525,0.2422360248447205,0.39,0.17567567567567569,45.427844285964966,0.012718915939331055
5_campaign,NeuTraLAD,2,73.54801270997525,31.352493059711094,86.95,0.19696704361324432,0.23460410557184752,0.4,0.16597510373443983,45.50199580192566,0.014776468276977539
5_campaign,NeuTraLAD,3,74.79611386643116,28.917480280108386,89.25,0.26284447170963315,0.29508196721311475,0.45,0.21951219512195122,45.47804641723633,0.011543750762939453
5_campaign,NeuTraLAD,4,68.0064905077586,20.854334007358894,86.35000000000001,0.10095011619553827,0.15479876160990713,0.25,0.11210762331838565,45.627790451049805,0.011545419692993164
5_campaign,NeuTraLAD,5,72.64731332573551,25.145742014007094,87.6,0.15948332475644994,0.20512820512820512,0.32,0.1509433962264151,45.02955365180969,0.011785507202148438
6_cardio,NeuTraLAD,1,71.18501529051989,17.59353055030864,84.46866485013625,-0.04225929581427807,0.03389830508474576,0.05263157894736842,0.025,8.217184782028198,0.003525257110595703
6_cardio,NeuTraLAD,2,73.13075832742736,18.73717850607617,86.0655737704918,-0.032456971420159166,0.03773584905660377,0.05263157894736842,0.029411764705882353,8.31885027885437,0.0034074783325195312
6_cardio,NeuTraLAD,3,63.22420634920635,11.27063488283362,87.1584699453552,-0.02502409404272405,0.04081632653061224,0.05263157894736842,0.03333333333333333,8.180859565734863,0.0034563541412353516
6_cardio,NeuTraLAD,4,76.82227682227682,18.663758442771574,86.88524590163934,0.012335838486285208,0.07692307692307693,0.10526315789473684,0.06060606060606061,8.275765180587769,0.003359079360961914
6_cardio,NeuTraLAD,5,68.32117933035364,23.788582562496817,86.88524590163934,0.11876272722994921,0.1724137931034483,0.2631578947368421,0.1282051282051282,8.211042165756226,0.0033407211303710938
7_Cardiotocography,NeuTraLAD,1,74.25687434737208,51.454749648204945,82.74231678486997,0.3342272989378744,0.3177570093457944,0.7727272727272727,0.2,8.693702936172485,0.0035860538482666016
7_Cardiotocography,NeuTraLAD,2,71.89024390243901,51.383865667314154,80.37825059101655,0.3076614427603925,0.2905982905982906,0.7727272727272727,0.17894736842105263,8.27314019203186,0.0036041736602783203
7_Cardiotocography,NeuTraLAD,3,71.59611508154664,53.23265665934377,77.77777777777779,0.24129795455770398,0.24193548387096775,0.6818181818181818,0.14705882352941177,8.238446950912476,0.003568887710571289
7_Cardiotocography,NeuTraLAD,4,74.20561366344499,46.23788832489566,78.95981087470449,0.18829144937222714,0.21238938053097345,0.5454545454545454,0.13186813186813187,8.248861074447632,0.003690958023071289
7_Cardiotocography,NeuTraLAD,5,82.2531620747132,55.85177142104636,80.33175355450237,0.2867947279048727,0.2782608695652174,0.7272727272727273,0.17204301075268819,8.238084554672241,0.003551483154296875
8_celeba,NeuTraLAD,1,74.2646431010929,7.356388726603055,93.60000000000001,0.11392164884912233,0.13513513513513514,0.1,0.20833333333333334,49.278915882110596,0.01183319091796875
8_celeba,NeuTraLAD,2,79.98730063870316,7.442022497214467,93.55,0.0639500877085507,0.0851063829787234,0.06,0.14634146341463414,48.872312784194946,0.011339426040649414
8_celeba,NeuTraLAD,3,74.94247038917091,3.828823661817718,93.89999999999999,0.04718451152720848,0.06153846153846154,0.04,0.13333333333333333,48.50786542892456,0.01396322250366211
8_celeba,NeuTraLAD,4,77.04717948717949,7.199950208965518,93.10000000000001,0.05143028508594516,0.08,0.06,0.12,49.253411293029785,0.011114358901977539
8_celeba,NeuTraLAD,5,63.48825701343688,5.402279838071828,93.10000000000001,0.07501718561763605,0.1038961038961039,0.08,0.14814814814814814,49.22075438499451,0.011310815811157227
9_census,NeuTraLAD,1,61.15240608116598,6.585195485434311,90.45,0.018000807482903898,0.06829268292682927,0.07,0.06666666666666667,79.71845626831055,0.06674814224243164
9_census,NeuTraLAD,2,51.76397459027577,7.401626349171357,88.85,0.017690533781231962,0.07468879668049792,0.09090909090909091,0.06338028169014084,79.925448179245,0.06440448760986328
9_census,NeuTraLAD,3,54.71724692263392,6.723595350952122,88.85,-0.032221113250179234,0.026200873362445413,0.03,0.023255813953488372,80.71507692337036,0.06515789031982422
9_census,NeuTraLAD,4,47.91376488409284,5.160348249693852,89.64999999999999,-0.02633139677515186,0.028169014084507043,0.03,0.02654867256637168,80.2721357345581,0.06667566299438477
9_census,NeuTraLAD,5,62.46663107314468,9.082284266524237,89.45,0.015522668763976717,0.07048458149779736,0.08,0.06299212598425197,80.2269082069397,0.0649099349975586
10_cover,NeuTraLAD,1,29.247525524121272,0.869683530173735,93.7,-0.026329117299037846,0.0,0.0,0.0,48.55412483215332,0.010468244552612305
10_cover,NeuTraLAD,2,76.68083550436492,4.107545890078891,94.65,0.0449787584354572,0.036036036036036036,0.02,0.18181818181818182,47.993637561798096,0.01082754135131836
10_cover,NeuTraLAD,3,55.34569247546346,3.4132559419645743,93.65,0.0393659207438055,0.05925925925925926,0.04,0.11428571428571428,47.53379511833191,0.010200977325439453
10_cover,NeuTraLAD,4,61.45707070707071,2.379213841539164,94.3,0.04611429759107164,0.05,0.03,0.15,47.64334464073181,0.010673046112060547
10_cover,NeuTraLAD,5,51.130476367597446,2.2936082570122815,94.45,0.07213300024657089,0.06722689075630252,0.04,0.21052631578947367,48.0134391784668,0.010103702545166016
11_donors,NeuTraLAD,1,99.49893463833494,91.33075763586366,99.05000000000001,0.8995366392635586,0.9045226130653267,0.9,0.9090909090909091,45.842063903808594,0.00959634780883789
11_donors,NeuTraLAD,2,99.33457702974431,95.90551657041627,98.95,0.9008042859768348,0.9032258064516129,0.98,0.8376068376068376,45.78286170959473,0.009686470031738281
11_donors,NeuTraLAD,3,99.27833901330737,89.72606203997204,97.5,0.7418939051929613,0.7549019607843137,0.77,0.7403846153846154,91048.40717196465,0.012661933898925781
11_donors,NeuTraLAD,4,95.06091101694915,63.37445215760296,94.75,0.47141382452228253,0.49760765550239233,0.5360824742268041,0.4642857142857143,56.353302240371704,0.012511730194091797
11_donors,NeuTraLAD,5,92.21226572999093,59.65765440057292,95.25,0.5128048004853681,0.5365853658536586,0.5729166666666666,0.5045871559633027,50.079023361206055,0.011458158493041992
12_fault,NeuTraLAD,1,67.99420092103018,51.503751202416346,64.26735218508998,0.11221080369175268,0.147239263803681,0.6,0.08391608391608392,6.732765436172485,0.003940105438232422
12_fault,NeuTraLAD,2,69.68109469827091,55.05299086871489,64.94845360824742,0.13745513138130055,0.16049382716049382,0.65,0.09154929577464789,6.702097177505493,0.003442049026489258
12_fault,NeuTraLAD,3,67.91588198367859,45.72154758734813,70.61855670103093,0.14993743975935284,0.17391304347826086,0.6,0.1016949152542373,6.886067867279053,0.004033327102661133
12_fault,NeuTraLAD,4,70.21388553564243,45.99696037811995,69.3298969072165,0.11984357171124391,0.15602836879432624,0.55,0.09090909090909091,6.895127773284912,0.004061222076416016
12_fault,NeuTraLAD,5,63.42983909466176,47.50137428481399,61.5979381443299,0.055591900017570806,0.11834319526627218,0.5,0.06711409395973154,7.3021955490112305,0.003949880599975586
