Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,OCSVM,1,48.71238322401113,6.188152660731526,86.4,-0.01009081739809052,0.04225352112676056,0.0273972602739726,0.09230769230769231,2.485245943069458,0.7938952445983887
1_ALOI,OCSVM,2,58.43761011546247,4.4042188679573195,89.14999999999999,0.045899953035276074,0.08438818565400844,0.05747126436781609,0.15873015873015872,2.6388471126556396,0.7767579555511475
1_ALOI,OCSVM,3,49.05351717691049,3.7814991736082075,87.1,-0.027460321224146815,0.022727272727272728,0.014354066985645933,0.05454545454545454,2.5273683071136475,0.7035658359527588
1_ALOI,OCSVM,4,51.63402061855671,3.4880797570302517,87.25,0.01593395472141366,0.05904059040590406,0.037914691943127965,0.13333333333333333,2.500464916229248,0.6676111221313477
1_ALOI,OCSVM,5,51.40282398553953,3.7515450686729372,88.4,0.005533077914122831,0.04918032786885246,0.032432432432432434,0.1016949152542373,2.1743481159210205,0.627342700958252
2_annthyroid,OCSVM,1,53.67637170521786,7.800839717663416,85.06944444444444,0.0013380779943017829,0.07725321888412018,0.06206896551724138,0.10227272727272728,0.7812023162841797,0.24387788772583008
2_annthyroid,OCSVM,2,53.1382398199554,10.051268142544158,85.34722222222221,0.045236380853825614,0.12448132780082988,0.11538461538461539,0.13513513513513514,0.7245886325836182,0.2977728843688965
2_annthyroid,OCSVM,3,57.736697688891404,13.076118977086201,85.83333333333333,0.052121985374681705,0.1282051282051282,0.1171875,0.14150943396226415,0.7626500129699707,0.29540300369262695
2_annthyroid,OCSVM,4,55.506400602409634,9.891954152947166,82.36111111111111,-0.0005384743090569425,0.09285714285714286,0.07738095238095238,0.11607142857142858,0.8238189220428467,0.241257905960083
2_annthyroid,OCSVM,5,56.855372728388595,16.69850949846447,83.125,0.06449330466728329,0.15331010452961671,0.12941176470588237,0.18803418803418803,0.80165696144104,0.26642513275146484
3_backdoor,OCSVM,1,87.62608960450686,11.10212294384288,89.45,0.2888674590916608,0.254416961130742,0.1572052401746725,0.6666666666666666,8.618561029434204,2.7442100048065186
3_backdoor,OCSVM,2,85.64249425176577,7.019096575540392,88.3,0.18964246381589447,0.15217391304347827,0.08786610878661087,0.5675675675675675,11.0657639503479,2.8859171867370605
3_backdoor,OCSVM,3,83.0194116260184,11.277321319681628,89.75,0.28814566366717204,0.26523297491039427,0.16818181818181818,0.6271186440677966,12.059723138809204,3.3662848472595215
3_backdoor,OCSVM,4,80.44783715012723,6.4424576748887725,89.95,0.21685215722597825,0.1728395061728395,0.10096153846153846,0.6,10.521321058273315,3.730510711669922
3_backdoor,OCSVM,5,81.73925290998902,9.095881381255586,89.1,0.26751397241506203,0.2323943661971831,0.14163090128755365,0.6470588235294118,10.278203964233398,3.0028090476989746
4_breastw,OCSVM,1,98.4722828459188,96.25903912714779,93.43065693430657,0.8758143763607482,0.928,0.8656716417910447,1.0,0.0063018798828125,0.002118349075317383
4_breastw,OCSVM,2,99.47368421052632,97.67441860465115,93.43065693430657,0.8634296936712986,0.9032258064516129,0.8235294117647058,1.0,0.004565000534057617,0.002753019332885742
4_breastw,OCSVM,3,97.12135690396559,89.89533011272141,89.05109489051095,0.7935971478496642,0.8598130841121495,0.7540983606557377,1.0,0.004086732864379883,0.002292156219482422
4_breastw,OCSVM,4,97.87234042553192,91.30434782608695,94.11764705882352,0.8766473853824422,0.9130434782608695,0.84,1.0,0.0038852691650390625,0.0021560192108154297
4_breastw,OCSVM,5,97.46251441753171,92.25887412624371,96.32352941176471,0.9258200997725515,0.9532710280373832,0.9107142857142857,1.0,0.004151105880737305,0.002313852310180664
5_campaign,OCSVM,1,67.08139523100154,27.094981295923727,84.3,0.2408292525118989,0.32905982905982906,0.3130081300813008,0.34684684684684686,4.3062379360198975,1.448742151260376
5_campaign,OCSVM,2,69.83928533517017,34.40297746736353,83.75,0.24823199506932292,0.3407707910750507,0.3333333333333333,0.34854771784232363,4.3101091384887695,1.1338732242584229
5_campaign,OCSVM,3,69.0484407908146,32.34314187763112,84.5,0.25995248181030756,0.3432203389830508,0.30337078651685395,0.3951219512195122,3.1892151832580566,1.1243197917938232
5_campaign,OCSVM,4,67.41598552505734,24.164934905456086,81.85,0.17450696298797883,0.2754491017964072,0.24820143884892087,0.3094170403587444,3.2708370685577393,1.1277108192443848
5_campaign,OCSVM,5,69.34226077413363,29.248163758100866,84.6,0.23888624146759346,0.32456140350877194,0.30327868852459017,0.3490566037735849,3.1845717430114746,1.1161768436431885
6_cardio,OCSVM,1,97.78287461773701,81.4543042917387,92.91553133514986,0.729058371259939,0.7450980392156863,0.6129032258064516,0.95,0.04873514175415039,0.016728878021240234
6_cardio,OCSVM,2,95.39333805811481,68.26111949932645,86.33879781420765,0.5595253760547663,0.5614035087719298,0.4,0.9411764705882353,0.04970526695251465,0.01579594612121582
6_cardio,OCSVM,3,94.91071428571428,53.17620057414303,88.79781420765028,0.5648231823008241,0.5684210526315789,0.4153846153846154,0.9,0.04871392250061035,0.015699148178100586
6_cardio,OCSVM,4,97.15169715169716,75.38818114727212,92.89617486338798,0.6721723408005006,0.6904761904761905,0.5686274509803921,0.8787878787878788,0.04870295524597168,0.01655721664428711
6_cardio,OCSVM,5,93.72304555790795,57.11487074165146,88.25136612021858,0.5864766125662552,0.6126126126126126,0.4722222222222222,0.8717948717948718,0.04834413528442383,0.016157865524291992
