Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,OCSVM,1,50.354350938310944,9.016972441313237,82.05,-0.02062602682438809,0.07712082262210797,0.06818181818181818,0.08875739644970414,4.9673027992248535,1.4421818256378174
1_ALOI,OCSVM,2,55.19912119695201,9.699348622197983,85.95,0.06442424880811955,0.14067278287461774,0.13450292397660818,0.14743589743589744,5.253400087356567,1.4591548442840576
1_ALOI,OCSVM,3,47.065668202764975,6.429081252043746,83.39999999999999,-0.04211266008975907,0.04597701149425287,0.038461538461538464,0.05714285714285714,4.6758928298950195,1.3893179893493652
1_ALOI,OCSVM,4,52.48218989463601,8.386161727976427,84.05,0.017681148397934096,0.10140845070422536,0.08530805687203792,0.125,4.45657205581665,1.2876160144805908
1_ALOI,OCSVM,5,50.751657496816726,8.754067833722747,84.45,0.013912548044157976,0.09855072463768116,0.09239130434782608,0.10559006211180125,3.963074207305908,1.1698267459869385
2_annthyroid,OCSVM,1,55.169008088548324,11.211093270934652,82.56944444444444,0.010359674211325486,0.10676156583629894,0.10273972602739725,0.1111111111111111,1.511181116104126,0.5337941646575928
2_annthyroid,OCSVM,2,54.03009026179517,15.77330144094176,81.52777777777777,0.024999144818234155,0.125,0.1484375,0.10795454545454546,1.5666680335998535,0.5146560668945312
2_annthyroid,OCSVM,3,54.19685496903996,16.002121998777586,82.08333333333333,0.04891408449292675,0.1456953642384106,0.171875,0.12643678160919541,1.84810209274292,0.6847050189971924
2_annthyroid,OCSVM,4,53.1373320981936,13.13479484988364,79.23611111111111,0.00032505405731744324,0.11799410029498525,0.11834319526627218,0.11764705882352941,1.83250093460083,0.8773088455200195
2_annthyroid,OCSVM,5,52.71906634280321,16.537328532915136,79.51388888888889,0.038205370212591426,0.15472779369627507,0.1569767441860465,0.15254237288135594,1.868797779083252,0.552001953125
3_backdoor,OCSVM,1,61.900723592189166,11.780857594011705,85.7,0.20449702170406264,0.27040816326530615,0.2163265306122449,0.36054421768707484,16.728742837905884,3.744364023208618
3_backdoor,OCSVM,2,60.79317333333333,9.44702974940872,86.05000000000001,0.15803574012814614,0.2184873949579832,0.16810344827586207,0.312,16.95231795310974,4.903357982635498
3_backdoor,OCSVM,3,60.90547448647643,11.637733134858399,86.5,0.19217394078787656,0.25824175824175827,0.2146118721461187,0.32413793103448274,16.796741724014282,4.067302227020264
3_backdoor,OCSVM,4,56.86997127258992,9.741169705149439,85.35000000000001,0.12997278125185394,0.2016348773841962,0.16371681415929204,0.2624113475177305,16.221710205078125,4.096564054489136
3_backdoor,OCSVM,5,61.15383692470125,10.880113977936862,86.55000000000001,0.1988220334548397,0.25895316804407714,0.2052401746724891,0.35074626865671643,14.084829092025757,3.820819854736328
4_breastw,OCSVM,1,93.82010353753236,90.70674484985611,89.05109489051095,0.7801949200095564,0.88,0.859375,0.9016393442622951,0.00786280632019043,0.003283262252807617
4_breastw,OCSVM,2,89.98817966903073,88.82005702809612,91.24087591240875,0.8056737588652483,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.0066449642181396484,0.0033211708068847656
4_breastw,OCSVM,3,95.20531400966182,86.92163742690059,91.24087591240875,0.8222554599850325,0.88,0.8,0.9777777777777777,0.005948781967163086,0.002927064895629883
4_breastw,OCSVM,4,90.03049495660332,82.28988167837201,86.02941176470588,0.6983599001532875,0.8080808080808081,0.8,0.8163265306122449,0.006868839263916016,0.003069162368774414
4_breastw,OCSVM,5,94.41707717569787,85.67319277047251,91.91176470588235,0.8308942039453678,0.8932038834951457,0.8518518518518519,0.9387755102040817,0.006759166717529297,0.003114938735961914
5_campaign,OCSVM,1,62.220317315417304,30.137351759348224,80.2,0.19618723351327366,0.3076923076923077,0.350597609561753,0.27414330218068533,5.435058355331421,2.1476118564605713
5_campaign,OCSVM,2,66.1498483690997,33.9663728275916,81.25,0.21835457395738722,0.32432432432432434,0.3614457831325301,0.29411764705882354,5.531899929046631,2.165215015411377
5_campaign,OCSVM,3,63.34646373856619,31.429218204794612,81.65,0.22615990839128644,0.331511839708561,0.35271317829457366,0.3127147766323024,5.575814247131348,2.014678716659546
5_campaign,OCSVM,4,62.25523477924464,25.096738020821753,78.64999999999999,0.1407738219742637,0.26506024096385544,0.27898550724637683,0.25245901639344265,5.894964933395386,2.150117874145508
5_campaign,OCSVM,5,63.123255776220155,28.498057635658924,80.75,0.1681882367981384,0.2776735459662289,0.3020408163265306,0.2569444444444444,6.072850942611694,2.2275257110595703
6_cardio,OCSVM,1,83.63507277245296,64.96724017684083,89.10081743869209,0.5928012381675378,0.6551724137931034,0.6129032258064516,0.7037037037037037,0.09446501731872559,0.03222513198852539
6_cardio,OCSVM,2,81.07783632361767,56.63483561603569,84.97267759562843,0.4880580355704948,0.5528455284552846,0.4473684210526316,0.723404255319149,0.0925910472869873,0.03226876258850098
6_cardio,OCSVM,3,82.33342744212308,42.93444264496722,84.42622950819673,0.3997782044429702,0.47706422018348627,0.4,0.5909090909090909,0.09296631813049316,0.033306121826171875
6_cardio,OCSVM,4,83.09449636552439,52.827790580342906,87.43169398907104,0.4606611206670841,0.5306122448979592,0.49056603773584906,0.5777777777777777,0.09174919128417969,0.03553581237792969
6_cardio,OCSVM,5,74.51571684129824,46.496347632452114,83.33333333333334,0.42599716180094693,0.5271317829457365,0.53125,0.5230769230769231,0.09969282150268555,0.036084890365600586
