Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,1,49.791293977340494,5.442218891445835,86.9,0.009849133713081042,0.05755395683453238,0.03755868544600939,0.12307692307692308,0.02066826820373535,0.0039048194885253906
1_ALOI,PCA,2,53.36840638854062,3.4162462627402994,88.3,0.029813019612889475,0.07142857142857142,0.047619047619047616,0.14285714285714285,0.022550106048583984,0.0037810802459716797
1_ALOI,PCA,3,51.051180182285584,3.105527841519682,87.6,-0.015533039856715596,0.03125,0.01990049751243781,0.07272727272727272,0.008578062057495117,0.0033731460571289062
1_ALOI,PCA,4,53.78350515463918,3.2789364342739256,87.3,-0.02003780737828717,0.030534351145038167,0.019801980198019802,0.06666666666666667,0.02233600616455078,0.004672050476074219
1_ALOI,PCA,5,55.94879452317956,3.9007647019751888,88.14999999999999,0.022734976771011096,0.06324110671936758,0.041237113402061855,0.13559322033898305,0.02422809600830078,0.002331972122192383
2_annthyroid,PCA,1,78.2124125874126,32.938916395215166,88.54166666666666,0.289382793979881,0.3319838056680162,0.2578616352201258,0.4659090909090909,0.0020401477813720703,0.0010509490966796875
2_annthyroid,PCA,2,83.85157166195542,42.36245972499327,86.59722222222223,0.3429607876654236,0.3911671924290221,0.30097087378640774,0.5585585585585585,0.0022687911987304688,0.0005590915679931641
2_annthyroid,PCA,3,86.31792594268904,50.5920717283314,88.47222222222221,0.4008558902713097,0.4391891891891892,0.34210526315789475,0.6132075471698113,0.0020949840545654297,0.0006349086761474609
2_annthyroid,PCA,4,82.42389199655766,35.651749278678494,84.58333333333333,0.2730706707208283,0.3313253012048193,0.25,0.49107142857142855,0.001981019973754883,0.0005490779876708984
2_annthyroid,PCA,5,83.95320141351887,47.497882146659414,87.08333333333333,0.31660794637660034,0.37583892617449666,0.30939226519337015,0.47863247863247865,0.002771139144897461,0.0008428096771240234
4_breastw,PCA,1,99.14884329986906,98.74794390699742,93.43065693430657,0.8758143763607482,0.928,0.8656716417910447,1.0,0.0012481212615966797,0.00040221214294433594
4_breastw,PCA,2,99.8997493734336,99.7703438531775,94.8905109489051,0.8910583383853242,0.9230769230769231,0.8571428571428571,1.0,0.0007510185241699219,0.0003647804260253906
4_breastw,PCA,3,97.56330625895843,92.21965378676926,90.51094890510949,0.8174844779386959,0.8761904761904762,0.7796610169491526,1.0,0.000759124755859375,0.00034999847412109375
4_breastw,PCA,4,98.92350557244175,96.00577256926822,93.38235294117648,0.8629489272626913,0.9032258064516129,0.8235294117647058,1.0,0.0007991790771484375,0.00037789344787597656
4_breastw,PCA,5,99.44636678200692,99.09780774109127,95.58823529411765,0.9090722033241999,0.9433962264150944,0.9090909090909091,0.9803921568627451,0.0007860660552978516,0.0004818439483642578
8_celeba,PCA,1,77.87632342896174,17.715505653191638,88.64999999999999,0.23563981634617115,0.20350877192982456,0.12236286919831224,0.6041666666666666,0.018001794815063477,0.007601022720336914
8_celeba,PCA,2,84.06728171416478,14.775218527961636,90.25,0.24271219821615408,0.20408163265306123,0.12254901960784313,0.6097560975609756,0.017969846725463867,0.0073511600494384766
8_celeba,PCA,3,79.17597292724197,15.233682428153617,88.8,0.18760685252036793,0.13846153846153847,0.0782608695652174,0.6,0.01782989501953125,0.0058290958404541016
8_celeba,PCA,4,79.47897435897436,16.4972753103567,89.25,0.21186635414198152,0.1947565543071161,0.11981566820276497,0.52,0.01453399658203125,0.005974769592285156
8_celeba,PCA,5,75.78698945605421,14.284448589904782,88.6,0.18538357612116138,0.17985611510791366,0.11160714285714286,0.46296296296296297,0.01692795753479004,0.007294893264770508
10_cover,PCA,1,94.6730574390149,13.997039092106153,89.95,0.2580086097660081,0.1728395061728395,0.0967741935483871,0.8076923076923077,0.0026292800903320312,0.0006871223449707031
10_cover,PCA,2,95.5985191279309,7.163470013094337,90.35,0.22065665661394682,0.10232558139534884,0.05392156862745098,1.0,0.0025467872619628906,0.0007131099700927734
10_cover,PCA,3,94.52271901126863,15.908028485623415,90.10000000000001,0.30567947337336965,0.2265625,0.13122171945701358,0.8285714285714286,0.002153158187866211,0.0006346702575683594
10_cover,PCA,4,94.28787878787878,8.586027157134406,89.7,0.25243352742837044,0.1487603305785124,0.08108108108108109,0.9,0.002221822738647461,0.0007569789886474609
10_cover,PCA,5,95.2124126570844,11.41094745484536,89.8,0.2462698291281041,0.14285714285714285,0.0776255707762557,0.8947368421052632,0.0023229122161865234,0.0007040500640869141
11_donors,PCA,1,88.07166881864408,17.09927619424336,87.8,0.216290798372472,0.25153374233128833,0.18061674008810572,0.41414141414141414,0.002196073532104492,0.0006620883941650391
11_donors,PCA,2,90.32413270331486,27.55090672456957,88.55,0.31359617305582604,0.3475783475783476,0.2606837606837607,0.5213675213675214,0.0024840831756591797,0.0007040500640869141
11_donors,PCA,3,89.72583982473223,20.98058477663928,87.4,0.2639539202110114,0.29213483146067415,0.20634920634920634,0.5,0.0024950504302978516,0.0008471012115478516
11_donors,PCA,4,88.78442796610169,23.114166044067908,88.75,0.3134091925112867,0.34402332361516036,0.2554112554112554,0.5267857142857143,0.001977205276489258,0.0006158351898193359
11_donors,PCA,5,89.4454174530247,26.320637862533157,88.05,0.28914070547687737,0.3190883190883191,0.23140495867768596,0.5137614678899083,0.002002239227294922,0.0005939006805419922
12_fault,PCA,1,59.17903234976405,47.12944563535768,64.01028277634961,0.1464316595540859,0.3333333333333333,0.5223880597014925,0.24475524475524477,0.0015559196472167969,0.0006008148193359375
13_fraud,PCA,1,99.56536275493147,38.72364194944839,90.75,0.1688167938776543,0.06091370558375635,0.031413612565445025,1.0,0.006249904632568359,0.002012968063354492
13_fraud,PCA,2,98.09809809809809,3.7012987012987013,90.14999999999999,0.0951804106255497,0.01990049751243781,0.010050251256281407,1.0,0.007219791412353516,0.0026209354400634766
13_fraud,PCA,3,92.93940911367051,10.077972709551657,90.45,0.0750817296373983,0.020512820512820513,0.010416666666666666,0.6666666666666666,0.007227897644042969,0.0035719871520996094
13_fraud,PCA,4,97.92292292292292,5.878787878787879,89.1,0.08999448927022198,0.018018018018018018,0.00909090909090909,1.0,0.0076770782470703125,0.0022437572479248047
13_fraud,PCA,5,97.0288766483058,4.567942879631191,89.5,0.11226491954521796,0.027777777777777776,0.014084507042253521,1.0,0.007941007614135742,0.002707958221435547
14_glass,PCA,1,40.476190476190474,3.8461538461538463,88.37209302325581,-0.049416621110740085,0.0,0.0,0.0,0.0013148784637451172,0.0005049705505371094
15_Hepatitis,PCA,1,85.71428571428572,66.66666666666666,87.5,0.42857142857142855,0.5,0.5,0.5,0.0010199546813964844,0.0004878044128417969
