Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,1,53.09378361400036,30.009073094912843,68.10000000000001,0.0026112465819109047,0.15384615384615385,0.27488151658767773,0.10681399631675875,0.013763189315795898,0.0028808116912841797
1_ALOI,PCA,2,49.77760963460387,27.570266597553573,69.0,0.021104514150143472,0.1553133514986376,0.30158730158730157,0.10458715596330276,0.007921934127807617,0.0020751953125
1_ALOI,PCA,3,49.433555150691696,26.57462490263871,68.75,-0.0004487776483283565,0.14733969986357434,0.2634146341463415,0.10227272727272728,0.009730100631713867,0.0019867420196533203
1_ALOI,PCA,4,50.340067211738,25.314890018409365,69.3,-0.008981351528111445,0.13764044943820225,0.24378109452736318,0.0958904109589041,0.015452861785888672,0.0020380020141601562
1_ALOI,PCA,5,48.53767447942205,24.86872529353447,69.05,-0.01914463431305776,0.12693935119887165,0.23195876288659795,0.08737864077669903,0.008517980575561523,0.004422903060913086
2_annthyroid,PCA,1,62.8629483185558,24.734817454008763,83.81944444444444,0.16949819574226313,0.26031746031746034,0.2578616352201258,0.26282051282051283,0.0019452571868896484,0.0005729198455810547
2_annthyroid,PCA,2,69.29133313978404,32.65625461077516,82.43055555555556,0.21880986932360377,0.31805929919137466,0.295,0.34502923976608185,0.0018281936645507812,0.0014178752899169922
2_annthyroid,PCA,3,68.25537109375,37.126716699811034,85.625,0.3162416847307025,0.3965014577259475,0.37158469945355194,0.425,0.0019931793212890625,0.007861137390136719
2_annthyroid,PCA,4,69.00237154150197,31.43628695930069,82.36111111111111,0.23531664306871708,0.33507853403141363,0.30917874396135264,0.3657142857142857,0.008357763290405273,0.0006530284881591797
2_annthyroid,PCA,5,69.93502861125376,36.68771469048379,83.47222222222223,0.2221282231589393,0.3160919540229885,0.3125,0.31976744186046513,0.002360820770263672,0.0006263256072998047
4_breastw,PCA,1,95.29914529914531,96.16491213658557,91.24087591240875,0.8243589743589743,0.9076923076923077,0.9076923076923077,0.9076923076923077,0.00127410888671875,0.0004429817199707031
4_breastw,PCA,2,96.53350515463916,87.61863259123173,91.24087591240875,0.8071162185310357,0.8636363636363636,0.7916666666666666,0.95,0.0009748935699462891,0.00044417381286621094
4_breastw,PCA,3,94.15584415584416,93.56682189899178,90.51094890510949,0.8045074028638727,0.8761904761904762,0.8214285714285714,0.9387755102040817,0.0012590885162353516,0.0004360675811767578
4_breastw,PCA,4,90.66616008105369,80.27052902070432,89.70588235294117,0.7776240926814355,0.8478260869565217,0.78,0.9285714285714286,0.0009598731994628906,0.0009398460388183594
4_breastw,PCA,5,96.12794612794613,95.74793400938195,90.44117647058823,0.8010844164495072,0.8807339449541285,0.8888888888888888,0.8727272727272727,0.0011188983917236328,0.0009720325469970703
8_celeba,PCA,1,57.3850045208474,11.74138096510084,84.5,0.09481362175914594,0.1711229946524064,0.13733905579399142,0.22695035460992907,0.01675105094909668,0.004127025604248047
8_celeba,PCA,2,57.81590984479477,10.800379891839787,86.85000000000001,0.12879230848433054,0.19076923076923077,0.15270935960591134,0.2540983606557377,0.01752614974975586,0.005621910095214844
8_celeba,PCA,3,56.10894468560312,9.089893110817778,85.35000000000001,0.08433806622165346,0.15072463768115943,0.1145374449339207,0.22033898305084745,0.02409195899963379,0.003936052322387695
8_celeba,PCA,4,63.533778861953884,14.395981118785686,86.45,0.13201827338438396,0.19584569732937684,0.15639810426540285,0.2619047619047619,0.01846790313720703,0.009115934371948242
8_celeba,PCA,5,61.145205000437095,14.55505453861939,84.65,0.11052649029254616,0.18997361477572558,0.16071428571428573,0.23225806451612904,0.015203237533569336,0.004832029342651367
10_cover,PCA,1,57.08425146901709,10.633184621577582,85.7,0.09988611133024825,0.1686046511627907,0.13425925925925927,0.2265625,0.0034317970275878906,0.0008938312530517578
10_cover,PCA,2,56.991581857017216,6.746275190054702,86.45,0.06140687824918096,0.12297734627831715,0.09313725490196079,0.18095238095238095,0.003902912139892578,0.0016431808471679688
