Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,XGBClassifier,1,50.0,6.25,93.75,0.0,0.0,0.0,0.0,0.17668914794921875,0.002404928207397461
1_ALOI,XGBClassifier,2,50.0,5.8500000000000005,94.15,0.0,0.0,0.0,0.0,0.031202316284179688,0.0020613670349121094
1_ALOI,XGBClassifier,3,50.0,5.35,94.65,0.0,0.0,0.0,0.0,0.030506610870361328,0.002385377883911133
1_ALOI,XGBClassifier,4,50.0,5.4,94.6,0.0,0.0,0.0,0.0,0.02996063232421875,0.0021963119506835938
1_ALOI,XGBClassifier,5,50.0,6.25,93.75,0.0,0.0,0.0,0.0,0.031157732009887695,0.002039670944213867
2_annthyroid,XGBClassifier,1,50.0,11.893988364576598,88.1060116354234,0.0,0.0,0.0,0.0,0.020228147506713867,0.0018754005432128906
2_annthyroid,XGBClassifier,2,50.0,13.251454427925017,86.74854557207499,0.0,0.0,0.0,0.0,0.02030205726623535,0.001970529556274414
2_annthyroid,XGBClassifier,3,50.0,14.996767937944409,85.00323206205559,0.0,0.0,0.0,0.0,0.021844863891601562,0.0018961429595947266
2_annthyroid,XGBClassifier,4,50.0,14.802844214608921,85.19715578539108,0.0,0.0,0.0,0.0,0.02016425132751465,0.0018498897552490234
2_annthyroid,XGBClassifier,5,50.0,14.100905562742561,85.89909443725745,0.0,0.0,0.0,0.0,0.020210981369018555,0.0018460750579833984
3_backdoor,XGBClassifier,1,50.0,4.6,95.39999999999999,0.0,0.0,0.0,0.0,0.08317852020263672,0.002950429916381836
3_backdoor,XGBClassifier,2,50.0,4.75,95.25,0.0,0.0,0.0,0.0,0.08359766006469727,0.00293731689453125
3_backdoor,XGBClassifier,3,50.0,4.8500000000000005,95.15,0.0,0.0,0.0,0.0,0.08240556716918945,0.0030350685119628906
3_backdoor,XGBClassifier,4,50.0,5.55,94.45,0.0,0.0,0.0,0.0,0.08327436447143555,0.0032052993774414062
