Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,XGBClassifier,1,50.0,3.25,96.75,0.0,0.0,0.0,0.0,0.21921277046203613,0.0022585391998291016
1_ALOI,XGBClassifier,2,50.0,3.15,96.85000000000001,0.0,0.0,0.0,0.0,0.04121732711791992,0.0028443336486816406
1_ALOI,XGBClassifier,3,50.0,2.75,97.25,0.0,0.0,0.0,0.0,0.1726245880126953,0.011664628982543945
1_ALOI,XGBClassifier,4,50.0,3.0,97.0,0.0,0.0,0.0,0.0,0.21396350860595703,0.0035979747772216797
1_ALOI,XGBClassifier,5,50.0,2.9499999999999997,97.05,0.0,0.0,0.0,0.0,0.055939435958862305,0.002531290054321289
2_annthyroid,XGBClassifier,1,50.0,6.111111111111111,93.88888888888889,0.0,0.0,0.0,0.0,0.03108501434326172,0.0024487972259521484
2_annthyroid,XGBClassifier,2,50.0,7.708333333333334,92.29166666666667,0.0,0.0,0.0,0.0,0.03332686424255371,0.002298593521118164
2_annthyroid,XGBClassifier,3,50.0,7.361111111111112,92.63888888888889,0.0,0.0,0.0,0.0,0.036574602127075195,0.002209186553955078
2_annthyroid,XGBClassifier,4,50.0,7.777777777777778,92.22222222222223,0.0,0.0,0.0,0.0,0.029943466186523438,0.002218961715698242
2_annthyroid,XGBClassifier,5,50.0,8.125,91.875,0.0,0.0,0.0,0.0,0.043131113052368164,0.0042972564697265625
3_backdoor,XGBClassifier,1,50.0,2.7,97.3,0.0,0.0,0.0,0.0,0.08728241920471191,0.003045320510864258
3_backdoor,XGBClassifier,2,50.0,1.8499999999999999,98.15,0.0,0.0,0.0,0.0,0.08462762832641602,0.0030639171600341797
3_backdoor,XGBClassifier,3,50.0,2.9499999999999997,97.05,0.0,0.0,0.0,0.0,0.0918431282043457,0.0031061172485351562
3_backdoor,XGBClassifier,4,50.0,1.7500000000000002,98.25,0.0,0.0,0.0,0.0,0.09488391876220703,0.003099203109741211
3_backdoor,XGBClassifier,5,50.0,2.55,97.45,0.0,0.0,0.0,0.0,0.15192627906799316,0.003622293472290039
4_breastw,XGBClassifier,1,50.0,42.33576642335766,57.66423357664233,0.0,0.0,0.0,0.0,0.014627695083618164,0.0014803409576416016
4_breastw,XGBClassifier,2,50.0,30.656934306569344,69.34306569343066,0.0,0.0,0.0,0.0,0.014793157577514648,0.0014994144439697266
4_breastw,XGBClassifier,3,50.0,33.57664233576642,66.42335766423358,0.0,0.0,0.0,0.0,0.013142824172973633,0.0014650821685791016
4_breastw,XGBClassifier,4,50.0,30.88235294117647,69.11764705882352,0.0,0.0,0.0,0.0,0.013230323791503906,0.001462697982788086
4_breastw,XGBClassifier,5,50.0,37.5,62.5,0.0,0.0,0.0,0.0,0.012771844863891602,0.0014164447784423828
5_campaign,XGBClassifier,1,50.0,11.1,88.9,0.0,0.0,0.0,0.0,0.03325510025024414,0.0021829605102539062
5_campaign,XGBClassifier,2,50.0,12.049999999999999,87.94999999999999,0.0,0.0,0.0,0.0,0.033083200454711914,0.0021860599517822266
5_campaign,XGBClassifier,3,50.0,10.25,89.75,0.0,0.0,0.0,0.0,0.034631967544555664,0.0022068023681640625
5_campaign,XGBClassifier,4,50.0,11.15,88.85,0.0,0.0,0.0,0.0,0.034003257751464844,0.002210855484008789
5_campaign,XGBClassifier,5,50.0,10.6,89.4,0.0,0.0,0.0,0.0,0.03541922569274902,0.002199888229370117
6_cardio,XGBClassifier,1,50.0,10.899182561307901,89.10081743869209,0.0,0.0,0.0,0.0,0.017845869064331055,0.0015873908996582031
6_cardio,XGBClassifier,2,50.0,9.289617486338798,90.7103825136612,0.0,0.0,0.0,0.0,0.017756223678588867,0.0016362667083740234
6_cardio,XGBClassifier,3,50.0,8.19672131147541,91.80327868852459,0.0,0.0,0.0,0.0,0.017324209213256836,0.0015990734100341797
6_cardio,XGBClassifier,4,50.0,9.01639344262295,90.98360655737704,0.0,0.0,0.0,0.0,0.018132925033569336,0.0016016960144042969
6_cardio,XGBClassifier,5,50.0,10.655737704918032,89.34426229508196,0.0,0.0,0.0,0.0,0.017399072647094727,0.0015804767608642578
7_Cardiotocography,XGBClassifier,1,50.0,20.094562647754138,79.90543735224587,0.0,0.0,0.0,0.0,0.017151832580566406,0.0017056465148925781
7_Cardiotocography,XGBClassifier,2,50.0,22.458628841607563,77.54137115839244,0.0,0.0,0.0,0.0,0.0170743465423584,0.0015759468078613281
7_Cardiotocography,XGBClassifier,3,50.0,24.113475177304963,75.88652482269504,0.0,0.0,0.0,0.0,0.0164182186126709,0.0016107559204101562
7_Cardiotocography,XGBClassifier,4,50.0,21.513002364066196,78.4869976359338,0.0,0.0,0.0,0.0,0.016653060913085938,0.0015761852264404297
7_Cardiotocography,XGBClassifier,5,50.0,22.03791469194313,77.96208530805687,0.0,0.0,0.0,0.0,0.016920804977416992,0.001596212387084961
8_celeba,XGBClassifier,1,50.0,2.4,97.6,0.0,0.0,0.0,0.0,0.028651714324951172,0.0020453929901123047
8_celeba,XGBClassifier,2,50.0,2.0500000000000003,97.95,0.0,0.0,0.0,0.0,0.04776477813720703,0.002040386199951172
8_celeba,XGBClassifier,3,50.0,1.5,98.5,0.0,0.0,0.0,0.0,0.028425216674804688,0.0020830631256103516
8_celeba,XGBClassifier,4,50.0,2.5,97.5,0.0,0.0,0.0,0.0,0.02941298484802246,0.002067089080810547
8_celeba,XGBClassifier,5,50.0,2.7,97.3,0.0,0.0,0.0,0.0,0.028512001037597656,0.0019822120666503906
9_census,XGBClassifier,1,50.0,5.25,94.75,0.0,0.0,0.0,0.0,0.19440150260925293,0.005039691925048828
9_census,XGBClassifier,2,50.0,7.1,92.9,0.0,0.0,0.0,0.0,0.17801976203918457,0.005637645721435547
9_census,XGBClassifier,3,50.0,6.45,93.55,0.0,0.0,0.0,0.0,0.17874765396118164,0.006422519683837891
9_census,XGBClassifier,4,50.0,5.65,94.35,0.0,0.0,0.0,0.0,0.17597460746765137,0.004849910736083984
9_census,XGBClassifier,5,50.0,6.35,93.65,0.0,0.0,0.0,0.0,0.1738142967224121,0.0049860477447509766
10_cover,XGBClassifier,1,50.0,1.3,98.7,0.0,0.0,0.0,0.0,0.026046037673950195,0.0021431446075439453
