Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,XGBClassifier,1,50.0,27.150000000000002,72.85000000000001,0.0,0.0,0.0,0.0,0.35931992530822754,0.010518312454223633
1_ALOI,XGBClassifier,2,50.0,27.250000000000004,72.75,0.0,0.0,0.0,0.0,0.13971900939941406,0.0059816837310791016
1_ALOI,XGBClassifier,3,50.0,26.400000000000002,73.6,0.0,0.0,0.0,0.0,0.11670351028442383,0.009447097778320312
1_ALOI,XGBClassifier,4,50.0,25.55,74.45,0.0,0.0,0.0,0.0,0.11887884140014648,0.005834102630615234
1_ALOI,XGBClassifier,5,50.0,25.75,74.25,0.0,0.0,0.0,0.0,0.1285867691040039,0.010548114776611328
2_annthyroid,XGBClassifier,1,50.0,10.833333333333334,89.16666666666667,0.0,0.0,0.0,0.0,0.12601637840270996,0.002552509307861328
2_annthyroid,XGBClassifier,2,50.0,11.875,88.125,0.0,0.0,0.0,0.0,0.08232426643371582,0.008519649505615234
2_annthyroid,XGBClassifier,3,50.0,11.11111111111111,88.88888888888889,0.0,0.0,0.0,0.0,0.08133339881896973,0.003003835678100586
2_annthyroid,XGBClassifier,4,50.0,12.152777777777777,87.84722222222221,0.0,0.0,0.0,0.0,0.08499026298522949,0.0074880123138427734
2_annthyroid,XGBClassifier,5,50.0,11.944444444444445,88.05555555555556,0.0,0.0,0.0,0.0,0.08920049667358398,0.0033032894134521484
3_backdoor,XGBClassifier,1,50.0,8.05,91.95,0.0,0.0,0.0,0.0,0.24210405349731445,0.010996818542480469
3_backdoor,XGBClassifier,2,50.0,7.75,92.25,0.0,0.0,0.0,0.0,0.21023917198181152,0.006969451904296875
3_backdoor,XGBClassifier,3,50.0,8.3,91.7,0.0,0.0,0.0,0.0,0.22628498077392578,0.004812717437744141
3_backdoor,XGBClassifier,4,50.0,8.05,91.95,0.0,0.0,0.0,0.0,0.3082160949707031,0.011575937271118164
3_backdoor,XGBClassifier,5,50.0,7.95,92.05,0.0,0.0,0.0,0.0,0.3148188591003418,0.005204200744628906
4_breastw,XGBClassifier,1,50.0,47.44525547445255,52.55474452554745,0.0,0.0,0.0,0.0,0.10370349884033203,0.0029382705688476562
4_breastw,XGBClassifier,2,50.0,29.1970802919708,70.8029197080292,0.0,0.0,0.0,0.0,0.09903860092163086,0.003118276596069336
4_breastw,XGBClassifier,3,50.0,35.76642335766424,64.23357664233576,0.0,0.0,0.0,0.0,0.09868788719177246,0.0031609535217285156
4_breastw,XGBClassifier,4,50.0,30.88235294117647,69.11764705882352,0.0,0.0,0.0,0.0,0.07797765731811523,0.008388996124267578
4_breastw,XGBClassifier,5,50.0,40.44117647058824,59.55882352941176,0.0,0.0,0.0,0.0,0.10815143585205078,0.004665851593017578
5_campaign,XGBClassifier,1,50.0,15.45,84.55,0.0,0.0,0.0,0.0,0.20741915702819824,0.008771657943725586
