Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,AutoEncoder,1,52.721129000198765,6.0790987448717155,87.35000000000001,0.04680605570025463,0.08664259927797834,0.05660377358490566,0.18461538461538463,13.916984796524048,0.11130213737487793
1_ALOI,AutoEncoder,2,50.4724209422196,3.4573498854657965,88.4,0.030574950768443916,0.072,0.0481283422459893,0.14285714285714285,12.937378883361816,0.19667696952819824
1_ALOI,AutoEncoder,3,56.39728908623509,3.4552572604536316,87.85,-0.004555529576509516,0.039525691699604744,0.025252525252525252,0.09090909090909091,4.950846910476685,0.05394887924194336
1_ALOI,AutoEncoder,4,55.24570446735395,3.5133423236253005,87.7,-0.008675407336511752,0.0390625,0.025510204081632654,0.08333333333333333,9.28627610206604,0.10479474067687988
1_ALOI,AutoEncoder,5,57.19400274190309,4.105784740511336,87.2,0.03419063688356097,0.07246376811594203,0.04608294930875576,0.1694915254237288,10.178829193115234,0.11377978324890137
2_annthyroid,AutoEncoder,1,81.97451586874664,35.240530349524434,88.125,0.30067441071489487,0.33976833976833976,0.2573099415204678,0.5,5.824101209640503,0.09927916526794434
2_annthyroid,AutoEncoder,2,86.32786285156489,45.53317489373499,88.05555555555556,0.3665728468445986,0.41496598639455784,0.3333333333333333,0.5495495495495496,3.4395511150360107,0.0314791202545166
2_annthyroid,AutoEncoder,3,86.07076178891685,55.015372645476965,88.61111111111111,0.4280001817224032,0.4605263157894737,0.35353535353535354,0.660377358490566,4.100003719329834,0.10098814964294434
2_annthyroid,AutoEncoder,4,84.79386295180723,38.75141923834089,85.90277777777777,0.3245273136812524,0.37538461538461537,0.2863849765258216,0.5446428571428571,4.548217058181763,0.028630971908569336
2_annthyroid,AutoEncoder,5,82.83362727807172,52.05172603897118,86.94444444444444,0.3662054403561042,0.4161490683229814,0.32682926829268294,0.5726495726495726,5.535747289657593,0.09163689613342285
3_backdoor,AutoEncoder,1,96.5018461421339,94.67178504748084,89.75,0.40989493468360677,0.3322475570032573,0.2015810276679842,0.9444444444444444,4.950153112411499,0.04457283020019531
3_backdoor,AutoEncoder,2,93.54270215197367,79.76188165206531,89.2,0.29259400794492,0.21739130434782608,0.12552301255230125,0.8108108108108109,8.134248971939087,0.04622387886047363
3_backdoor,AutoEncoder,3,88.827181515731,77.48107733932082,89.8,0.3711694318960314,0.32,0.1991701244813278,0.8135593220338984,3.3890678882598877,0.047057151794433594
3_backdoor,AutoEncoder,4,87.25845147219195,71.71769861073996,89.2,0.2605604764053506,0.19402985074626866,0.11158798283261803,0.7428571428571429,3.4087862968444824,0.042005300521850586
3_backdoor,AutoEncoder,5,90.32082817734583,77.83929850612896,90.9,0.3739397951719065,0.3157894736842105,0.19534883720930232,0.8235294117647058,3.336003065109253,0.0493929386138916
4_breastw,AutoEncoder,1,98.38498472282845,97.0629332848585,94.16058394160584,0.8887050698567587,0.9354838709677419,0.8787878787878788,1.0,0.19056105613708496,0.004641056060791016
