Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,1,50.132379248658324,3.8799351269146145,87.64999999999999,0.014775329886777348,0.060836501901140684,0.04040404040404041,0.12307692307692308,0.07133102416992188,0.006378650665283203
1_ALOI,IForest,2,49.125632011538045,3.147537032603731,87.9,-0.018588822777855996,0.032,0.0213903743315508,0.06349206349206349,0.06460213661193848,0.006144046783447266
1_ALOI,IForest,3,53.80930123860714,2.93633280277383,87.15,-0.008243568532361502,0.03745318352059925,0.02358490566037736,0.09090909090909091,0.06641912460327148,0.006597757339477539
1_ALOI,IForest,4,53.243556701030926,3.4368296324059413,87.5,0.017550118934245986,0.06015037593984962,0.038834951456310676,0.13333333333333333,0.0661921501159668,0.006354808807373047
1_ALOI,IForest,5,53.09206332573635,3.623825013622791,87.8,0.01115049283037036,0.05426356589147287,0.035175879396984924,0.11864406779661017,0.06549811363220215,0.006173849105834961
2_annthyroid,IForest,1,90.64685314685315,44.13665826002233,89.86111111111111,0.4098048944802987,0.43410852713178294,0.32941176470588235,0.6363636363636364,0.06818699836730957,0.008348941802978516
2_annthyroid,IForest,2,91.47431856235468,47.08256407295107,88.81944444444444,0.4663502286554175,0.4952978056426332,0.3798076923076923,0.7117117117117117,0.06975317001342773,0.008100748062133789
2_annthyroid,IForest,3,93.35167321999378,55.765142857313734,90.34722222222223,0.5047140774192859,0.5288135593220339,0.4126984126984127,0.7358490566037735,0.06926393508911133,0.00843501091003418
2_annthyroid,IForest,4,91.36523773666093,42.6189432523774,86.25,0.4148642486398771,0.4438202247191011,0.3237704918032787,0.7053571428571429,0.06832194328308105,0.008471012115478516
2_annthyroid,IForest,5,91.96529513989832,50.751146163562886,88.40277777777777,0.44899780502199615,0.48615384615384616,0.3798076923076923,0.6752136752136753,0.06943678855895996,0.008556127548217773
3_backdoor,IForest,1,73.92752464694911,4.9208960002643,87.55,-0.015128459215684172,0.0311284046692607,0.019704433497536946,0.07407407407407407,0.08602190017700195,0.010321855545043945
3_backdoor,IForest,2,76.27872396084317,3.8034019432969792,88.05,-0.0221076512333538,0.01646090534979424,0.009708737864077669,0.05405405405405406,0.08660387992858887,0.010829687118530273
3_backdoor,IForest,3,73.89603471912957,6.296558496078017,87.7,0.019682905235460884,0.061068702290076333,0.03940886699507389,0.13559322033898305,0.08428788185119629,0.010122060775756836
