Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,NeuTraLAD,1,47.64102564102564,6.476636848999295,92.35,0.03557858944868299,0.07272727272727272,0.06,0.09230769230769231,34.894285678863525,0.026827096939086914
1_ALOI,NeuTraLAD,2,51.0624349550524,3.5369954523676665,92.45,0.025368312940539917,0.062111801242236024,0.05102040816326531,0.07936507936507936,37.46529698371887,0.02883601188659668
1_ALOI,NeuTraLAD,3,53.73591960738489,5.602277932756559,92.85,0.04559271015196394,0.07741935483870968,0.06,0.10909090909090909,38.25948190689087,0.032724857330322266
1_ALOI,NeuTraLAD,4,49.96176975945017,3.068862653631433,92.2,-0.013448588493413856,0.025,0.02,0.03333333333333333,30.55499529838562,0.017484664916992188
1_ALOI,NeuTraLAD,5,44.868973707419734,3.0361330471902446,92.45,0.014236516006511055,0.050314465408805034,0.04,0.06779661016949153,32.7282338142395,0.019732952117919922
2_annthyroid,NeuTraLAD,1,47.665495562130175,8.45988789311574,89.86111111111111,0.03458572319330373,0.0875,0.09722222222222222,0.07954545454545454,22.90011692047119,0.012438058853149414
2_annthyroid,NeuTraLAD,2,61.23279035242918,21.87141844431241,90.625,0.22040710275744266,0.26229508196721313,0.3333333333333333,0.21621621621621623,22.754854917526245,0.01181483268737793
2_annthyroid,NeuTraLAD,3,65.77324545274533,23.465594149693306,91.45833333333333,0.2674429833205558,0.3050847457627119,0.38028169014084506,0.25471698113207547,25.03395104408264,0.011628150939941406
2_annthyroid,NeuTraLAD,4,62.246530765920824,18.476786897188514,90.76388888888889,0.22620475174680624,0.26519337016574585,0.34782608695652173,0.21428571428571427,19.37842607498169,0.012575149536132812
2_annthyroid,NeuTraLAD,5,60.71573928716785,20.221752219789536,89.79166666666667,0.1766822718938932,0.2222222222222222,0.2916666666666667,0.1794871794871795,26.189518928527832,0.02032613754272461
3_backdoor,NeuTraLAD,1,96.80160633398044,92.1063024117259,97.5,0.6978013681036712,0.6753246753246753,0.52,0.9629629629629629,47.53777194023132,0.035475969314575195
3_backdoor,NeuTraLAD,2,96.14214316201071,69.87238276288907,96.65,0.5643853292593523,0.5109489051094891,0.35,0.9459459459459459,49.63446497917175,0.042038917541503906
3_backdoor,NeuTraLAD,3,86.12981252019316,68.65788008531828,96.55,0.5701385695940856,0.5660377358490566,0.45,0.7627118644067796,47.923444986343384,0.042520999908447266
3_backdoor,NeuTraLAD,4,85.85387131952017,57.931668774356694,95.65,0.38928521624429885,0.35555555555555557,0.24,0.6857142857142857,44.057732820510864,0.02779412269592285
3_backdoor,NeuTraLAD,5,89.38822322156157,79.17605640449047,96.55,0.5595752942038688,0.543046357615894,0.41,0.803921568627451,42.32351803779602,0.024344682693481445
4_breastw,NeuTraLAD,1,88.93496289829768,83.51736748336035,62.77372262773723,0.27081760479391476,0.2153846153846154,1.0,0.1206896551724138,1.5634140968322754,0.0030651092529296875
4_breastw,NeuTraLAD,2,90.7017543859649,80.35868255084165,74.45255474452554,0.3489912202260564,0.2857142857142857,1.0,0.16666666666666666,1.5199737548828125,0.0020182132720947266
4_breastw,NeuTraLAD,3,89.08265647396082,79.24662158133933,71.53284671532847,0.3263766828841098,0.2641509433962264,1.0,0.15217391304347827,1.5216760635375977,0.0032629966735839844
4_breastw,NeuTraLAD,4,86.60081053698075,76.96398390390486,74.26470588235294,0.3484925084184345,0.2857142857142857,1.0,0.16666666666666666,1.3964087963104248,0.003081083297729492
4_breastw,NeuTraLAD,5,91.64936562860439,85.83564381147747,67.64705882352942,0.30073123629877246,0.2413793103448276,1.0,0.13725490196078433,1.5217909812927246,0.0021927356719970703
5_campaign,NeuTraLAD,1,70.7724034495688,25.266144753249005,87.5,0.1818486899605024,0.2236024844720497,0.36,0.16216216216216217,31.91183114051819,0.02106189727783203
5_campaign,NeuTraLAD,2,72.27347677268536,29.489236070107864,87.45,0.23220265069969231,0.26392961876832843,0.45,0.18672199170124482,40.67042779922485,0.02535104751586914
5_campaign,NeuTraLAD,3,65.81914532237245,25.08300665744333,88.55,0.20989738388323226,0.24918032786885247,0.38,0.18536585365853658,39.77002811431885,0.025404930114746094
5_campaign,NeuTraLAD,4,72.32626157351913,30.42728647220563,88.55,0.2613040913797868,0.29102167182662536,0.47,0.21076233183856502,39.86513090133667,0.022053956985473633
5_campaign,NeuTraLAD,5,71.91364864294458,29.590932709857366,88.8,0.2489132264890387,0.28205128205128205,0.44,0.20754716981132076,40.08103394508362,0.022047996520996094
6_cardio,NeuTraLAD,1,58.15749235474006,13.09767013256733,85.01362397820164,-0.002795780384659618,0.06779661016949153,0.10526315789473684,0.05,6.995683908462524,0.0044939517974853516
6_cardio,NeuTraLAD,2,61.605244507441526,15.552985612229048,87.70491803278688,0.09482072364889356,0.1509433962264151,0.21052631578947367,0.11764705882352941,6.5770769119262695,0.007155895233154297
6_cardio,NeuTraLAD,3,64.42460317460318,12.362240371835528,87.70491803278688,0.019872074680986746,0.08163265306122448,0.10526315789473684,0.06666666666666667,7.152256011962891,0.004708051681518555
6_cardio,NeuTraLAD,4,56.48375648375649,10.556673919631736,86.33879781420765,-0.030663369951623234,0.038461538461538464,0.05263157894736842,0.030303030303030304,5.9770188331604,0.004881143569946289
6_cardio,NeuTraLAD,5,61.19344467968322,14.607817921005543,84.69945355191257,-0.040896255933178104,0.034482758620689655,0.05263157894736842,0.02564102564102564,5.769117832183838,0.004804134368896484
7_Cardiotocography,NeuTraLAD,1,75.49599721545422,51.087678785464604,82.26950354609929,0.30765745352334317,0.29906542056074764,0.7272727272727273,0.18823529411764706,5.497489929199219,0.005914926528930664
7_Cardiotocography,NeuTraLAD,2,76.37355584082157,59.65054586949128,81.32387706855792,0.35868704177534877,0.3247863247863248,0.8636363636363636,0.2,5.51214599609375,0.008347749710083008
7_Cardiotocography,NeuTraLAD,3,70.9516828538269,54.976526578116115,79.66903073286052,0.3408532189106996,0.3064516129032258,0.8636363636363636,0.18627450980392157,5.3500542640686035,0.006540060043334961
7_Cardiotocography,NeuTraLAD,4,80.93472792267973,59.127756185908986,82.74231678486997,0.39557130125108747,0.35398230088495575,0.9090909090909091,0.21978021978021978,5.347928285598755,0.004870891571044922
7_Cardiotocography,NeuTraLAD,5,72.74242572801255,50.57980282894754,80.33175355450237,0.2867947279048727,0.2782608695652174,0.7272727272727273,0.17204301075268819,5.335033655166626,0.007368803024291992
8_celeba,NeuTraLAD,1,68.25478142076503,4.74559065750163,93.0,0.023983505020867858,0.05405405405405406,0.04,0.08333333333333333,33.77740502357483,0.023579835891723633
