Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,1,50.32081097197376,5.487080639283507,86.85000000000001,0.00953238356391659,0.05734767025089606,0.037383177570093455,0.12307692307692308,0.009833812713623047,0.0013592243194580078
1_ALOI,PCA,2,53.622440199621416,3.454194437139767,88.3,0.029813019612889475,0.07142857142857142,0.047619047619047616,0.14285714285714285,0.007314920425415039,0.007525205612182617
1_ALOI,PCA,3,52.952559009114275,3.1982127786508747,87.55,-0.015777882337954283,0.0311284046692607,0.019801980198019802,0.07272727272727272,0.011296987533569336,0.0012519359588623047
1_ALOI,PCA,4,54.95704467353952,3.3383559185177387,87.35000000000001,-0.01978955064977755,0.03065134099616858,0.01990049751243781,0.06666666666666667,0.019896745681762695,0.00467991828918457
1_ALOI,PCA,5,57.98601105493412,4.0291784046341945,88.14999999999999,0.022734976771011096,0.06324110671936758,0.041237113402061855,0.13559322033898305,0.0039310455322265625,0.003493785858154297
2_annthyroid,PCA,1,78.2124125874126,32.938916395215166,88.54166666666666,0.289382793979881,0.3319838056680162,0.2578616352201258,0.4659090909090909,0.0010390281677246094,0.0003180503845214844
2_annthyroid,PCA,2,83.85157166195542,42.36245972499327,86.59722222222223,0.3429607876654236,0.3911671924290221,0.30097087378640774,0.5585585585585585,0.0015149116516113281,0.00038313865661621094
2_annthyroid,PCA,3,86.31792594268904,50.5920717283314,88.47222222222221,0.4008558902713097,0.4391891891891892,0.34210526315789475,0.6132075471698113,0.007646083831787109,0.0024619102478027344
2_annthyroid,PCA,4,82.42389199655766,35.651749278678494,84.58333333333333,0.2730706707208283,0.3313253012048193,0.25,0.49107142857142855,0.00098419189453125,0.00030803680419921875
2_annthyroid,PCA,5,83.95320141351887,47.497882146659414,87.08333333333333,0.31660794637660034,0.37583892617449666,0.30939226519337015,0.47863247863247865,0.002105236053466797,0.0004127025604248047
4_breastw,PCA,1,99.14884329986906,98.74794390699742,93.43065693430657,0.8758143763607482,0.928,0.8656716417910447,1.0,0.0006172657012939453,0.00023674964904785156
4_breastw,PCA,2,99.8997493734336,99.7703438531775,94.8905109489051,0.8910583383853242,0.9230769230769231,0.8571428571428571,1.0,0.0004410743713378906,0.00021886825561523438
4_breastw,PCA,3,97.56330625895843,92.21965378676926,90.51094890510949,0.8174844779386959,0.8761904761904762,0.7796610169491526,1.0,0.0005719661712646484,0.00023603439331054688
4_breastw,PCA,4,98.92350557244175,96.00577256926822,93.38235294117648,0.8629489272626913,0.9032258064516129,0.8235294117647058,1.0,0.0005059242248535156,0.0002491474151611328
4_breastw,PCA,5,99.44636678200692,99.09780774109127,95.58823529411765,0.9090722033241999,0.9433962264150944,0.9090909090909091,0.9803921568627451,0.00074005126953125,0.00024199485778808594
6_cardio,PCA,1,98.05810397553516,87.09044252077872,92.64305177111717,0.7128804440918863,0.7326732673267327,0.6065573770491803,0.925,0.0008959770202636719,0.0003521442413330078
6_cardio,PCA,2,96.22608079376329,76.6022941541392,87.97814207650273,0.5756307524766593,0.5849056603773585,0.4305555555555556,0.9117647058823529,0.0018270015716552734,0.0007338523864746094
6_cardio,PCA,3,95.22817460317461,63.50390141705443,87.1584699453552,0.5180718508795908,0.5252525252525253,0.37681159420289856,0.8666666666666667,0.0018298625946044922,0.0007128715515136719
7_Cardiotocography,PCA,1,81.5001740341107,61.18120880132468,82.03309692671394,0.39162636211516083,0.49333333333333335,0.5692307692307692,0.43529411764705883,0.001255035400390625,0.0003590583801269531
7_Cardiotocography,PCA,2,83.89602053915277,65.04209695950055,81.56028368794325,0.4288359576748631,0.5357142857142857,0.6164383561643836,0.47368421052631576,0.0009050369262695312,0.0003712177276611328
8_celeba,PCA,1,78.17622950819671,18.306449975800952,88.75,0.22817934590714112,0.199288256227758,0.12017167381974249,0.5833333333333334,0.012283086776733398,0.0020971298217773438
8_celeba,PCA,2,83.64023456467336,14.71409875914061,90.4,0.25516528980555336,0.21311475409836064,0.12807881773399016,0.6341463414634146,0.014802932739257812,0.0021321773529052734
8_celeba,PCA,3,79.2715736040609,15.254699177014288,88.8,0.18760685252036793,0.13846153846153847,0.0782608695652174,0.6,0.007528066635131836,0.005266904830932617
8_celeba,PCA,4,79.99076923076922,16.92613082698965,89.45,0.21464517382845574,0.19771863117870722,0.12206572769953052,0.52,0.01320195198059082,0.0023200511932373047
8_celeba,PCA,5,75.83361881923032,13.493678630594857,88.6,0.19388316336959782,0.18571428571428572,0.11504424778761062,0.48148148148148145,0.007094144821166992,0.003965854644775391
10_cover,PCA,1,94.6730574390149,13.997039092106153,89.95,0.2580086097660081,0.1728395061728395,0.0967741935483871,0.8076923076923077,0.002359151840209961,0.0007908344268798828
10_cover,PCA,2,95.5985191279309,7.163470013094337,90.35,0.22065665661394682,0.10232558139534884,0.05392156862745098,1.0,0.0016179084777832031,0.0005049705505371094
10_cover,PCA,3,94.52271901126863,15.908028485623415,90.10000000000001,0.30567947337336965,0.2265625,0.13122171945701358,0.8285714285714286,0.0017578601837158203,0.0004680156707763672
10_cover,PCA,4,94.28787878787878,8.586027157134406,89.7,0.25243352742837044,0.1487603305785124,0.08108108108108109,0.9,0.0017681121826171875,0.0004940032958984375
10_cover,PCA,5,95.2124126570844,11.41094745484536,89.8,0.2462698291281041,0.14285714285714285,0.0776255707762557,0.8947368421052632,0.0022389888763427734,0.0006880760192871094
11_donors,PCA,1,88.07166881864408,17.09927619424336,87.8,0.216290798372472,0.25153374233128833,0.18061674008810572,0.41414141414141414,0.0015339851379394531,0.0004591941833496094
11_donors,PCA,2,90.32413270331486,27.55090672456957,88.55,0.31359617305582604,0.3475783475783476,0.2606837606837607,0.5213675213675214,0.001644134521484375,0.0004451274871826172
11_donors,PCA,3,89.72583982473223,20.98058477663928,87.4,0.2639539202110114,0.29213483146067415,0.20634920634920634,0.5,0.0015628337860107422,0.00045990943908691406
11_donors,PCA,4,88.78442796610169,23.114166044067908,88.75,0.3134091925112867,0.34402332361516036,0.2554112554112554,0.5267857142857143,0.0016193389892578125,0.0004439353942871094
11_donors,PCA,5,89.4454174530247,26.320637862533157,88.05,0.28914070547687737,0.3190883190883191,0.23140495867768596,0.5137614678899083,0.0019347667694091797,0.0004851818084716797
13_fraud,PCA,1,99.56536275493147,38.7236419494484,90.85,0.1698014409068246,0.06153846153846154,0.031746031746031744,1.0,0.004981040954589844,0.0013401508331298828
13_fraud,PCA,2,98.09809809809809,3.7012987012987013,90.10000000000001,0.0949157995752499,0.019801980198019802,0.01,1.0,0.004285097122192383,0.0023660659790039062
13_fraud,PCA,3,93.28993490235352,10.09336634684824,90.10000000000001,0.07343936189573012,0.019801980198019802,0.010050251256281407,0.6666666666666666,0.0055730342864990234,0.0017499923706054688
13_fraud,PCA,4,97.94794794794794,5.896805896805897,89.14999999999999,0.09022505556648983,0.01809954751131222,0.0091324200913242,1.0,0.004394054412841797,0.0022428035736083984
13_fraud,PCA,5,97.02887664830578,4.567942879631191,89.8,0.11407134623223861,0.02857142857142857,0.014492753623188406,1.0,0.005934715270996094,0.0021681785583496094
14_glass,PCA,1,40.476190476190474,3.8461538461538463,88.37209302325581,-0.049416621110740085,0.0,0.0,0.0,0.0005021095275878906,0.0002110004425048828
15_Hepatitis,PCA,1,89.28571428571428,70.0,87.5,0.42857142857142855,0.5,0.5,0.5,0.0038552284240722656,0.00023293495178222656
15_Hepatitis,PCA,2,85.41666666666666,76.11111111111111,81.25,0.4472135954999579,0.4,1.0,0.25,0.0004801750183105469,0.0002028942108154297
15_Hepatitis,PCA,3,82.14285714285714,64.28571428571428,81.25,0.30261376633440124,0.4,0.3333333333333333,0.5,0.00044274330139160156,0.00019311904907226562
15_Hepatitis,PCA,4,93.33333333333333,33.33333333333333,75.0,0.38297084310253526,0.3333333333333333,0.2,1.0,0.0003898143768310547,0.0001862049102783203
15_Hepatitis,PCA,5,85.41666666666667,69.16666666666667,75.0,0.2182178902359924,0.3333333333333333,0.5,0.25,0.001149892807006836,0.00044798851013183594
16_http,PCA,1,99.89914271306102,89.47368421052632,89.8,0.2626968957273527,0.14285714285714285,0.07692307692307693,1.0,0.0018379688262939453,0.0003170967102050781
16_http,PCA,2,99.94979919678715,88.88888888888889,90.14999999999999,0.18752346638670367,0.07511737089201878,0.03902439024390244,1.0,0.0010590553283691406,0.0003230571746826172
16_http,PCA,3,99.89934574735783,85.78754578754578,90.3,0.23805522310433963,0.11818181818181818,0.06280193236714976,1.0,0.002346038818359375,0.0009479522705078125
16_http,PCA,4,99.9458015562696,91.87376725838266,90.2,0.2367812955456593,0.11711711711711711,0.06220095693779904,1.0,0.0012378692626953125,0.00034308433532714844
16_http,PCA,5,99.899849774662,60.0,90.5,0.11859653940784476,0.030612244897959183,0.015544041450777202,1.0,0.001100778579711914,0.0011529922485351562
17_InternetAds,PCA,1,85.22492038216562,64.91959406425923,80.96446700507614,0.4973865672829315,0.6073298429319371,0.5225225225225225,0.725,39.680458784103394,2.048570156097412
17_InternetAds,PCA,2,77.14469178082192,62.63858231309053,82.44274809160305,0.4837384301957663,0.5868263473053892,0.5212765957446809,0.6712328767123288,37.85834860801697,1.6517231464385986
17_InternetAds,PCA,3,74.22222222222223,52.55660130410848,77.86259541984732,0.39408828442430927,0.5396825396825397,0.53125,0.5483870967741935,28.63515591621399,1.344222068786621
17_InternetAds,PCA,4,76.10879935045163,55.849989178250134,81.1704834605598,0.42824935072448794,0.5194805194805194,0.42105263157894735,0.6779661016949152,7.286786079406738,1.2081270217895508
17_InternetAds,PCA,5,75.2116402116402,43.93895332205421,84.22391857506362,0.4511387116008825,0.5441176470588235,0.5068493150684932,0.5873015873015873,8.345716953277588,1.3087050914764404
18_Ionosphere,PCA,1,89.20265780730897,86.53077942313462,77.46478873239437,0.5200017807495976,0.6923076923076923,0.75,0.6428571428571429,0.002305746078491211,0.00038623809814453125
18_Ionosphere,PCA,2,90.97777777777777,86.57506934185572,87.14285714285714,0.7156264473321343,0.8085106382978723,0.8636363636363636,0.76,0.0008609294891357422,0.00030493736267089844
18_Ionosphere,PCA,3,82.41010689990281,77.12156469900083,71.42857142857143,0.35783002674779546,0.5652173913043478,0.52,0.6190476190476191,0.0013308525085449219,0.0005459785461425781
18_Ionosphere,PCA,4,93.66666666666667,93.32749728473414,85.71428571428571,0.7124242480283388,0.8148148148148148,0.9166666666666666,0.7333333333333333,0.0012743473052978516,0.0005679130554199219
18_Ionosphere,PCA,5,90.67234848484847,79.7300145260824,82.85714285714286,0.5874122019954089,0.7,0.7777777777777778,0.6363636363636364,0.0014498233795166016,0.000553131103515625
19_landsat,PCA,1,39.28725323361646,17.5437854923248,72.41647241647242,-0.057368907452199316,0.082687338501292,0.13559322033898305,0.05947955390334572,0.003770112991333008,0.0017538070678710938
19_landsat,PCA,2,41.688529863816704,19.588650205194604,73.27117327117327,-0.02904522140374322,0.09473684210526316,0.17475728155339806,0.06498194945848375,0.005075216293334961,0.0015597343444824219
19_landsat,PCA,3,43.37942609315589,18.497094544244373,73.27117327117327,-0.04391139979723241,0.08994708994708994,0.14782608695652175,0.06463878326996197,0.004485130310058594,0.0017540454864501953
19_landsat,PCA,4,39.50199535079298,15.63344880694903,72.8049728049728,-0.1036259150864308,0.04371584699453552,0.064,0.03319502074688797,0.0037293434143066406,0.001432657241821289
