Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,SFF_OD,1,67.25819916517591,7.656939693319178,95.89999999999999,0.1007275039745664,0.10869565217391304,0.18518518518518517,0.07692307692307693,0.06432008743286133,0.009893178939819336
1_ALOI,SFF_OD,2,62.986863993575405,6.229349052913062,95.85000000000001,0.05511760371734263,0.06741573033707865,0.11538461538461539,0.047619047619047616,0.043290138244628906,0.009755849838256836
1_ALOI,SFF_OD,3,70.28558074316429,5.84792796211832,96.39999999999999,0.042668618198679696,0.05263157894736842,0.09523809523809523,0.03636363636363636,0.046627044677734375,0.009424924850463867
1_ALOI,SFF_OD,4,68.74312714776632,6.456817561452406,96.2,0.04124145209568237,0.05,0.1,0.03333333333333333,0.04401397705078125,0.009943008422851562
1_ALOI,SFF_OD,5,68.5859988298885,6.349605272500983,95.89999999999999,0.053012094275226344,0.06818181818181818,0.10344827586206896,0.05084745762711865,0.04388880729675293,0.00978994369506836
2_annthyroid,SFF_OD,1,92.88511968800431,46.06834130641867,94.375,0.3143731388741243,0.2702702702702703,0.6521739130434783,0.17045454545454544,0.023138999938964844,0.014030218124389648
2_annthyroid,SFF_OD,2,92.82126370162487,50.458955962232324,93.125,0.37226453676428284,0.36129032258064514,0.6363636363636364,0.25225225225225223,0.014013051986694336,0.01374197006225586
2_annthyroid,SFF_OD,3,93.69395490933779,55.9233968575894,94.02777777777777,0.4585812561839568,0.45569620253164556,0.6923076923076923,0.33962264150943394,0.015649080276489258,0.013589859008789062
2_annthyroid,SFF_OD,4,91.55147375215147,44.037566465098514,92.5,0.2856591146697421,0.2702702702702703,0.5555555555555556,0.17857142857142858,0.015668869018554688,0.013563156127929688
2_annthyroid,SFF_OD,5,93.34328223217112,51.74412107837212,92.91666666666667,0.3769953532743992,0.35443037974683544,0.6829268292682927,0.23931623931623933,0.013643026351928711,0.013510942459106445
3_backdoor,SFF_OD,1,97.51056297818889,76.04041553551687,99.2,0.8672032713701365,0.8666666666666667,0.7878787878787878,0.9629629629629629,0.11697602272033691,0.021513938903808594
3_backdoor,SFF_OD,2,95.18112100893559,57.15573177640224,98.85000000000001,0.7385464471997921,0.735632183908046,0.64,0.8648648648648649,0.12542271614074707,0.01903510093688965
3_backdoor,SFF_OD,3,92.00045407312324,65.10753785573063,98.7,0.7767488859312824,0.7833333333333333,0.7704918032786885,0.7966101694915254,0.1338639259338379,0.023977279663085938
3_backdoor,SFF_OD,4,91.51872046528536,47.64375656162789,98.7,0.6739745568782475,0.675,0.6,0.7714285714285715,0.1388230323791504,0.02198195457458496
3_backdoor,SFF_OD,5,93.43856578033984,50.81014201365184,98.1,0.6889001875968831,0.6885245901639344,0.5915492957746479,0.8235294117647058,0.135084867477417,0.020532846450805664
4_breastw,SFF_OD,1,99.34526407682236,99.10499296254171,83.94160583941606,0.6967710730958735,0.7659574468085106,1.0,0.6206896551724138,0.015108108520507812,0.012267112731933594
4_breastw,SFF_OD,2,99.59899749373433,98.96846271758744,89.78102189781022,0.7622596377558515,0.8,1.0,0.6666666666666666,0.014235973358154297,0.0137939453125
