Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,XGBClassifier,1,50.0,3.25,96.75,0.0,0.0,0.0,0.0,0.4511089324951172,0.002351522445678711
1_ALOI,XGBClassifier,2,50.0,3.15,96.85000000000001,0.0,0.0,0.0,0.0,0.032266855239868164,0.001982450485229492
1_ALOI,XGBClassifier,3,50.0,2.75,97.25,0.0,0.0,0.0,0.0,0.030170202255249023,0.002040386199951172
1_ALOI,XGBClassifier,4,50.0,3.0,97.0,0.0,0.0,0.0,0.0,0.03195381164550781,0.0019655227661132812
1_ALOI,XGBClassifier,5,50.0,2.9499999999999997,97.05,0.0,0.0,0.0,0.0,0.03142952919006348,0.0019927024841308594
2_annthyroid,XGBClassifier,1,50.0,6.111111111111111,93.88888888888889,0.0,0.0,0.0,0.0,0.019305706024169922,0.0017039775848388672
2_annthyroid,XGBClassifier,2,50.0,7.708333333333334,92.29166666666667,0.0,0.0,0.0,0.0,0.018923282623291016,0.001676321029663086
2_annthyroid,XGBClassifier,3,50.0,7.361111111111112,92.63888888888889,0.0,0.0,0.0,0.0,0.01923227310180664,0.002119779586791992
2_annthyroid,XGBClassifier,4,50.0,7.777777777777778,92.22222222222223,0.0,0.0,0.0,0.0,0.0379180908203125,0.0017323493957519531
2_annthyroid,XGBClassifier,5,50.0,8.125,91.875,0.0,0.0,0.0,0.0,0.0196533203125,0.0021631717681884766
3_backdoor,XGBClassifier,1,50.0,2.7,97.3,0.0,0.0,0.0,0.0,0.08414340019226074,0.002842426300048828
3_backdoor,XGBClassifier,2,50.0,1.8499999999999999,98.15,0.0,0.0,0.0,0.0,0.08371543884277344,0.003190755844116211
3_backdoor,XGBClassifier,3,50.0,2.9499999999999997,97.05,0.0,0.0,0.0,0.0,0.08539438247680664,0.0028145313262939453
3_backdoor,XGBClassifier,4,50.0,1.7500000000000002,98.25,0.0,0.0,0.0,0.0,0.08577466011047363,0.0027480125427246094
3_backdoor,XGBClassifier,5,50.0,2.55,97.45,0.0,0.0,0.0,0.0,0.08522391319274902,0.003632783889770508
4_breastw,XGBClassifier,1,50.0,42.33576642335766,57.66423357664233,0.0,0.0,0.0,0.0,0.015369176864624023,0.0015273094177246094
4_breastw,XGBClassifier,2,50.0,30.656934306569344,69.34306569343066,0.0,0.0,0.0,0.0,0.015680551528930664,0.0015430450439453125
4_breastw,XGBClassifier,3,50.0,33.57664233576642,66.42335766423358,0.0,0.0,0.0,0.0,0.017106056213378906,0.0015208721160888672
4_breastw,XGBClassifier,4,50.0,30.88235294117647,69.11764705882352,0.0,0.0,0.0,0.0,0.014779329299926758,0.0015828609466552734
4_breastw,XGBClassifier,5,50.0,37.5,62.5,0.0,0.0,0.0,0.0,0.014728784561157227,0.0015299320220947266
5_campaign,XGBClassifier,1,50.0,11.1,88.9,0.0,0.0,0.0,0.0,0.036653757095336914,0.002185821533203125
5_campaign,XGBClassifier,2,50.0,12.049999999999999,87.94999999999999,0.0,0.0,0.0,0.0,0.03548598289489746,0.002589702606201172
5_campaign,XGBClassifier,3,50.0,10.25,89.75,0.0,0.0,0.0,0.0,0.03487658500671387,0.002593994140625
5_campaign,XGBClassifier,4,50.0,11.15,88.85,0.0,0.0,0.0,0.0,0.0359039306640625,0.0031003952026367188
5_campaign,XGBClassifier,5,50.0,10.6,89.4,0.0,0.0,0.0,0.0,0.03450632095336914,0.002146482467651367
6_cardio,XGBClassifier,1,50.0,10.899182561307901,89.10081743869209,0.0,0.0,0.0,0.0,0.017835617065429688,0.0018215179443359375
6_cardio,XGBClassifier,2,50.0,9.289617486338798,90.7103825136612,0.0,0.0,0.0,0.0,0.017826318740844727,0.0016384124755859375
6_cardio,XGBClassifier,3,50.0,8.19672131147541,91.80327868852459,0.0,0.0,0.0,0.0,0.01811957359313965,0.0015914440155029297
6_cardio,XGBClassifier,4,50.0,9.01639344262295,90.98360655737704,0.0,0.0,0.0,0.0,0.020494937896728516,0.0016338825225830078
6_cardio,XGBClassifier,5,50.0,10.655737704918032,89.34426229508196,0.0,0.0,0.0,0.0,0.018324613571166992,0.0025763511657714844
7_Cardiotocography,XGBClassifier,1,50.0,20.094562647754138,79.90543735224587,0.0,0.0,0.0,0.0,0.017371416091918945,0.0016779899597167969
7_Cardiotocography,XGBClassifier,2,50.0,22.458628841607563,77.54137115839244,0.0,0.0,0.0,0.0,0.01910090446472168,0.0016460418701171875
7_Cardiotocography,XGBClassifier,3,50.0,24.113475177304963,75.88652482269504,0.0,0.0,0.0,0.0,0.01665520668029785,0.0016756057739257812
7_Cardiotocography,XGBClassifier,4,50.0,21.513002364066196,78.4869976359338,0.0,0.0,0.0,0.0,0.016999483108520508,0.0015954971313476562
7_Cardiotocography,XGBClassifier,5,50.0,22.03791469194313,77.96208530805687,0.0,0.0,0.0,0.0,0.019760847091674805,0.0019652843475341797
8_celeba,XGBClassifier,1,50.0,2.4,97.6,0.0,0.0,0.0,0.0,0.03320574760437012,0.0020847320556640625
8_celeba,XGBClassifier,2,50.0,2.0500000000000003,97.95,0.0,0.0,0.0,0.0,0.03075718879699707,0.0023534297943115234
8_celeba,XGBClassifier,3,50.0,1.5,98.5,0.0,0.0,0.0,0.0,0.03118419647216797,0.0020759105682373047
8_celeba,XGBClassifier,4,50.0,2.5,97.5,0.0,0.0,0.0,0.0,0.030000925064086914,0.002078533172607422
8_celeba,XGBClassifier,5,50.0,2.7,97.3,0.0,0.0,0.0,0.0,0.031890869140625,0.0024261474609375
9_census,XGBClassifier,1,50.0,5.25,94.75,0.0,0.0,0.0,0.0,0.15946483612060547,0.00465846061706543
9_census,XGBClassifier,2,50.0,7.1,92.9,0.0,0.0,0.0,0.0,0.16693353652954102,0.0052967071533203125
9_census,XGBClassifier,3,50.0,6.45,93.55,0.0,0.0,0.0,0.0,0.163621187210083,0.0061762332916259766
9_census,XGBClassifier,4,50.0,5.65,94.35,0.0,0.0,0.0,0.0,0.16243410110473633,0.0054433345794677734
9_census,XGBClassifier,5,50.0,6.35,93.65,0.0,0.0,0.0,0.0,0.1574723720550537,0.004807233810424805
10_cover,XGBClassifier,1,50.0,1.3,98.7,0.0,0.0,0.0,0.0,0.025876283645629883,0.0019502639770507812
10_cover,XGBClassifier,2,50.0,0.5499999999999999,99.45,0.0,0.0,0.0,0.0,0.024875164031982422,0.001880645751953125
10_cover,XGBClassifier,3,50.0,1.7500000000000002,98.25,0.0,0.0,0.0,0.0,0.05560779571533203,0.002094268798828125
10_cover,XGBClassifier,4,50.0,1.0,99.0,0.0,0.0,0.0,0.0,0.025379180908203125,0.0018994808197021484
10_cover,XGBClassifier,5,50.0,0.95,99.05000000000001,0.0,0.0,0.0,0.0,0.024451732635498047,0.001861572265625
11_donors,XGBClassifier,1,50.0,4.95,95.05,0.0,0.0,0.0,0.0,0.022233009338378906,0.0019276142120361328
11_donors,XGBClassifier,2,50.0,5.8500000000000005,94.15,0.0,0.0,0.0,0.0,0.022351741790771484,0.0019147396087646484
11_donors,XGBClassifier,3,50.0,5.2,94.8,0.0,0.0,0.0,0.0,0.02452254295349121,0.0023946762084960938
11_donors,XGBClassifier,4,50.0,5.6000000000000005,94.39999999999999,0.0,0.0,0.0,0.0,0.02266383171081543,0.0018885135650634766
11_donors,XGBClassifier,5,50.0,5.45,94.55,0.0,0.0,0.0,0.0,0.022876501083374023,0.0018880367279052734
12_fault,XGBClassifier,1,50.0,36.760925449871465,63.239074550128535,0.0,0.0,0.0,0.0,0.01934194564819336,0.0016350746154785156
12_fault,XGBClassifier,2,50.0,36.597938144329895,63.4020618556701,0.0,0.0,0.0,0.0,0.018522977828979492,0.0015516281127929688
12_fault,XGBClassifier,3,50.0,30.412371134020617,69.58762886597938,0.0,0.0,0.0,0.0,0.0178987979888916,0.001528024673461914
12_fault,XGBClassifier,4,50.0,31.185567010309278,68.81443298969072,0.0,0.0,0.0,0.0,0.01799154281616211,0.0019369125366210938
12_fault,XGBClassifier,5,50.0,38.402061855670105,61.5979381443299,0.0,0.0,0.0,0.0,0.01759934425354004,0.0015311241149902344
