Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,1,62.709449901376736,12.735473698087867,86.65,0.1003816743473978,0.1577287066246056,0.1184834123222748,0.2358490566037736,0.0985019207000732,0.2511501312255859
1_ALOI,KNN,2,63.31971093158294,19.707471096030183,86.0,0.1263535069341586,0.1954022988505747,0.160377358490566,0.25,0.0530722141265869,0.0255219936370849
1_ALOI,KNN,3,66.90425531914893,16.345550594920187,86.05000000000001,0.1352687046791963,0.1959654178674351,0.1497797356828193,0.2833333333333333,0.0553128719329834,0.0276219844818115
1_ALOI,KNN,4,62.83934982819741,10.902161175506542,85.95,0.0507863782363314,0.1191222570532915,0.094059405940594,0.1623931623931624,0.0552513599395751,0.0299839973449707
1_ALOI,KNN,5,60.885143342196955,7.851930053415399,85.75,0.0320134554808747,0.1009463722397476,0.0784313725490196,0.1415929203539823,0.0530898571014404,0.0273141860961914
2_annthyroid,KNN,1,76.1338829206641,45.33414280723985,84.29217840982547,0.3264947908009151,0.4172661870503597,0.416267942583732,0.4182692307692308,0.014650821685791,0.0080940723419189
2_annthyroid,KNN,2,72.45462377735787,38.32296668229272,81.31868131868131,0.2246117655706141,0.3325635103926097,0.3171806167400881,0.3495145631067961,0.0140011310577392,0.0076749324798583
2_annthyroid,KNN,3,78.2080753273828,48.91393691632248,82.93471234647706,0.3267931898488779,0.4260869565217391,0.4049586776859504,0.4495412844036697,0.0140168666839599,0.0082960128784179
2_annthyroid,KNN,4,73.30412793389607,34.39873355061137,82.15901745313509,0.2546939045376507,0.3581395348837209,0.35,0.3666666666666666,0.0136027336120605,0.0076730251312255
2_annthyroid,KNN,5,75.27889514615178,44.27029622743879,83.2470892626132,0.2947289649017168,0.3905882352941176,0.4170854271356783,0.3672566371681416,0.0136172771453857,0.0078327655792236
3_backdoor,KNN,1,97.06012506012506,93.66271054197524,90.4,0.5524137973788233,0.5223880597014925,0.3595890410958904,0.9545454545454546,0.1690008640289306,0.0868232250213623
3_backdoor,KNN,2,92.6111320517653,84.59486849202735,89.85,0.5015432040072948,0.4781491002570694,0.3274647887323944,0.8857142857142857,0.1734945774078369,0.0874040126800537
3_backdoor,KNN,3,97.5580473758506,95.5243307876962,90.65,0.5634746151771147,0.5359801488833746,0.3724137931034483,0.9557522123893806,0.1813170909881591,0.0834159851074218
3_backdoor,KNN,4,96.83326426301976,89.63766594949885,90.25,0.5196044093609051,0.48,0.3214285714285714,0.9473684210526316,0.1723270416259765,0.0870108604431152
3_backdoor,KNN,5,95.36738985815148,85.23117534273564,89.45,0.4999831049701484,0.4631043256997455,0.3084745762711864,0.9285714285714286,0.1710069179534912,0.0886101722717285
4_breastw,KNN,1,99.77715224020642,99.78092275941935,95.67567567567568,0.9162500778507852,0.9607843137254902,0.9245283018867924,1.0,0.0021281242370605,0.0011167526245117
4_breastw,KNN,2,99.59667991582886,99.56719895620192,95.67567567567568,0.9168160149438312,0.9591836734693876,0.9215686274509804,1.0,0.0011236667633056,0.0010671615600585
4_breastw,KNN,3,98.8786830490278,99.07329902233712,94.56521739130434,0.894584937231096,0.9528301886792452,0.90990990990991,1.0,0.0015232563018798,0.0011303424835205
4_breastw,KNN,4,99.72813238770686,99.71092755939912,96.19565217391305,0.9266827677059448,0.962566844919786,0.9278350515463918,1.0,0.0011258125305175,0.0010769367218017
4_breastw,KNN,5,98.72856298048492,98.0619320577668,95.65217391304348,0.9162008627722924,0.9595959595959596,0.9223300970873788,1.0,0.001068115234375,0.001882791519165
5_campaign,KNN,1,74.06955659727996,45.33367867043952,80.4,0.3370782679363794,0.449438202247191,0.517799352750809,0.3970223325062035,0.0638480186462402,0.0345449447631835
