Dataset,Model,KFold,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,1,52.052010298918916,30.641755286415883,68.5,0.032654432481592,0.1860465116279069,0.3116883116883117,0.1325966850828729,0.1118547916412353,0.3015649318695068
1_ALOI,KNN,2,50.91736813897033,28.102354914545757,69.05,0.0222033262157538,0.155525238744884,0.3031914893617021,0.1045871559633027,0.0571672916412353,0.0380091667175293
1_ALOI,KNN,3,49.209872159090914,27.401643579232086,69.0,-0.0063433877987732,0.1340782122905028,0.2553191489361702,0.0909090909090909,0.0648198127746582,0.0471541881561279
1_ALOI,KNN,4,50.74223365344556,25.995668720084353,69.69999999999999,0.0080992123629922,0.1512605042016806,0.2660098522167488,0.1056751467710371,0.11934494972229,0.0459489822387695
1_ALOI,KNN,5,51.01323918799648,25.80581721346179,69.1,-0.0221546327806065,0.1221590909090909,0.2275132275132275,0.0834951456310679,0.0717489719390869,0.0443000793457031
2_annthyroid,KNN,1,61.35623851745346,20.713915492523615,82.91666666666667,0.1400459906653621,0.2360248447204969,0.2289156626506024,0.2435897435897435,0.0307188034057617,0.0154268741607666
2_annthyroid,KNN,2,67.49109442900658,28.082364010602102,82.01388888888889,0.1681518260263899,0.2704225352112676,0.2608695652173913,0.2807017543859649,0.0290851593017578,0.0168867111206054
2_annthyroid,KNN,3,65.6708984375,32.088794720422634,84.375,0.2445200358018355,0.3323442136498516,0.3163841807909605,0.35,0.0278041362762451,0.0140910148620605
2_annthyroid,KNN,4,64.70920383963862,22.91353005400783,81.875,0.1655461522903975,0.2689075630252101,0.2637362637362637,0.2742857142857143,0.0289342403411865,0.0142378807067871
2_annthyroid,KNN,5,66.71098965593133,32.13999783952037,82.70833333333333,0.1922345704277873,0.2905982905982906,0.2849162011173184,0.2965116279069767,0.0245599746704101,0.013218879699707
3_backdoor,KNN,1,64.90632567659307,37.80275834682716,86.4,0.2261756147410496,0.2953367875647668,0.2533333333333333,0.3540372670807453,0.3348650932312011,0.1634910106658935
3_backdoor,KNN,2,59.45502229215841,29.656131615006174,86.15,0.1779455779900325,0.2493224932249322,0.2149532710280373,0.2967741935483871,0.3327667713165283,0.1789720058441162
3_backdoor,KNN,3,64.91637214068926,30.56701046074291,85.85000000000001,0.2026133320528494,0.2762148337595907,0.24,0.3253012048192771,0.3337368965148926,0.1720271110534668
3_backdoor,KNN,4,56.404371806173344,18.386144618138665,83.75,0.0968547474395151,0.181360201511335,0.1525423728813559,0.2236024844720497,0.3554518222808838,0.1837313175201416
3_backdoor,KNN,5,63.1043765522566,27.37958840738816,85.15,0.1815538517751103,0.2556390977443609,0.2125,0.320754716981132,0.3468949794769287,0.1849548816680908
4_breastw,KNN,1,94.1025641025641,95.347004640877,91.24087591240875,0.8243589743589743,0.9076923076923076,0.9076923076923076,0.9076923076923076,0.0025551319122314,0.0030238628387451
4_breastw,KNN,2,96.12113402061856,87.59971097027335,90.51094890510949,0.7935846824638831,0.8539325842696629,0.7755102040816326,0.95,0.0019631385803222,0.0016119480133056
4_breastw,KNN,3,93.70361781076068,92.36545651369046,91.24087591240875,0.8179344405327494,0.8846153846153846,0.8363636363636363,0.9387755102040816,0.0022618770599365,0.0018150806427001
4_breastw,KNN,4,93.51570415400204,81.04674477539659,89.70588235294117,0.7776240926814355,0.8478260869565217,0.78,0.9285714285714286,0.0024247169494628,0.0018990039825439
4_breastw,KNN,5,95.45454545454544,95.2292103906552,90.44117647058825,0.8010844164495072,0.8807339449541285,0.8888888888888888,0.8727272727272727,0.0019629001617431,0.0156972408294677
5_campaign,KNN,1,66.19051173258771,27.738258643659297,81.35,0.2337406720107419,0.3398230088495575,0.375,0.3106796116504854,0.1636171340942382,0.0853099822998046
5_campaign,KNN,2,67.77290381013785,32.40856762439828,81.25,0.2479857024269125,0.3567753001715266,0.3781818181818182,0.3376623376623376,0.1650197505950927,0.0862262248992919
5_campaign,KNN,3,66.57950999948852,30.75392250222,82.15,0.2466963763236392,0.3497267759562841,0.3636363636363636,0.3368421052631579,0.1486339569091797,0.0798978805541992
5_campaign,KNN,4,64.41464833966823,28.070847253172467,79.85,0.1983430089332614,0.313458262350937,0.3498098859315589,0.2839506172839506,0.147374153137207,0.0902388095855712
5_campaign,KNN,5,65.24745686370316,28.314678235153888,81.8,0.2358416010291286,0.3405797101449275,0.3601532567049808,0.3230240549828179,0.1578660011291504,0.0870540142059326
6_cardio,KNN,1,81.0377470121879,49.40148783470155,84.46866485013625,0.3952728288824061,0.4864864864864865,0.4736842105263157,0.5,0.0081138610839843,0.0057401657104492
6_cardio,KNN,2,81.38464616821183,57.95985818081566,84.15300546448088,0.4205129460533049,0.5,0.4202898550724637,0.6170212765957447,0.0088503360748291,0.006505012512207
6_cardio,KNN,3,71.19303045575636,31.530349516329537,84.42622950819673,0.3132967947345337,0.4,0.3653846153846153,0.4418604651162791,0.009681224822998,0.0047638416290283
6_cardio,KNN,4,81.84156378600824,58.196880640270265,89.34426229508196,0.4809503062827496,0.5411764705882353,0.5348837209302325,0.5476190476190477,0.0066330432891845,0.005915880203247
6_cardio,KNN,5,73.80191693290735,36.54721618585976,82.24043715846994,0.2995853539611344,0.4036697247706422,0.3928571428571428,0.4150943396226415,0.0062179565429687,0.0061061382293701
7_Cardiotocography,KNN,1,68.1418485237484,43.31973816308265,76.12293144208037,0.2536883138951384,0.3952095808383233,0.4583333333333333,0.3473684210526316,0.0083272457122802,0.0075488090515136
7_Cardiotocography,KNN,2,73.5254854368932,48.49142750876767,75.177304964539,0.2369645539221221,0.3712574850299401,0.484375,0.3009708737864077,0.0088188648223876,0.007606029510498
7_Cardiotocography,KNN,3,71.03559870550163,46.74168556271617,72.81323877068559,0.2139671664786084,0.3575418994413408,0.4923076923076923,0.2807017543859649,0.0095229148864746,0.0072801113128662
7_Cardiotocography,KNN,4,77.02306079664571,53.42290771297027,77.30496453900709,0.3093512489623594,0.4216867469879518,0.5737704918032787,0.3333333333333333,0.0072319507598876,0.0064551830291748
7_Cardiotocography,KNN,5,75.54577890662796,46.94781800579004,76.54028436018957,0.2809538786219697,0.4,0.5409836065573771,0.3173076923076923,0.0073919296264648,0.0068562030792236
8_celeba,KNN,1,50.70063597068507,7.347853451981479,89.75,0.0151438899051678,0.0639269406392694,0.0897435897435897,0.0496453900709219,1.1452908515930176,0.6924741268157959
8_celeba,KNN,2,52.76344733672027,7.04120166833854,91.2,0.0516767263358693,0.0927835051546391,0.125,0.0737704918032786,1.170468807220459,0.7724783420562744
8_celeba,KNN,3,51.13069399664979,6.09256336229365,90.4,-0.0186256750368151,0.0303030303030303,0.0375,0.0254237288135593,1.0874600410461426,0.6230049133300781
8_celeba,KNN,4,57.40627805729193,9.797520710311073,90.9,0.07309262541477,0.116504854368932,0.15,0.0952380952380952,1.1079990863800049,0.650644063949585
