Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,100.0,100.0,92.03333333333332,0.4775992035902982,0.3979848866498741,0.2484276729559748,1.0,1.5351414680480957,1.6087970733642578
2_annthyroid,KNN,100.0,100.0,91.85185185185183,0.6590035768383312,0.6451612903225806,0.4761904761904761,1.0,0.0416443347930908,0.0739891529083252
3_backdoor,KNN,100.0,100.0,90.6,0.4062945685802204,0.3088235294117647,0.1826086956521739,1.0,0.3659608364105224,0.5466384887695312
4_breastw,KNN,100.0,100.0,94.6341463414634,0.8869956196703683,0.920863309352518,0.8533333333333334,1.0,0.0045070648193359,0.0085391998291015
5_campaign,KNN,100.0,100.0,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.1126790046691894,0.1906900405883789
6_cardio,KNN,99.59863945578232,95.23292962434964,92.1818181818182,0.7289751675658642,0.7361963190184049,0.5825242718446602,1.0,0.0160739421844482,0.0324046611785888
7_Cardiotocography,KNN,100.0,100.0,90.5511811023622,0.7835798659911909,0.8224852071005917,0.6984924623115578,1.0,0.0173075199127197,0.0338127613067626
8_celeba,KNN,100.0,100.0,90.56666666666666,0.3920799568920276,0.2907268170426065,0.1700879765395894,1.0,0.1077840328216552,0.1782007217407226
9_census,KNN,100.0,100.0,90.1,0.557641005592587,0.5154975530179445,0.3472527472527472,1.0,0.8838696479797363,1.2429101467132568
10_cover,KNN,100.0,100.0,90.73333333333332,0.2971286790631553,0.1775147928994082,0.0974025974025974,1.0,0.1061742305755615,0.1800882816314697
11_donors,KNN,100.0,100.0,92.4,0.590392550059237,0.549407114624506,0.3787465940054496,1.0,0.1442162990570068,0.2817897796630859
12_fault,KNN,99.72826086956522,97.69543855754334,93.99656946826758,0.8821601451772408,0.9247311827956988,0.86,1.0,0.0120275020599365,0.027444839477539
13_fraud,KNN,100.0,100.0,89.33333333333333,0.091083598515391,0.0184049079754601,0.0092879256965944,1.0,0.0897302627563476,0.1594431400299072
14_glass,KNN,100.0,100.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.1666666666666666,1.0,0.0021030902862548,0.0037727355957031
15_Hepatitis,KNN,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0031955242156982,0.0073261260986328
16_http,KNN,100.0,100.0,90.26666666666668,0.1961026804641933,0.0817610062893081,0.0426229508196721,1.0,0.0997753143310546,0.1624860763549804
17_InternetAds,KNN,99.9810606060606,99.91615665194824,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.2195558547973632,0.2889933586120605
18_Ionosphere,KNN,100.0,100.0,96.22641509433964,0.9234873463461784,0.951219512195122,0.9069767441860463,1.0,0.0048096179962158,0.0093445777893066
19_landsat,KNN,99.46090498599136,98.09814968833862,92.54272397721388,0.8100135628639755,0.84,0.72552783109405,0.9973614775725592,0.039194107055664,0.0668275356292724
20_letter,KNN,100.0,100.0,89.16666666666667,0.5628007485765644,0.5272727272727272,0.3580246913580246,1.0,0.0164508819580078,0.0292229652404785
21_Lymphography,KNN,100.0,100.0,86.66666666666667,0.4638062947716077,0.4,0.25,1.0,0.0029833316802978,0.0074305534362792
22_magic.gamma,KNN,99.98264435875096,99.965642299418,94.06666666666666,0.8806450229310252,0.9203935599284436,0.8525269262634632,1.0,0.2136435508728027,0.5241999626159668
23_mammography,KNN,99.99882791439086,99.9410508071505,89.16666666666667,0.367024568644536,0.2630385487528344,0.1514360313315927,1.0,0.1408131122589111,0.2532761096954345
24_mnist,KNN,100.0,100.0,91.75800087680842,0.6887600925752453,0.68561872909699,0.5216284987277354,1.0,0.1284546852111816,0.1938533782958984
25_musk,KNN,100.0,99.99999999999996,90.75081610446138,0.4796776794145455,0.4055944055944055,0.2543859649122807,1.0,0.0633730888366699,0.0859410762786865
26_optdigits,KNN,100.0,100.0,90.03194888178913,0.4735223302274752,0.4,0.25,1.0,0.0602710247039794,0.0913233757019043
