Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,83.82643955052457,18.1837873844638,49.49388987697667,34.61360150921259,86.65982026578325,5.7946834725912515,0.3576479317277627,0.2818812152022364,0.3816468565799314,0.2839600503138578,0.32539340520256793,0.2759420142116686,0.6295084204606551,0.3734171947593084,2.5157768622688623,2.178826509941422,2.594463763029679,2.239872381702337
COPOD,60.29627221971152,11.112452972098954,14.501191672886286,15.04115892814167,79.37741415727527,10.815815114244486,-0.06988479570794223,0.07265883157456872,0.023645445584778296,0.04799509104604256,0.03518045593254378,0.08182463902537047,0.029187768039083475,0.056649139317605596,0.008954317011731688,0.01025037021069336,0.03494275377151809,0.04172460582183842
DIF,83.8448751960287,16.112126152083484,39.813974219322304,28.935563645509546,87.03736158457812,11.389167948595121,0.16494086459644844,0.24148966437662997,0.1714688961123329,0.22545539091784497,0.29730120450978864,0.3333896763043352,0.20928900426596425,0.30998676962912614,6.313526158747465,4.874891166372087,11.206627913143324,8.770202155508334
DeepSVDD,62.275160331991025,11.733807320845836,17.15257366059694,16.204287854576908,80.67745519156078,9.832225685483882,0.009669160463399098,0.12250858338713362,0.09094695205059125,0.11986679528230965,0.10901716296745494,0.16277382015163405,0.11938501453329142,0.15056515727158587,4.670131367185841,3.978681839369865,4.671431873155677,3.979107872867752
ECOD,59.115257891120855,11.156604281455806,14.016288034274103,14.346532833263403,79.6682221306721,10.842620970396588,-0.0738750823023822,0.07170636374928573,0.019026964576233645,0.04606890337813287,0.02773865300717611,0.06845230016332696,0.021750363718687,0.05155349483038526,0.025044502095973194,0.11299590023199627,0.050834300670217915,0.12682806566460508
IForest,78.78301156616007,16.590391891020467,29.66527291832723,26.98793295466097,84.02041897364992,8.639553439377009,0.20977248289582165,0.271696342163253,0.25478523566415506,0.24789684364789416,0.240697776900833,0.24690467311556466,0.41138886847465456,0.38162773414897166,0.16044127687494802,0.03201637811889275,0.19007817227789692,0.04338181432961807
KNN,83.93160704823758,19.39593577815946,52.554046622359785,34.911049904638396,86.83784714281892,6.970101785461405,0.3476418516724151,0.294221961022758,0.3711381117063238,0.2856985825685802,0.31977701896373406,0.2718403070733663,0.6091396017832951,0.39554057757522754,0.06738870558531382,0.2460824865585141,0.09454638543336284,0.2566250020339079
LUNAR,88.67235124104901,15.751423722750642,62.620348626475234,34.91203860051802,88.36257924041944,10.476573477865829,0.4616116259820785,0.2958171991568087,0.47565218241312024,0.2962801926872559,0.4378765967429558,0.3050672108778317,0.6885978418073994,0.33146360508913325,6.895186170287754,5.175973689740357,6.955944315246914,5.233675641030186
NeuTraLAD,80.54582170812225,18.000501160711806,39.60990602694653,30.8242092381281,86.77882336676271,10.517197014190305,0.22732965571101027,0.24740520627874144,0.24313976978834698,0.2274929305464826,0.3716677565942931,0.32513225486742375,0.28345876644749657,0.30977687801187925,18.18475748145062,15.438272924401584,18.193250158558723,15.443747173130326
OCSVM,72.93197674014716,20.48664541387157,32.60007971398908,31.579408170740894,63.468267677959986,32.124607888317804,0.1401414336844384,0.22761109801694443,0.2242435232644107,0.22145621995547113,0.19385819207546304,0.2266468174520026,0.5567626312999884,0.432878280028642,1.4079501006914221,1.7445508877503793,2.1985591028047646,2.6931666976849926
PCA,62.13313931989999,15.136554326258754,16.70387286832474,17.063981994952155,80.6585831350915,9.575388676673994,-0.004574521431390236,0.13344803496407537,0.07696863127159834,0.1325188176224576,0.09458798991858894,0.17489692821732927,0.1011243476151189,0.16707640815770827,0.003885424655416689,0.0032210875879583414,0.005477205566737916,0.0046500776613515446
SFF_OD,90.11914931290013,15.58312257028224,58.910581872277,31.105354530500332,94.09798975126215,7.5518028983643575,0.5572463209800557,0.3481254526006668,0.5559308614658495,0.3522791189547482,0.6220898107241173,0.32817151970002545,0.6035085410164981,0.41410955034412356,0.060797509939774175,0.19974022989312987,0.015750231950179338,0.011196368601711927
