Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,100.0,100.0,92.03333333333332,0.4775992035902982,0.3979848866498741,0.2484276729559748,1.0,1.5811173915863037,1.73785662651062
2_annthyroid,KNN,99.901875,98.63957998043058,91.85185185185183,0.6590035768383312,0.6451612903225806,0.4761904761904761,1.0,0.0442180633544921,0.0820560455322265
3_backdoor,KNN,100.0,100.0,90.6,0.4062945685802204,0.3088235294117647,0.1826086956521739,1.0,0.4018483161926269,0.574244499206543
4_breastw,KNN,98.82535460992908,96.51777231433624,94.6341463414634,0.8869956196703683,0.920863309352518,0.8533333333333334,1.0,0.0041511058807373,0.0078027248382568
5_campaign,KNN,100.0,100.0,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.1372897624969482,0.2366542816162109
6_cardio,KNN,99.93877551020408,99.42289127504525,92.1818181818182,0.7289751675658642,0.7361963190184049,0.5825242718446602,1.0,0.019404649734497,0.0359659194946289
7_Cardiotocography,KNN,99.50394523091204,96.81489871189612,90.5511811023622,0.7835798659911909,0.8224852071005917,0.6984924623115578,1.0,0.017545461654663,0.0345680713653564
8_celeba,KNN,100.0,100.0,90.56666666666666,0.3920799568920276,0.2907268170426065,0.1700879765395894,1.0,0.1290085315704345,0.2287049293518066
9_census,KNN,100.0,100.0,90.1,0.557641005592587,0.5154975530179445,0.3472527472527472,1.0,0.9678268432617188,1.3046462535858154
10_cover,KNN,98.54096520763188,85.31695630616024,90.66666666666666,0.2760700811493657,0.1666666666666666,0.0915032679738562,0.9333333333333332,0.1036963462829589,0.1728792190551757
11_donors,KNN,99.9977368681776,99.95317288690408,92.4,0.590392550059237,0.549407114624506,0.3787465940054496,1.0,0.1665267944335937,0.3315668106079101
12_fault,KNN,99.72826086956522,97.69543855754334,93.99656946826758,0.8821601451772408,0.9247311827956988,0.86,1.0,0.0132112503051757,0.0308787822723388
13_fraud,KNN,100.0,100.0,89.33333333333333,0.091083598515391,0.0184049079754601,0.0092879256965944,1.0,0.0968701839447021,0.1673576831817627
14_glass,KNN,98.41269841269842,75.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.1666666666666666,1.0,0.0020174980163574,0.003615379333496
15_Hepatitis,KNN,96.25,80.41666666666667,87.5,0.4662524041201569,0.4,1.0,0.25,0.0031743049621582,0.0076286792755126
16_http,KNN,99.94334423527592,89.85892877861204,90.26666666666668,0.1961026804641933,0.0817610062893081,0.0426229508196721,1.0,0.0780861377716064,0.1406772136688232
17_InternetAds,KNN,100.0,99.99999999999996,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.2526009082794189,0.3257002830505371
18_Ionosphere,KNN,100.0,100.0,96.22641509433964,0.9234873463461784,0.951219512195122,0.9069767441860463,1.0,0.0050306320190429,0.0108144283294677
19_landsat,KNN,100.0,100.0,92.594510616261,0.8118840165186096,0.8412874583795783,0.7260536398467433,1.0,0.0428323745727539,0.0720047950744628
20_letter,KNN,100.0,100.0,89.16666666666667,0.5628007485765644,0.5272727272727272,0.3580246913580246,1.0,0.0192749500274658,0.0326805114746093
21_Lymphography,KNN,100.0,100.0,86.66666666666667,0.4638062947716077,0.4,0.25,1.0,0.0032789707183837,0.0076572895050048
22_magic.gamma,KNN,99.98693396326422,99.97492716028414,94.06666666666666,0.8806450229310252,0.9203935599284436,0.8525269262634632,1.0,0.2078533172607422,0.5964686870574951
23_mammography,KNN,99.95018636161184,98.39477698201128,89.16666666666667,0.367024568644536,0.2630385487528344,0.1514360313315927,1.0,0.1422202587127685,0.2768948078155517
24_mnist,KNN,100.0,100.0,91.75800087680842,0.6887600925752453,0.68561872909699,0.5216284987277354,1.0,0.1210803985595703,0.1867341995239257
25_musk,KNN,100.0,99.99999999999996,90.75081610446138,0.4796776794145455,0.4055944055944055,0.2543859649122807,1.0,0.0669248104095459,0.0906422138214111
26_optdigits,KNN,100.0,100.0,90.03194888178913,0.4735223302274752,0.4,0.25,1.0,0.0638799667358398,0.0915367603302002
27_PageBlocks,KNN,99.9031437173624,98.37597780993606,90.97651421508036,0.6744521608332195,0.6711711711711712,0.5050847457627119,1.0,0.038297414779663,0.0671944618225097
28_pendigits,KNN,100.0,100.0,91.46045608927706,0.445788777555953,0.3576642335766423,0.2177777777777777,1.0,0.0601317882537841,0.0964026451110839
29_Pima,KNN,98.02564102564102,95.33092994386328,93.07359307359307,0.8488173802822715,0.8987341772151899,0.8554216867469879,0.9466666666666668,0.0029873847961425,0.0060162544250488
30_satellite,KNN,100.0,100.0,93.7856033143449,0.869655516913949,0.9074074074074074,0.8305084745762712,1.0,0.0324509143829345,0.0704600811004638
31_satimage-2,KNN,100.0,100.0,91.38426191843767,0.3483391725462255,0.2346938775510204,0.1329479768786127,1.0,0.0521745681762695,0.0789201259613037
32_shuttle,KNN,99.96550636074468,99.36733746120169,90.46666666666668,0.5901343632087543,0.558641975308642,0.3875802997858672,1.0,0.1510660648345947,0.2725679874420166
33_skin,KNN,99.15167376741664,97.10477992947214,92.1,0.8038079678328433,0.8391038696537678,0.7304964539007093,0.985645933014354,0.0288054943084716,0.0558154582977294
34_smtp,KNN,100.0,100.0,89.56666666666668,0.0534072169224595,0.0063492063492063,0.0031847133757961,1.0,0.04581880569458,0.0744671821594238
35_SpamBase,KNN,99.452627230405,98.99723949714898,94.22011084718925,0.8867021947918334,0.9298751200768492,0.872072072072072,0.9958847736625516,0.0186774730682373,0.0328209400177001
36_speech,KNN,100.0,100.0,88.51717902350813,0.3610435027897045,0.2573099415204678,0.1476510067114094,1.0,0.2006165981292724,0.2651355266571045
37_Stamps,KNN,98.6111111111111,89.70119613501967,83.33333333333334,0.5793377114499331,0.5853658536585366,0.4137931034482758,1.0,0.0033009052276611,0.0057485103607177
38_thyroid,KNN,99.86086040914562,93.72396464383291,90.98939929328624,0.4158622112161094,0.32,0.1904761904761904,1.0,0.0311768054962158,0.0560762882232666
39_vertebral,KNN,98.58906525573192,84.12257495590829,90.2777777777778,0.7071067811865476,0.72,0.5625,1.0,0.0019500255584716,0.0036695003509521
40_vowels,KNN,99.96022275258552,99.07216297825174,89.93135011441647,0.5097403703921078,0.45,0.2903225806451613,1.0,0.0265729427337646,0.0463647842407226
41_Waveform,KNN,100.0,100.0,90.80348499515974,0.4476743017148354,0.3624161073825503,0.221311475409836,1.0,0.0189709663391113,0.0297040939331054
42_WBC,KNN,98.46153846153848,58.33333333333333,91.04477611940298,0.4763644370889549,0.4,0.25,1.0,0.0020089149475097,0.0039505958557128
43_WDBC,KNN,99.29906542056077,89.28571428571428,90.09009009009009,0.4891342724125944,0.4210526315789473,0.2666666666666666,1.0,0.0043442249298095,0.0093207359313964
44_Wilt,KNN,99.8361004879946,97.11620286423872,89.55739972337483,0.5527543357424446,0.511326860841424,0.3434782608695652,1.0,0.0267996788024902,0.0487301349639892
45_wine,KNN,75.00000000000001,22.12166918049271,89.74358974358975,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.001732587814331,0.0032520294189453
46_WPBC,KNN,100.0,100.0,91.66666666666666,0.8104014882034583,0.8484848484848485,0.7368421052631579,1.0,0.0034811496734619,0.0082683563232421
47_yeast,KNN,99.90941442898738,99.84011083365884,94.61883408071748,0.8935615478149105,0.9322033898305084,0.873015873015873,1.0,0.0133318901062011,0.0280342102050781
1_ALOI,IForest,99.9982665898188,99.93766633708638,91.23333333333332,0.4584713508030117,0.3752969121140142,0.2309941520467836,1.0,0.2678723335266113,0.3150317668914795
2_annthyroid,IForest,99.88875,98.5109592613787,91.85185185185183,0.6590035768383312,0.6451612903225806,0.4761904761904761,1.0,0.2390706539154052,0.2890505790710449
3_backdoor,IForest,100.0,100.0,90.0,0.3947481050020653,0.2957746478873239,0.1735537190082644,1.0,0.3367352485656738,0.4092669486999511
4_breastw,IForest,98.8142730496454,95.65165103929355,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.1694028377532959,0.1909461021423339
5_campaign,IForest,100.0,100.0,91.06666666666666,0.6876090782501388,0.6883720930232559,0.524822695035461,1.0,0.3029375076293945,0.3618056774139404
6_cardio,IForest,99.98979591836734,99.91665123028002,91.27272727272728,0.7079080355865954,0.7142857142857143,0.5555555555555556,1.0,0.2125041484832763,0.2432825565338134
7_Cardiotocography,IForest,99.91007194244604,99.63733350528317,89.60629921259843,0.7666971681181004,0.8081395348837209,0.6780487804878049,1.0,0.1819136142730713,0.2035565376281738
8_celeba,IForest,100.0,100.0,90.96666666666668,0.4000660125420576,0.2997416020671835,0.1762917933130699,1.0,0.2508776187896728,0.3030562400817871
9_census,IForest,100.0,100.0,89.76666666666667,0.5505274927794332,0.507223113964687,0.3397849462365591,1.0,0.4124813079833984,0.4869148731231689
10_cover,IForest,99.78002244668912,86.2159374642248,89.16666666666667,0.2743349023363967,0.1558441558441558,0.0845070422535211,1.0,0.2765557765960693,0.3332886695861816
11_donors,IForest,99.93663230897282,98.87366459491815,90.83333333333331,0.5508870470041985,0.5027124773960217,0.3357487922705314,1.0,0.2732462882995605,0.3326756954193115
12_fault,IForest,99.8938321536906,99.77162492202147,95.19725557461408,0.9041315874126448,0.9388646288209608,0.8847736625514403,1.0,0.1975855827331543,0.2278549671173095
13_fraud,IForest,100.0,100.0,89.13333333333333,0.0901480321534296,0.0180722891566265,0.0091185410334346,1.0,0.2592895030975342,0.3106923103332519
14_glass,IForest,93.65079365079364,26.785714285714285,76.92307692307693,0.2993924754260479,0.2105263157894736,0.1176470588235294,1.0,0.1606013774871826,0.1782968044281005
15_Hepatitis,IForest,97.5,91.66666666666666,87.5,0.5964809080634605,0.6666666666666666,0.6,0.75,0.1704916954040527,0.1869862079620361
16_http,IForest,99.99484947593416,98.97435897435896,89.43333333333334,0.1876517960988265,0.075801749271137,0.0393939393939393,1.0,0.2710356712341308,0.3286008834838867
17_InternetAds,IForest,100.0,99.99999999999996,92.54237288135592,0.8054871344779653,0.8333333333333334,0.7142857142857143,1.0,0.2060868740081787,0.2319557666778564
18_Ionosphere,IForest,99.34940681209338,98.73099777305416,93.39622641509436,0.8713479454561286,0.9176470588235294,0.8478260869565217,1.0,0.1756021976470947,0.2024486064910888
19_landsat,IForest,99.6467236079754,98.1745441688594,91.97307094769548,0.7992843711746732,0.8302300109529025,0.7097378277153558,1.0,0.2350335121154785,0.2826111316680908
20_letter,IForest,100.0,100.0,90.0,0.5801200670493948,0.5471698113207547,0.3766233766233766,1.0,0.21539306640625,0.2454802989959716
21_Lymphography,IForest,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.159797191619873,0.1809289455413818
22_magic.gamma,IForest,99.89690157428484,99.79032341257754,93.8,0.8757806521934229,0.9171122994652406,0.8469135802469135,1.0,0.2300648689270019,0.2804193496704101
23_mammography,IForest,99.65364870250124,92.96057337152646,88.56666666666668,0.3574568434919618,0.2527233115468409,0.1446384039900249,1.0,0.2592513561248779,0.3074164390563965
24_mnist,IForest,100.0,100.0,91.80184129767646,0.6898206665528804,0.6867671691792295,0.5229591836734694,1.0,0.2358567714691162,0.2744631767272949
25_musk,IForest,100.0,99.99999999999996,89.66267682263329,0.4570636856700013,0.3790849673202614,0.2338709677419354,1.0,0.2124888896942138,0.2381858825683593
26_optdigits,IForest,100.0,100.0,89.90415335463258,0.4709146571918343,0.3969465648854962,0.2476190476190476,1.0,0.2374556064605713,0.2782316207885742
27_PageBlocks,IForest,99.6536931026448,95.1691232794957,90.91470951792336,0.6730574075089985,0.6696629213483146,0.5033783783783784,1.0,0.1990277767181396,0.2413117885589599
28_pendigits,IForest,99.75960563151702,92.44341248299726,90.97525473071325,0.43501126875324,0.3450704225352112,0.2085106382978723,1.0,0.2443349361419677,0.2961783409118652
29_Pima,IForest,99.55555555555556,99.12943181333968,93.93939393939394,0.872971558685223,0.9135802469135802,0.8505747126436781,0.9866666666666668,0.1919636726379394,0.2188277244567871
30_satellite,IForest,99.8985670217454,99.48029031461236,93.52667011910928,0.8648275895254319,0.9039200614911608,0.8246844319775596,1.0,0.1963083744049072,0.2387831211090088
31_satimage-2,IForest,99.72667915169306,69.99691185277186,89.7185525560023,0.3193713568895475,0.2044444444444444,0.1138613861386138,1.0,0.2366082668304443,0.2811346054077148
32_shuttle,IForest,99.98510501941249,99.80344954517854,89.66666666666666,0.5727977905413942,0.5386904761904762,0.3686354378818737,1.0,0.23909592628479,0.2876503467559814
33_skin,IForest,97.500052087849,91.27459036453948,90.9,0.7635643615445772,0.8108108108108109,0.7169117647058824,0.9330143540669856,0.2691240310668945,0.3247787952423095
34_smtp,IForest,98.86628876292096,2.857142857142857,89.8,0.0540829977637185,0.0064935064935064,0.003257328990228,1.0,0.2676126956939697,0.3138148784637451
35_SpamBase,IForest,100.0,100.0,93.0324623911322,0.8664854809956039,0.9169811320754716,0.8466898954703833,1.0,0.1742286682128906,0.2071173191070556
36_speech,IForest,100.0,100.0,89.42133815551537,0.3757530688340679,0.2732919254658385,0.158273381294964,1.0,0.2339417934417724,0.271099328994751
37_Stamps,IForest,98.88888888888889,92.38166925666928,83.33333333333334,0.5793377114499331,0.5853658536585366,0.4137931034482758,1.0,0.1756415367126464,0.1966145038604736
38_thyroid,IForest,99.89470517448856,95.69631930203674,89.66431095406361,0.3901782096121772,0.2909090909090909,0.1702127659574468,1.0,0.2335474491119384,0.2721452713012695
39_vertebral,IForest,98.0599647266314,76.90035273368608,87.5,0.6546536707079771,0.6666666666666666,0.5,1.0,0.1798107624053955,0.2002308368682861
40_vowels,IForest,99.39008220631132,91.2994729442098,89.24485125858124,0.4958428243714247,0.4337349397590361,0.2769230769230769,1.0,0.2023885250091552,0.2279400825500488
41_Waveform,IForest,99.95950224578456,98.5507961576802,90.60987415295256,0.4435616504258093,0.3576158940397351,0.2177419354838709,1.0,0.2287812232971191,0.2605538368225097
42_WBC,IForest,98.46153846153848,58.33333333333333,91.04477611940298,0.4763644370889549,0.4,0.25,1.0,0.1879622936248779,0.2073402404785156
43_WDBC,IForest,100.0,100.0,92.7927927927928,0.5553478324017039,0.5,0.3333333333333333,1.0,0.1683402061462402,0.1859548091888427
