Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,99.4585094290226,1.343716976450791,93.68862656835417,15.24443554126378,89.78880428934242,3.1452445857281233,0.5650265678031964,0.21832671691959804,0.5363160029386429,0.2705583056464176,0.41772928008563287,0.27164439703747656,0.9921576345764475,0.03425460436515447,5.474520429651788,4.585922189802091,5.633054991985889,4.703456537201284
COPOD,98.63333030728644,2.3352807721524576,87.88135656089123,21.04088179622105,92.22226789395417,3.918502831223991,0.6035721470278745,0.24194679598611007,0.5796588593680366,0.2821824829191317,0.4953999097671231,0.31958569941845477,0.9404882822584154,0.12269095920204622,0.06665790334660952,0.18006454946217706,0.26141527358521804,0.7077375050173137
DIF,98.81913029975712,2.8339576990235833,86.7588299957553,20.67307033026003,92.34307394564274,9.254949138482823,0.5527151048516742,0.32487930630445233,0.5392836179810802,0.33740235116989287,0.6789146343898697,0.3811693249310734,0.5814842301729886,0.38550776644731033,10.954975224555806,8.222301698052473,19.36702253970694,14.705601205409069
DeepSVDD,98.02942540965137,3.085057050678851,82.18327315429399,21.76129483071824,89.89856513575955,3.5479184040904346,0.5530172015184468,0.2073676337709903,0.5317170897892495,0.25564543516297483,0.4319110749794203,0.27496985466599433,0.9469982568392982,0.12221214326186193,7.106049005021441,5.951130706996411,7.109241145722409,5.952541531140492
ECOD,98.8503099302253,2.1870989533834226,91.13367221633011,17.21353792196618,92.4055825574513,3.950227913221072,0.6157971921373292,0.24204244296230695,0.5899897966317829,0.284344990329285,0.49552101019585887,0.3160750873448949,0.9648881973326808,0.08258017267219026,0.07304019116340794,0.18102000995354656,0.26783733165010487,0.6927647960549045
IForest,99.36846561446943,1.1990623804795404,91.34021521607075,18.838875063390287,90.43403929149976,3.021120912144933,0.576267366011976,0.22054182947690773,0.5471154421691671,0.2714614728897208,0.42867572788924674,0.27416792955909797,0.9929719366113544,0.03754514726186164,0.22315158742539423,0.05019672662580733,0.26087600119570464,0.06461637635844551
KNN,99.08523503613819,3.664940437750428,94.47870645685026,13.419179691422555,90.89187044705703,2.415041514911806,0.5730488485337767,0.22428425658570889,0.5425599262359904,0.2715249216920723,0.441637554413113,0.28625208283548875,0.9669120008512817,0.1446885688778163,0.11607799631484006,0.26735505278151694,0.17130121271660984,0.3218297700158825
LUNAR,99.6853607483466,0.6895610152961474,93.84326009531607,16.139119925936928,88.32166041883713,8.98184832032607,0.5740859957398611,0.24123991936060968,0.5487464286851353,0.2835421794263411,0.43193156256861115,0.28525600566495335,0.9997285282839594,0.0018611163189524175,17.861393893018683,11.972260860135929,18.020761905832494,12.124928449108
NeuTraLAD,92.16383179675736,12.949787594659387,67.89328431738394,30.13800925641399,89.05532036810769,10.301090911826607,0.4269894429185527,0.2725072333241378,0.40996351008795007,0.26754731454523073,0.5779797257513404,0.3533837738738123,0.510173410873422,0.37704429040564474,45.68386899664047,40.3341287564807,45.711321658276496,40.360858226176404
OCSVM,93.6123863188275,13.068332712779581,75.37343608763614,34.55766349752426,63.57657827504199,37.679263571674106,0.3691518137465651,0.3198919956815957,0.41019342985748775,0.296526388270199,0.3099685483397495,0.2786941732050133,0.9933518549120053,0.026959183253276304,2.8204131735132094,4.0921128220544984,4.366618597761113,6.0404830428085345
PCA,99.24277759777333,1.3764937771200632,89.91680836269732,18.08997053590963,90.22697313962095,2.6173092448298036,0.5724860923184547,0.2125102526487844,0.5445161907222973,0.2649892907605001,0.4233237182381964,0.26568686010071585,0.9941431931568366,0.030570654902224558,0.27377781462162093,1.0122002093102804,0.4948749237872185,2.0829633979430557
SFF_OD,97.58532645919588,7.699853324101196,72.78271780014167,27.510554113565576,95.69293154721356,12.890244926369006,0.8033657622440813,0.2334147374071285,0.7992004049131513,0.24310017906201084,0.7288774762705438,0.27582491060101283,0.9877848286967861,0.040010800547960135,0.16553840738661743,0.4985631388946934,0.022957649636775837,0.024184926688849234
