Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,79.5739277774648,25.36775453668556,90.7,0.2274319661343473,0.2184873949579832,0.1402877697841726,0.4936708860759494,1.6355109214782717,1.705620288848877
2_annthyroid,KNN,83.2615625,41.58240146065968,88.37962962962963,0.35615660053584,0.4038004750593824,0.3256704980842911,0.53125,0.0424418449401855,0.0749921798706054
3_backdoor,KNN,80.14927228410373,65.31351474444278,90.03333333333333,0.2913760705828864,0.2352941176470588,0.1402439024390244,0.7301587301587301,0.3626472949981689,0.5741255283355713
4_breastw,KNN,79.32180851063832,62.30531032194448,78.04878048780488,0.4526566575732539,0.5714285714285714,0.7317073170731707,0.46875,0.0044028759002685,0.0085525512695312
5_campaign,KNN,99.99025467775468,99.91754224472037,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.1094250679016113,0.1801114082336425
6_cardio,KNN,96.6904761904762,81.03323728453594,91.45454545454544,0.6861539864395926,0.7044025157232704,0.5656565656565656,0.9333333333333332,0.0156702995300292,0.0320844650268554
7_Cardiotocography,KNN,93.94436064051985,78.01434932183092,87.24409448818898,0.6701677885745587,0.7444794952681388,0.6629213483146067,0.8489208633093526,0.0164508819580078,0.0320372581481933
8_celeba,KNN,99.9894512295178,99.49844329860154,90.56666666666666,0.3920799568920276,0.2907268170426065,0.1700879765395894,1.0,0.1022276878356933,0.1734240055084228
9_census,KNN,94.6460862826143,85.01889738422128,89.33333333333333,0.4771115201160193,0.4576271186440678,0.3125,0.8544303797468354,0.7757301330566406,1.1119678020477295
10_cover,KNN,93.19416386083051,44.84181956776718,90.53333333333332,0.2335949460826332,0.144578313253012,0.0794701986754966,0.8,0.0910122394561767,0.1384727954864502
11_donors,KNN,85.3024675680637,46.00876442677291,90.93333333333334,0.4094546529053399,0.4112554112554112,0.2941176470588235,0.6834532374100719,0.154712438583374,0.291658878326416
12_fault,KNN,89.9191102123357,87.9596872266556,86.79245283018868,0.7146184616111646,0.817966903073286,0.8317307692307693,0.8046511627906977,0.011589765548706,0.0261406898498535
13_fraud,KNN,99.31042153264376,38.38095238095238,89.33333333333333,0.091083598515391,0.0184049079754601,0.0092879256965944,1.0,0.0967755317687988,0.1594820022583007
14_glass,KNN,50.0,4.470046082949308,81.53846153846153,-0.0759737176397586,0.0,0.0,0.0,0.0020349025726318,0.0036611557006835
15_Hepatitis,KNN,83.75,60.71428571428571,87.5,0.4662524041201569,0.4,1.0,0.25,0.0029053688049316,0.0070676803588867
16_http,KNN,69.29772604362495,1.5271954543927917,89.96666666666667,0.0462408367637577,0.0258899676375404,0.0135135135135135,0.3076923076923077,0.0762915611267089,0.1266453266143798
17_InternetAds,KNN,100.0,99.99999999999996,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.2024309635162353,0.2720518112182617
18_Ionosphere,KNN,97.51243781094529,95.4872953364328,91.50943396226415,0.816637690274383,0.8831168831168831,0.8947368421052632,0.8717948717948718,0.0043404102325439,0.008864402770996
19_landsat,KNN,92.23386965155184,70.50831079570472,86.48368720870016,0.582474290592327,0.6666666666666666,0.6460396039603961,0.6886543535620053,0.0397284030914306,0.0748050212860107
20_letter,KNN,97.34689196421743,84.40628862378048,88.54166666666666,0.5045663696654874,0.4859813084112149,0.3333333333333333,0.896551724137931,0.0173661708831787,0.0298483371734619
21_Lymphography,KNN,80.23255813953489,55.263157894736835,84.44444444444444,0.2049611975440438,0.2222222222222222,0.1428571428571428,0.5,0.0029430389404296,0.007310152053833
22_magic.gamma,KNN,94.28146412584024,89.23582804892608,87.93333333333334,0.731903166407118,0.8235867446393762,0.8260019550342131,0.8211856171039844,0.1997859477996826,0.480776309967041
23_mammography,KNN,71.03424834149887,24.182056455771193,88.23333333333333,0.1734042345198486,0.1452784503631961,0.0845070422535211,0.5172413793103449,0.1470007896423339,0.2555592060089111
24_mnist,KNN,99.8688848160158,99.11160930741065,91.71416045594036,0.685757396683916,0.6834170854271356,0.5204081632653061,0.9951219512195122,0.1634371280670166,0.2326750755310058
25_musk,KNN,99.89926385122044,97.63547834668522,90.75081610446138,0.4796776794145455,0.4055944055944055,0.2543859649122807,1.0,0.0545649528503418,0.076200246810913
26_optdigits,KNN,99.93009303980884,98.28552451464584,90.03194888178913,0.4735223302274752,0.4,0.25,1.0,0.0498952865600585,0.0778701305389404
27_PageBlocks,KNN,70.745290820126,19.638674686994584,83.80716934487022,0.1125444976778827,0.2012195121951219,0.1843575418994413,0.2214765100671141,0.0331568717956543,0.0591869354248046
28_pendigits,KNN,91.87527893861322,44.91657912828739,90.5870936438622,0.2763186781486178,0.2421875,0.1497584541062802,0.6326530612244898,0.0440213680267334,0.0749926567077636
29_Pima,KNN,92.2051282051282,84.14450990474604,87.87878787878788,0.7202864483759056,0.8082191780821918,0.8309859154929577,0.7866666666666666,0.0029017925262451,0.0060598850250244
30_satellite,KNN,95.14755269196286,88.94949099089897,87.88192646297254,0.7147393882029452,0.8020304568527918,0.797979797979798,0.8061224489795918,0.0302975177764892,0.0542438030242919
31_satimage-2,KNN,96.0722781798856,59.914590131489085,91.09707064905228,0.2688607426928288,0.1884816753926701,0.1071428571428571,0.782608695652174,0.0481455326080322,0.073136568069458
32_shuttle,KNN,92.29086761302057,51.5856188340812,89.33333333333333,0.4815223271262346,0.4788273615635179,0.3394919168591224,0.8121546961325967,0.1202394962310791,0.2485404014587402
33_skin,KNN,73.21562151557495,44.36999541477043,76.43333333333334,0.1718788193526861,0.2951146560319043,0.3936170212765957,0.2360446570972886,0.0186007022857666,0.0395433902740478
34_smtp,KNN,99.76658886295432,12.5,89.56666666666668,0.0534072169224595,0.0063492063492063,0.0031847133757961,1.0,0.0425610542297363,0.0661559104919433
35_SpamBase,KNN,88.86373145632405,76.99534595067946,74.50514647664292,0.4453254078400372,0.5934343434343434,0.7679738562091504,0.4835390946502058,0.02093505859375,0.0363538265228271
