Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,AutoEncoder,100.0,100.0,90.53333333333333,0.4432507912514575,0.3574660633484163,0.21763085399449036,1.0,14.122263193130493,14.426443815231323
2_annthyroid,AutoEncoder,100.0,100.0,92.26851851851852,0.6696569024302498,0.6570841889117043,0.4892966360856269,1.0,9.472880125045776,9.678154468536377
3_backdoor,AutoEncoder,100.0,100.0,89.06666666666668,0.37832667393338,0.2775330396475771,0.16112531969309463,1.0,10.58556056022644,10.885477542877197
4_breastw,AutoEncoder,100.0,100.0,96.09756097560975,0.915672144794931,0.9411764705882353,0.8888888888888888,1.0,0.42085790634155273,0.4417235851287842
5_campaign,AutoEncoder,100.0,100.0,90.60000000000001,0.6772759624143969,0.6773455377574371,0.5121107266435986,1.0,9.018279790878296,9.29431939125061
6_cardio,AutoEncoder,98.6156462585034,78.52805648092962,90.9090909090909,0.6998542122237652,0.7058823529411765,0.5454545454545454,1.0,1.6576926708221436,1.7081849575042725
7_Cardiotocography,AutoEncoder,100.0,99.99999999999999,90.86614173228347,0.7893516189794376,0.8273809523809523,0.7055837563451777,1.0,1.6507518291473389,1.7087798118591309
8_celeba,AutoEncoder,100.0,100.0,90.43333333333334,0.38950709935897054,0.2878411910669975,0.1681159420289855,1.0,9.917725563049316,10.19056224822998
9_census,AutoEncoder,100.0,100.0,88.9,0.5329986282128449,0.4869029275808937,0.32179226069246436,1.0,10.541836261749268,10.883870124816895
10_cover,AutoEncoder,100.0,99.99999999999999,90.06666666666666,0.28685584778461226,0.16759776536312848,0.09146341463414634,1.0,10.171629190444946,10.460533380508423
11_donors,AutoEncoder,100.0,99.99999999999997,90.26666666666667,0.5381358042289309,0.48771929824561405,0.3225058004640371,1.0,10.388181924819946,10.676308870315552
12_fault,AutoEncoder,99.72826086956522,97.69543855754334,91.93825042881647,0.8460522624518342,0.9014675052410901,0.8206106870229007,1.0,1.4130754470825195,1.4716365337371826
13_fraud,AutoEncoder,100.0,100.0,88.96666666666667,0.08938694509881077,0.017804154302670624,0.008982035928143712,1.0,11.808350086212158,12.142769575119019
14_glass,AutoEncoder,100.0,100.0,80.0,0.3253000243161777,0.23529411764705882,0.13333333333333333,1.0,0.2622413635253906,0.2723724842071533
15_Hepatitis,AutoEncoder,100.0,100.0,83.33333333333334,0.6324555320336759,0.6666666666666666,0.5,1.0,0.07989001274108887,0.08377480506896973
16_http,AutoEncoder,100.0,100.0,89.53333333333333,0.18861649398476257,0.07647058823529412,0.039755351681957186,1.0,11.270645141601562,11.559035062789917
17_InternetAds,AutoEncoder,84.00378787878789,58.872081647329885,81.1864406779661,0.4418378469051356,0.5542168674698795,0.49640287769784175,0.6272727272727273,3.1459708213806152,3.265561819076538
18_Ionosphere,AutoEncoder,100.0,100.0,95.28301886792453,0.9056583772794791,0.9397590361445783,0.8863636363636364,1.0,0.2612311840057373,0.2736678123474121
19_landsat,AutoEncoder,99.46073497810299,97.6452415627436,91.97307094769549,0.797598919450492,0.8294829482948295,0.7113207547169811,0.9947229551451188,5.593905210494995,5.800457000732422
20_letter,AutoEncoder,100.0,100.0,86.66666666666667,0.5172788672538275,0.47540983606557374,0.3118279569892473,1.0,1.6719233989715576,1.721301555633545
21_Lymphography,AutoEncoder,100.0,100.0,86.66666666666667,0.4638062947716077,0.4,0.25,1.0,0.16474032402038574,0.17094659805297852
22_magic.gamma,AutoEncoder,99.97919295282077,99.96054454392184,94.16666666666667,0.8824788343844435,0.9216300940438872,0.8546511627906976,1.0,7.0170557498931885,7.304482698440552
23_mammography,AutoEncoder,99.98359080147213,98.9035197399163,89.8,0.37784586490808214,0.27488151658767773,0.15934065934065933,1.0,10.546672582626343,10.83421802520752
24_mnist,AutoEncoder,100.0,100.0,91.40727750986409,0.6804089133973527,0.6765676567656765,0.5112219451371571,1.0,7.8577775955200195,8.100128650665283
25_musk,AutoEncoder,100.0,99.99999999999997,88.90097932535365,0.4427223596605148,0.3625,0.22137404580152673,1.0,3.402045488357544,3.5006725788116455
26_optdigits,AutoEncoder,100.0,100.0,90.35143769968052,0.480200648954894,0.40784313725490196,0.2561576354679803,1.0,5.791982173919678,5.9510486125946045
27_PageBlocks,AutoEncoder,100.0,100.0,90.04944375772558,0.654192048922859,0.6492374727668845,0.4806451612903226,1.0,5.240259885787964,5.398422718048096
28_pendigits,AutoEncoder,100.0,100.0,90.44153323629305,0.42389160239202706,0.33220338983050846,0.1991869918699187,1.0,7.22360897064209,7.422834157943726
29_Pima,AutoEncoder,100.0,99.99999999999999,94.8051948051948,0.892051550175079,0.9259259259259259,0.8620689655172413,1.0,0.5041377544403076,0.528322696685791
30_satellite,AutoEncoder,100.0,100.0,92.74987053340237,0.8505851195120063,0.8936170212765957,0.8076923076923077,1.0,4.8443944454193115,5.0379533767700195
