Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,COPOD,92.15631893013924,46.539142776666495,92.0,0.35329357816624224,0.3181818181818182,0.20512820512820512,0.7088607594936709,0.045728206634521484,0.19762825965881348
2_annthyroid,COPOD,100.0,100.0,95.69444444444444,0.7765332913463336,0.774818401937046,0.6324110671936759,1.0,0.007220029830932617,0.025665760040283203
3_backdoor,COPOD,96.12227140317027,79.43265855681004,90.36666666666666,0.3472675276576156,0.27204030226700254,0.16167664670658682,0.8571428571428571,0.377316951751709,1.5092494487762451
4_breastw,COPOD,99.67863475177305,99.1053004528326,98.04878048780488,0.9562826093103545,0.9696969696969697,0.9411764705882353,1.0,0.008383512496948242,0.012582063674926758
5_campaign,COPOD,100.0,100.0,97.36666666666667,0.8753697443646956,0.8822652757078987,0.7893333333333333,1.0,0.09713101387023926,0.3853158950805664
6_cardio,COPOD,98.79251700680271,91.35848839566313,92.54545454545455,0.7256028063107391,0.7388535031847133,0.5979381443298969,0.9666666666666667,0.006764650344848633,0.020425081253051758
7_Cardiotocography,COPOD,99.9970990949176,99.98968553831138,98.26771653543307,0.9519010407588855,0.9619377162629758,0.9266666666666666,1.0,0.003680706024169922,0.014301538467407227
8_celeba,COPOD,100.0,100.0,93.63333333333334,0.46670051941350277,0.3778501628664495,0.23293172690763053,1.0,0.06836342811584473,0.2791786193847656
9_census,COPOD,91.00183504217925,68.48369788162451,91.23333333333333,0.4397760499089101,0.4509394572025052,0.3364485981308411,0.6835443037974683,0.9743311405181885,4.0922980308532715
10_cover,COPOD,100.0,99.99999999999999,90.63333333333333,0.29552730224423623,0.17595307917888564,0.09646302250803858,1.0,0.034137725830078125,0.07816576957702637
11_donors,COPOD,99.99371352271557,99.87224866554448,92.5,0.5931581231903887,0.5526838966202783,0.38186813186813184,1.0,0.01457977294921875,0.05540800094604492
12_fault,COPOD,98.46309403437816,96.74023527271282,93.4819897084048,0.8592139947715607,0.9090909090909091,0.9359605911330049,0.8837209302325582,0.005603313446044922,0.021718263626098633
13_fraud,COPOD,100.0,100.0,90.03333333333333,0.09456594287580004,0.019672131147540985,0.009933774834437087,1.0,0.05008721351623535,0.20212984085083008
14_glass,COPOD,100.0,100.0,95.38461538461539,0.6172133998483676,0.5714285714285714,0.4,1.0,0.003058910369873047,0.006523609161376953
15_Hepatitis,COPOD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.002031087875366211,0.005294322967529297
16_http,COPOD,100.0,100.0,89.66666666666666,0.18992274966121792,0.07738095238095238,0.04024767801857585,1.0,0.00647425651550293,0.02424311637878418
17_InternetAds,COPOD,79.7746212121212,47.10611105292954,81.86440677966101,0.3133085762708377,0.4022346368715084,0.5217391304347826,0.32727272727272727,0.5111384391784668,2.2625763416290283
18_Ionosphere,COPOD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.01059103012084961,0.015955209732055664
19_landsat,COPOD,92.98054429725539,78.70217957345484,86.9497669601243,0.5575474655730931,0.6304985337243402,0.7095709570957096,0.5672823218997362,0.025624752044677734,0.12505650520324707
20_letter,COPOD,100.0,100.0,96.66666666666667,0.7884045093492034,0.7837837837837838,0.6444444444444445,1.0,0.007232666015625,0.02455425262451172
21_Lymphography,COPOD,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.0018651485443115234,0.00499725341796875
22_magic.gamma,COPOD,96.16326925058638,93.6292248593221,87.33333333333333,0.7234005638004934,0.7775175644028103,0.9779086892488954,0.6452866861030127,0.009827375411987305,0.04043769836425781
23_mammography,COPOD,99.93612133430226,96.55985150881187,90.76666666666667,0.39602159241247087,0.2951653944020356,0.17313432835820897,1.0,0.009634971618652344,0.03614950180053711
24_mnist,COPOD,100.0,100.0,96.18588338448049,0.8201423187922189,0.8249496981891348,0.702054794520548,1.0,0.1269392967224121,0.4975094795227051
25_musk,COPOD,100.0,99.99999999999997,92.27421109902068,0.5165899423520804,0.4496124031007752,0.29,1.0,0.0733785629272461,0.30365681648254395
26_optdigits,COPOD,100.0,100.0,93.4185303514377,0.5591468917670149,0.5024154589371981,0.33548387096774196,1.0,0.05292177200317383,0.21698379516601562
27_PageBlocks,COPOD,98.34430581000635,84.19720736447908,94.12855377008653,0.7557544090227704,0.7582697201017812,0.610655737704918,1.0,0.008282899856567383,0.028439998626708984
28_pendigits,COPOD,100.0,100.0,96.06986899563319,0.6014555165090728,0.547486033519553,0.3769230769230769,1.0,0.01378321647644043,0.05396080017089844
29_Pima,COPOD,99.98290598290599,99.96467836257308,99.13419913419914,0.9803125308940247,0.9864864864864865,1.0,0.9733333333333334,0.0023202896118164062,0.006188631057739258
30_satellite,COPOD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.02039194107055664,0.1029517650604248
31_satimage-2,COPOD,100.0,99.99999999999999,88.22515795519817,0.2980604678266763,0.18326693227091634,0.10087719298245613,1.0,0.033846139907836914,0.13272404670715332
32_shuttle,COPOD,99.99333645605294,99.89257558840748,93.89999999999999,0.6818891193659707,0.6642201834862386,0.49725274725274726,1.0,0.011896848678588867,0.043168067932128906
33_skin,COPOD,86.39472104772524,66.05893388684842,80.60000000000001,0.3443527930662353,0.4478178368121442,0.5526932084309133,0.3763955342902711,0.004979848861694336,0.019093751907348633
34_smtp,COPOD,100.0,100.0,89.5,0.05321811425245022,0.006309148264984227,0.0031645569620253164,1.0,0.006318330764770508,0.021265029907226562
35_SpamBase,COPOD,93.264163634534,88.15086214476003,80.20585906571654,0.5751427196105203,0.7030878859857482,0.8314606741573034,0.6090534979423868,0.016820192337036133,0.09543466567993164
36_speech,COPOD,100.0,100.0,89.78300180831826,0.38206691353469857,0.2802547770700637,0.16296296296296298,1.0,0.2616240978240967,1.1066126823425293
37_Stamps,COPOD,100.0,100.0,97.05882352941177,0.8793937305515279,0.8888888888888888,0.8,1.0,0.006205081939697266,0.009946107864379883
38_thyroid,COPOD,100.0,99.99999999999997,92.31448763250883,0.4463619048949823,0.35555555555555557,0.21621621621621623,1.0,0.0047454833984375,0.01612997055053711
39_vertebral,COPOD,100.0,100.0,94.44444444444444,0.8052028616141701,0.8181818181818182,0.6923076923076923,1.0,0.0018961429595947266,0.004915952682495117
40_vowels,COPOD,100.0,100.0,92.67734553775743,0.576633303397499,0.5294117647058824,0.36,1.0,0.003615140914916992,0.012136459350585938
41_Waveform,COPOD,100.0,100.0,94.48209099709584,0.5506509019251384,0.4864864864864865,0.32142857142857145,1.0,0.00930166244506836,0.034415245056152344
42_WBC,COPOD,100.0,100.0,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.0023720264434814453,0.006062507629394531
43_WDBC,COPOD,100.0,100.0,96.3963963963964,0.693763944879635,0.6666666666666666,0.5,1.0,0.002874612808227539,0.009208917617797852
44_Wilt,COPOD,100.0,99.99999999999997,92.66943291839557,0.6276260593955552,0.5984848484848485,0.42702702702702705,1.0,0.0046329498291015625,0.01597285270690918
45_wine,COPOD,100.0,100.0,89.74358974358975,0.6172133998483676,0.6,0.42857142857142855,1.0,0.0018162727355957031,0.004451274871826172
46_WPBC,COPOD,100.0,99.99999999999999,100.0,1.0,1.0,1.0,1.0,0.002313852310180664,0.006628751754760742
47_yeast,COPOD,89.92343362450124,82.58555046724662,80.04484304932735,0.5650010405615524,0.6715867158671587,0.8584905660377359,0.5515151515151515,0.0024383068084716797,0.007364034652709961
