Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,DeepSVDD,99.97919907782577,98.98821275832663,91.26666666666667,0.45922946597078884,0.3761904761904762,0.2316715542521994,1.0,17.29404878616333,17.296966791152954
2_annthyroid,DeepSVDD,100.0,100.0,92.4074074074074,0.6733003292241385,0.6611570247933884,0.49382716049382713,1.0,10.746096849441528,10.747841596603394
3_backdoor,DeepSVDD,98.7861493479471,85.7572985432035,90.86666666666666,0.3996827784297716,0.30808080808080807,0.1831831831831832,0.9682539682539683,16.97393226623535,16.985339641571045
4_breastw,DeepSVDD,99.67863475177305,99.0863807464129,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.766575813293457,0.7677302360534668
5_campaign,DeepSVDD,100.0,100.0,90.9,0.6838783546022424,0.684393063583815,0.5202108963093146,1.0,14.76769232749939,14.772504091262817
6_cardio,DeepSVDD,98.3639455782313,83.17545264556384,90.0,0.680570771468932,0.6857142857142857,0.5217391304347826,1.0,2.735964059829712,2.7375447750091553
7_Cardiotocography,DeepSVDD,100.0,99.99999999999999,92.1259842519685,0.8132107090289694,0.8475609756097561,0.7354497354497355,1.0,2.787881374359131,2.789604663848877
8_celeba,DeepSVDD,100.0,100.0,90.4,0.3888705662179921,0.2871287128712871,0.1676300578034682,1.0,15.65730619430542,15.659956693649292
9_census,DeepSVDD,99.998886503532,99.97999443222412,90.93333333333334,0.5764330065557669,0.5374149659863946,0.3674418604651163,1.0,16.118430376052856,16.143641233444214
10_cover,DeepSVDD,100.0,99.99999999999999,89.8,0.2829957245022972,0.16393442622950818,0.08928571428571429,1.0,16.42229962348938,16.425042390823364
11_donors,DeepSVDD,99.91676704075397,98.46238874597647,91.93333333333334,0.5779013814075703,0.5346153846153846,0.3648293963254593,1.0,13.898425579071045,13.90044116973877
12_fault,DeepSVDD,99.67644084934277,97.60585941675424,92.62435677530017,0.8578811951124329,0.9090909090909091,0.8333333333333334,1.0,2.0549328327178955,2.0563786029815674
13_fraud,DeepSVDD,100.0,100.0,89.1,0.08999448927022198,0.018018018018018018,0.00909090909090909,1.0,15.328897476196289,15.331477642059326
14_glass,DeepSVDD,100.0,100.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.3962414264678955,0.39728760719299316
15_Hepatitis,DeepSVDD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.1665501594543457,0.16748285293579102
16_http,DeepSVDD,100.0,100.0,90.16666666666666,0.1950366525118428,0.08099688473520249,0.04220779220779221,1.0,14.565844058990479,14.567740440368652
17_InternetAds,DeepSVDD,65.61742424242424,30.542253261137013,78.8135593220339,0.14587895636678178,0.24242424242424243,0.36363636363636365,0.18181818181818182,4.347803115844727,4.36337947845459
18_Ionosphere,DeepSVDD,100.0,100.0,94.33962264150944,0.888287524604595,0.9285714285714286,0.8666666666666667,1.0,0.3714158535003662,0.3725452423095703
19_landsat,DeepSVDD,92.89248021108179,76.13318155004583,86.63904712584153,0.5824918938912473,0.6658031088082902,0.6539440203562341,0.6781002638522428,7.732393980026245,7.73466420173645
20_letter,DeepSVDD,100.0,100.0,90.625,0.5939609386921296,0.5631067961165048,0.3918918918918919,1.0,2.4951422214508057,2.496865749359131
21_Lymphography,DeepSVDD,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.3008697032928467,0.30200815200805664
22_magic.gamma,DeepSVDD,98.7830835748085,97.50490594076294,93.60000000000001,0.8704082960121781,0.9140555058191585,0.8473029045643153,0.9922254616132167,10.954094409942627,10.956485986709595
23_mammography,DeepSVDD,99.73628073794511,80.4705986980372,89.1,0.36593010849878427,0.2618510158013544,0.15064935064935064,1.0,16.15293526649475,16.154630184173584
24_mnist,DeepSVDD,100.0,100.0,90.88119245944762,0.6683080094933811,0.6634304207119741,0.4963680387409201,1.0,11.873461484909058,11.878910779953003
25_musk,DeepSVDD,100.0,99.99999999999997,90.31556039173014,0.4703046254056685,0.3945578231292517,0.2457627118644068,1.0,5.2720115184783936,5.276264667510986
26_optdigits,DeepSVDD,99.98220550104224,99.47128249225585,90.22364217252397,0.4775014904009833,0.4046692607003891,0.25365853658536586,1.0,9.303656578063965,9.306288242340088
27_PageBlocks,DeepSVDD,99.96710541344383,99.5631815184252,90.72929542645241,0.6689120813841649,0.6651785714285714,0.4983277591973244,1.0,8.465794324874878,8.467580556869507
28_pendigits,DeepSVDD,100.0,100.0,90.29597282872392,0.4209819495128174,0.3288590604026846,0.19678714859437751,1.0,10.2080717086792,10.210309267044067
29_Pima,DeepSVDD,100.0,99.99999999999999,96.53679653679653,0.9258915999541287,0.9493670886075949,0.9036144578313253,1.0,0.8064517974853516,0.8077442646026611
30_satellite,DeepSVDD,100.0,100.0,92.95701708959089,0.854348396498865,0.8963414634146342,0.8121546961325967,1.0,6.602760076522827,6.604937791824341
31_satimage-2,DeepSVDD,100.0,99.99999999999999,89.83342906375647,0.32117272741966113,0.2062780269058296,0.115,1.0,8.70966911315918,8.712291240692139
32_shuttle,DeepSVDD,99.96452642781128,97.35692426025749,89.1,0.5612209988099531,0.525399129172714,0.3562992125984252,1.0,13.489299774169922,13.491425275802612
33_skin,DeepSVDD,90.0353592482144,81.57499722474968,86.23333333333333,0.5908436380551063,0.6780982073265783,0.663109756097561,0.69377990430622,12.335882425308228,12.337806224822998
34_smtp,DeepSVDD,100.0,100.0,89.16666666666667,0.05229782994461299,0.0061162079510703364,0.003067484662576687,1.0,15.307941675186157,15.309924602508545
35_SpamBase,DeepSVDD,93.4937583085731,85.41598757134211,86.77751385589866,0.7225542732395908,0.8308004052684904,0.8183632734530938,0.8436213991769548,4.123792409896851,4.126296758651733
36_speech,DeepSVDD,79.79285474672929,10.146928332030829,89.42133815551537,0.2197569308707149,0.18181818181818182,0.10743801652892562,0.5909090909090909,6.852330446243286,6.861105442047119
37_Stamps,DeepSVDD,100.0,100.0,88.23529411764706,0.6582805886043833,0.6666666666666666,0.5,1.0,0.5902345180511475,0.5914926528930664
38_thyroid,DeepSVDD,100.0,99.99999999999997,89.57597173144876,0.3886056993748511,0.2891566265060241,0.16901408450704225,1.0,6.865606069564819,6.867421865463257
39_vertebral,DeepSVDD,100.0,100.0,86.11111111111111,0.6312655864226275,0.6428571428571429,0.47368421052631576,1.0,0.4672551155090332,0.46869468688964844
40_vowels,DeepSVDD,100.0,100.0,94.27917620137299,0.6273979917050737,0.5901639344262295,0.4186046511627907,1.0,2.575254440307617,2.5774378776550293
41_Waveform,DeepSVDD,100.0,100.0,89.15779283639884,0.41547438246429624,0.3253012048192771,0.19424460431654678,1.0,6.3435351848602295,6.345029354095459
42_WBC,DeepSVDD,100.0,100.0,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.433635950088501,0.434694766998291
43_WDBC,DeepSVDD,100.0,100.0,88.28828828828829,0.45465039520291173,0.38095238095238093,0.23529411764705882,1.0,0.5870301723480225,0.5881600379943848
44_Wilt,DeepSVDD,100.0,99.99999999999997,89.55739972337483,0.5527543357424446,0.511326860841424,0.34347826086956523,1.0,7.1203529834747314,7.122131109237671
45_wine,DeepSVDD,100.0,100.0,89.74358974358975,0.6172133998483676,0.6,0.42857142857142855,1.0,0.2569272518157959,0.25803232192993164
46_WPBC,DeepSVDD,100.0,99.99999999999999,90.0,0.7801894976054939,0.8235294117647058,0.7,1.0,0.3033568859100342,0.3045780658721924
47_yeast,DeepSVDD,94.38153779790791,85.71289439709398,86.32286995515696,0.7055794090622151,0.8134556574923547,0.8209876543209876,0.806060606060606,1.5553717613220215,1.5568830966949463
