Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,ECOD,85.0008017022088,22.12743794503516,90.43333333333334,0.29858324698406247,0.2659846547314578,0.16666666666666666,0.6582278481012658,0.41614389419555664,0.5559229850769043
2_annthyroid,ECOD,99.9221875,98.3841467562939,94.81481481481482,0.7451805939817937,0.7407407407407407,0.5882352941176471,1.0,0.008405447006225586,0.02880573272705078
3_backdoor,ECOD,93.44488220892715,72.34286024189896,90.3,0.32117521873004196,0.2557544757033248,0.1524390243902439,0.7936507936507936,0.40933680534362793,1.474869728088379
4_breastw,ECOD,98.68129432624114,96.56679991292634,92.19512195121952,0.8154571278385537,0.8666666666666667,0.9285714285714286,0.8125,0.007031440734863281,0.010600090026855469
5_campaign,ECOD,100.0,100.0,93.56666666666666,0.7497413065304411,0.7541401273885351,0.6053169734151329,1.0,0.09193754196166992,0.3830983638763428
6_cardio,ECOD,99.67006802721089,97.52100588550209,95.27272727272728,0.8128068403121875,0.821917808219178,0.6976744186046512,1.0,0.0075228214263916016,0.020877361297607422
7_Cardiotocography,ECOD,99.50539568345323,97.39119567582084,96.22047244094489,0.9008319043688202,0.9205298013245033,0.852760736196319,1.0,0.005635976791381836,0.02106785774230957
8_celeba,ECOD,100.0,100.0,92.53333333333333,0.4359059877016158,0.3411764705882353,0.20567375886524822,1.0,0.06290483474731445,0.27083611488342285
9_census,ECOD,79.83012497884357,50.205165540729524,88.06666666666668,0.24880990233242525,0.284,0.20760233918128654,0.44936708860759494,0.9899945259094238,4.115957975387573
10_cover,ECOD,100.0,99.99999999999999,90.86666666666666,0.299299199184766,0.17964071856287425,0.09868421052631579,1.0,0.029223203659057617,0.07241940498352051
11_donors,ECOD,99.8906152952507,97.54039579540553,92.76666666666667,0.6006952498189911,0.5616161616161616,0.3904494382022472,1.0,0.01379084587097168,0.05559802055358887
12_fault,ECOD,99.85844287158747,99.66120904674646,99.48542024013722,0.9890392024973457,0.9930715935334873,0.9862385321100917,1.0,0.005371570587158203,0.020000457763671875
13_fraud,ECOD,100.0,100.0,89.36666666666667,0.0912419600930242,0.018461538461538463,0.009316770186335404,1.0,0.0523068904876709,0.2025465965270996
14_glass,ECOD,100.0,100.0,86.15384615384616,0.39477101697586137,0.3076923076923077,0.18181818181818182,1.0,0.0027823448181152344,0.005620241165161133
15_Hepatitis,ECOD,100.0,100.0,95.83333333333334,0.8717797887081347,0.8888888888888888,0.8,1.0,0.0017142295837402344,0.004702568054199219
16_http,ECOD,100.0,100.0,89.96666666666667,0.19294887244376088,0.07951070336391437,0.041401273885350316,1.0,0.006216287612915039,0.021982908248901367
17_InternetAds,ECOD,75.82007575757575,42.80589145618949,80.16949152542374,0.28194538730617535,0.39378238341968913,0.4578313253012048,0.34545454545454546,0.5195281505584717,2.1895291805267334
18_Ionosphere,ECOD,99.96172981247608,99.93589743589743,98.11320754716981,0.9606377568525973,0.975,0.9512195121951219,1.0,0.011267900466918945,0.01663494110107422
19_landsat,ECOD,96.18145281941081,89.67822440118229,91.81771103055412,0.743313233200549,0.7942708333333334,0.7840616966580977,0.8047493403693932,0.026293277740478516,0.11863303184509277
20_letter,ECOD,100.0,100.0,95.41666666666667,0.7354519199392469,0.725,0.5686274509803921,1.0,0.007060527801513672,0.019098997116088867
21_Lymphography,ECOD,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.0018413066864013672,0.004736185073852539
22_magic.gamma,ECOD,98.84520888155218,97.7192824519349,92.03333333333333,0.8230124418076126,0.8734780307040763,0.9593023255813954,0.8017492711370262,0.008554697036743164,0.036202192306518555
23_mammography,ECOD,99.99882791439086,99.94252873563218,91.03333333333333,0.4014378015910654,0.3012987012987013,0.17737003058103976,1.0,0.007869958877563477,0.03104376792907715
24_mnist,ECOD,100.0,100.0,96.36124506795265,0.8266480800658768,0.8316430020283976,0.7118055555555556,1.0,0.10634851455688477,0.5252749919891357
25_musk,ECOD,100.0,99.99999999999997,92.8182807399347,0.5316254934508056,0.46774193548387094,0.30526315789473685,1.0,0.08056783676147461,0.32740092277526855
26_optdigits,ECOD,100.0,100.0,91.94888178913739,0.5175000989721545,0.45217391304347826,0.29213483146067415,1.0,0.06049704551696777,0.24934744834899902
27_PageBlocks,ECOD,94.77204508385836,66.90743582981625,89.30778739184177,0.4847931147953864,0.5311653116531165,0.44545454545454544,0.6577181208053692,0.00835871696472168,0.02813100814819336
28_pendigits,ECOD,100.0,100.0,93.30422125181951,0.49402399327918267,0.4152542372881356,0.2620320855614973,1.0,0.014348983764648438,0.06090140342712402
29_Pima,ECOD,98.66666666666667,97.11218400493328,94.8051948051948,0.8838269075799822,0.922077922077922,0.8987341772151899,0.9466666666666667,0.002362489700317383,0.0065762996673583984
30_satellite,ECOD,96.8829303873448,91.14543686889664,90.21232522009322,0.765714289890737,0.8343558282208589,0.8607594936708861,0.8095238095238095,0.019439220428466797,0.10599780082702637
31_satimage-2,ECOD,99.99493850280913,99.62980466288593,90.63756461803561,0.3345500220454581,0.22009569377990432,0.12365591397849462,1.0,0.03515291213989258,0.14729857444763184
32_shuttle,ECOD,99.69622079064908,93.83770749245205,92.16666666666666,0.6315261506963025,0.6063651591289783,0.43509615384615385,1.0,0.014018535614013672,0.04898881912231445
33_skin,ECOD,93.25821929454906,85.32191144355387,88.63333333333333,0.6386146032921652,0.7047619047619048,0.7708333333333334,0.6491228070175439,0.0054779052734375,0.01864147186279297
34_smtp,ECOD,100.0,100.0,89.63333333333333,0.053598063919761636,0.006389776357827476,0.003205128205128205,1.0,0.006710529327392578,0.024143457412719727
35_SpamBase,ECOD,80.07981526500045,67.07135579090081,65.08313539192399,0.2025071178241209,0.3524229074889868,0.6153846153846154,0.24691358024691357,0.01726984977722168,0.0967414379119873
36_speech,ECOD,100.0,100.0,89.60216998191682,0.37887705438510955,0.27672955974842767,0.16058394160583941,1.0,0.26767396926879883,1.091052770614624
37_Stamps,ECOD,100.0,100.0,91.17647058823529,0.7171371656006362,0.7272727272727273,0.5714285714285714,1.0,0.0069789886474609375,0.010602235794067383
