Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,100.0,100.0,92.03333333333333,0.4775992035902982,0.3979848866498741,0.24842767295597484,1.0,1.5351414680480957,1.6087970733642578
2_annthyroid,KNN,100.0,100.0,91.85185185185185,0.6590035768383312,0.6451612903225806,0.47619047619047616,1.0,0.04164433479309082,0.0739891529083252
3_backdoor,KNN,100.0,100.0,90.60000000000001,0.4062945685802204,0.3088235294117647,0.1826086956521739,1.0,0.36596083641052246,0.5466384887695312
4_breastw,KNN,100.0,100.0,94.6341463414634,0.8869956196703683,0.920863309352518,0.8533333333333334,1.0,0.0045070648193359375,0.008539199829101562
5_campaign,KNN,100.0,100.0,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.11267900466918945,0.1906900405883789
6_cardio,KNN,99.59863945578232,95.23292962434965,92.18181818181819,0.7289751675658642,0.7361963190184049,0.5825242718446602,1.0,0.016073942184448242,0.03240466117858887
7_Cardiotocography,KNN,100.0,99.99999999999999,90.5511811023622,0.7835798659911909,0.8224852071005917,0.6984924623115578,1.0,0.017307519912719727,0.033812761306762695
8_celeba,KNN,100.0,100.0,90.56666666666666,0.3920799568920276,0.2907268170426065,0.17008797653958943,1.0,0.10778403282165527,0.17820072174072266
9_census,KNN,100.0,100.0,90.10000000000001,0.557641005592587,0.5154975530179445,0.34725274725274724,1.0,0.8838696479797363,1.2429101467132568
10_cover,KNN,100.0,99.99999999999999,90.73333333333333,0.2971286790631553,0.17751479289940827,0.09740259740259741,1.0,0.10617423057556152,0.18008828163146973
11_donors,KNN,100.0,100.0,92.4,0.590392550059237,0.549407114624506,0.3787465940054496,1.0,0.14421629905700684,0.28178977966308594
12_fault,KNN,99.72826086956522,97.69543855754334,93.99656946826758,0.8821601451772408,0.9247311827956989,0.86,1.0,0.012027502059936523,0.027444839477539062
13_fraud,KNN,100.0,100.0,89.33333333333333,0.09108359851539101,0.018404907975460124,0.009287925696594427,1.0,0.08973026275634766,0.15944314002990723
14_glass,KNN,100.0,100.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.002103090286254883,0.003772735595703125
15_Hepatitis,KNN,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.003195524215698242,0.0073261260986328125
16_http,KNN,100.0,100.0,90.26666666666667,0.19610268046419332,0.08176100628930817,0.04262295081967213,1.0,0.09977531433105469,0.16248607635498047
17_InternetAds,KNN,99.98106060606061,99.91615665194824,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.21955585479736328,0.28899335861206055
18_Ionosphere,KNN,100.0,100.0,96.22641509433963,0.9234873463461784,0.9512195121951219,0.9069767441860465,1.0,0.00480961799621582,0.00934457778930664
