Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,OCSVM,100.0,100.0,91.13333333333333,0.45621596841715056,0.37264150943396224,0.2289855072463768,1.0,5.304044723510742,8.054536819458008
2_annthyroid,OCSVM,100.0,100.0,89.53703703703704,0.6063566555933755,0.5860805860805861,0.41450777202072536,1.0,1.9932427406311035,3.157764434814453
3_backdoor,OCSVM,100.0,100.0,91.3,0.420909619160677,0.32558139534883723,0.19444444444444445,1.0,11.079761505126953,16.585408210754395
4_breastw,OCSVM,100.0,100.0,95.60975609756098,0.9059536231819242,0.9343065693430657,0.8767123287671232,1.0,0.010372400283813477,0.01857590675354004
5_campaign,OCSVM,100.0,100.0,89.96666666666667,0.6637923327883931,0.6629339305711086,0.49581239530988275,1.0,5.227141857147217,8.132886409759521
6_cardio,OCSVM,99.67687074829932,96.66728012546612,92.0,0.7246500806620072,0.7317073170731707,0.5769230769230769,1.0,0.1499180793762207,0.23900699615478516
7_Cardiotocography,OCSVM,91.33064516129032,61.77777777777778,21.88976377952756,0.0,0.35917312661498707,0.2188976377952756,1.0,0.27028679847717285,0.495373010635376
8_celeba,OCSVM,100.0,100.0,90.2,0.38510603209312955,0.28292682926829266,0.16477272727272727,1.0,5.449134588241577,8.204616785049438
9_census,OCSVM,100.0,100.0,90.4,0.5642343522981066,0.5231788079470199,0.3542600896860987,1.0,22.833377599716187,33.47772979736328
10_cover,OCSVM,50.0,1.0,1.0,0.0,0.019801980198019802,0.01,1.0,12.574265003204346,18.905734300613403
11_donors,OCSVM,100.0,100.0,91.73333333333333,0.5727468292271118,0.5285171102661597,0.35917312661498707,1.0,4.254934072494507,6.496530771255493
12_fault,OCSVM,99.9608190091001,99.92812309606536,93.65351629502572,0.8760099662718407,0.9207708779443254,0.8531746031746031,1.0,0.09930729866027832,0.15123367309570312
13_fraud,OCSVM,100.0,100.0,89.83333333333333,0.09353613605986057,0.01929260450160772,0.00974025974025974,1.0,5.426525592803955,8.59325385093689
14_glass,OCSVM,100.0,100.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.0028264522552490234,0.004398822784423828
15_Hepatitis,OCSVM,87.5,44.44444444444444,16.666666666666664,0.0,0.2857142857142857,0.16666666666666666,1.0,0.001628875732421875,0.0024373531341552734
16_http,OCSVM,100.0,100.0,89.5,0.1882935180870432,0.07624633431085044,0.039634146341463415,1.0,3.9256844520568848,6.190930604934692
17_InternetAds,OCSVM,99.70643939393939,98.33497728673674,91.86440677966101,0.7915695032535125,0.8208955223880597,0.6962025316455697,1.0,1.5329017639160156,2.388038396835327
18_Ionosphere,OCSVM,100.0,100.0,94.33962264150944,0.888287524604595,0.9285714285714286,0.8666666666666667,1.0,0.005165576934814453,0.00862741470336914
19_landsat,OCSVM,98.66526806843837,96.58344375994581,91.04091144484723,0.7661388068247276,0.8071348940914158,0.6988416988416989,0.9551451187335093,1.4858222007751465,2.5831010341644287
20_letter,OCSVM,100.0,100.0,41.25,0.1869277961777757,0.17058823529411765,0.0932475884244373,1.0,0.17711210250854492,0.2860088348388672
21_Lymphography,OCSVM,100.0,100.0,93.33333333333333,0.6099942813304187,0.5714285714285714,0.4,1.0,0.0024743080139160156,0.003765583038330078
22_magic.gamma,OCSVM,99.96164008837572,99.92526029228743,93.73333333333333,0.8745703662393983,0.9162956366874443,0.8455217748562038,1.0,1.9447669982910156,3.6159868240356445
23_mammography,OCSVM,99.97831641623104,99.03891341886548,88.73333333333333,0.36005227516917615,0.2555066079295154,0.14646464646464646,1.0,4.232220649719238,6.6646974086761475
24_mnist,OCSVM,50.0,8.987286277948268,8.987286277948268,0.0,0.16492357200321803,0.08987286277948268,1.0,8.541064262390137,13.39210844039917
25_musk,OCSVM,50.0,3.1556039173014145,3.1556039173014145,0.0,0.06118143459915612,0.031556039173014146,1.0,1.8410224914550781,2.937037467956543
26_optdigits,OCSVM,100.0,100.0,3.3226837060702876,0.0,0.06431663574520717,0.033226837060702875,1.0,2.542515754699707,4.182546377182007
27_PageBlocks,OCSVM,73.96187882913547,16.301969365426697,9.208899876390605,0.0,0.16864742501414828,0.09208899876390605,1.0,2.626194477081299,4.407823085784912
28_pendigits,OCSVM,100.0,100.0,91.16933527413876,0.4392417435029327,0.35,0.21212121212121213,1.0,2.2134366035461426,3.223963499069214
29_Pima,OCSVM,84.61538461538461,60.97560975609756,32.467532467532465,0.0,0.49019607843137253,0.3246753246753247,1.0,0.02742481231689453,0.0515904426574707
30_satellite,OCSVM,97.20774385703649,88.68778280542986,30.450543759709998,0.0,0.4668519253672092,0.30450543759709997,1.0,1.767606496810913,3.443452835083008
31_satimage-2,OCSVM,96.01280558789288,14.374999999999998,1.321079839172889,0.0,0.026077097505668934,0.013210798391728892,1.0,3.1999878883361816,5.249941110610962
32_shuttle,OCSVM,99.62752749201846,89.60396039603961,6.800000000000001,0.022272360639221205,0.11462951234958835,0.060799462546187434,1.0,7.1776511669158936,11.682559251785278
33_skin,OCSVM,98.21429411555167,94.7803218279195,91.0,0.7670554464837676,0.8132780082987552,0.717948717948718,0.937799043062201,2.396423101425171,4.1154584884643555
34_smtp,OCSVM,100.0,100.0,89.66666666666666,0.053694150248032035,0.00641025641025641,0.003215434083601286,1.0,4.432466268539429,6.851572513580322
35_SpamBase,OCSVM,94.91528565602638,84.39054768332464,63.895486935866984,0.461673227029878,0.680672268907563,0.5159235668789809,1.0,0.8461320400238037,1.6362941265106201
36_speech,OCSVM,100.0,100.0,87.16094032549728,0.3414288589686838,0.23655913978494625,0.13414634146341464,1.0,2.260347843170166,3.2241804599761963
37_Stamps,OCSVM,100.0,100.0,87.25490196078431,0.6408327915038888,0.6486486486486487,0.48,1.0,0.005736351013183594,0.009748697280883789
38_thyroid,OCSVM,100.0,99.99999999999997,88.95759717314488,0.3780239931713008,0.2774566473988439,0.1610738255033557,1.0,0.6396682262420654,0.9954781532287598
39_vertebral,OCSVM,78.57142857142857,25.0,13.88888888888889,0.04485613040162566,0.225,0.1267605633802817,1.0,0.005159854888916016,0.008633852005004883
40_vowels,OCSVM,100.0,100.0,88.32951945080092,0.47866161858603057,0.41379310344827586,0.2608695652173913,1.0,0.10600113868713379,0.17566347122192383
41_Waveform,OCSVM,100.0,100.0,89.25459825750241,0.41721015063564004,0.32727272727272727,0.1956521739130435,1.0,0.5713231563568115,0.9159424304962158
42_WBC,OCSVM,100.0,100.0,89.55223880597015,0.44529832504804945,0.36363636363636365,0.2222222222222222,1.0,0.003412485122680664,0.005324125289916992
43_WDBC,OCSVM,99.06542056074767,66.66666666666666,3.6036036036036037,0.0,0.06956521739130435,0.036036036036036036,1.0,0.015360832214355469,0.025417566299438477
44_Wilt,OCSVM,89.90490124359913,22.253521126760564,5.463347164591978,0.0,0.10360655737704919,0.05463347164591978,1.0,2.5855343341827393,4.342505693435669
45_wine,OCSVM,94.44444444444444,42.857142857142854,7.6923076923076925,0.0,0.14285714285714285,0.07692307692307693,1.0,0.0027785301208496094,0.004253387451171875
46_WPBC,OCSVM,100.0,99.99999999999999,91.66666666666666,0.8104014882034583,0.8484848484848485,0.7368421052631579,1.0,0.0025887489318847656,0.004220485687255859
47_yeast,OCSVM,96.39598835328374,89.9733217111605,91.25560538116592,0.8200514706263329,0.8882521489971347,0.842391304347826,0.9393939393939394,0.05017733573913574,0.09460639953613281
