Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,100.0,100.0,91.3,0.4599907801382454,0.37708830548926014,0.2323529411764706,1.0,0.013823747634887695,0.019299983978271484
2_annthyroid,PCA,100.0,100.0,91.80555555555556,0.657844695894794,0.6438631790744467,0.47477744807121663,1.0,0.0037713050842285156,0.004910945892333984
3_backdoor,PCA,99.99297415027752,99.64273377422369,90.76666666666667,0.4096563217977041,0.31265508684863524,0.18529411764705883,1.0,0.31189441680908203,0.5462830066680908
4_breastw,PCA,100.0,100.0,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.0018734931945800781,0.0024261474609375
5_campaign,PCA,100.0,100.0,91.5,0.6975271317200532,0.6989374262101535,0.5372050816696915,1.0,0.03123331069946289,0.054131507873535156
6_cardio,PCA,98.74829931972788,85.0645631120707,91.45454545454545,0.7120124038034316,0.718562874251497,0.5607476635514018,1.0,0.002752065658569336,0.0038025379180908203
7_Cardiotocography,PCA,100.0,99.99999999999999,90.07874015748033,0.7750591100566221,0.8152492668621701,0.6881188118811881,1.0,0.00278472900390625,0.004085540771484375
8_celeba,PCA,100.0,100.0,90.3,0.3869766966019639,0.28501228501228504,0.166189111747851,1.0,0.0178067684173584,0.027752161026000977
9_census,PCA,100.0,100.0,89.7,0.5491306203437528,0.5056,0.33832976445396146,1.0,3.3317227363586426,5.265876531600952
10_cover,PCA,100.0,99.99999999999999,89.56666666666668,0.2797248952480405,0.16085790884718498,0.08746355685131195,1.0,0.00545501708984375,0.007497549057006836
11_donors,PCA,100.0,100.0,90.66666666666666,0.5470606309247782,0.4982078853046595,0.3317422434367542,1.0,0.004403591156005859,0.00608062744140625
12_fault,PCA,99.72826086956522,97.69543855754334,93.82504288164665,0.8790781827640499,0.9227467811158798,0.8565737051792829,1.0,0.0034356117248535156,0.004888772964477539
13_fraud,PCA,100.0,100.0,89.93333333333334,0.09404738424993407,0.01948051948051948,0.009836065573770493,1.0,0.01570749282836914,0.02226424217224121
14_glass,PCA,100.0,100.0,81.53846153846153,0.3400680204068024,0.25,0.14285714285714285,1.0,0.001922607421875,0.0025234222412109375
15_Hepatitis,PCA,100.0,100.0,83.33333333333334,0.6324555320336759,0.6666666666666666,0.5,1.0,0.0020177364349365234,0.002653360366821289
16_http,PCA,100.0,100.0,89.46666666666667,0.1879719556779936,0.07602339181286549,0.03951367781155015,1.0,0.0037827491760253906,0.005032777786254883
17_InternetAds,PCA,86.16287878787878,62.239667314074985,83.22033898305085,0.45657042875200515,0.56,0.5478260869565217,0.5727272727272728,5.712096214294434,13.518369913101196
18_Ionosphere,PCA,100.0,100.0,92.45283018867924,0.8548146941419844,0.9069767441860465,0.8297872340425532,1.0,0.004083871841430664,0.0050313472747802734
