Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,COPOD,69.6713887649019,3.9788468382188102,87.66666666666667,-0.04032715985688521,0.0106951871657754,0.006779661016949152,0.02531645569620253,0.027791261672973633,0.10832977294921875
2_annthyroid,COPOD,59.023125,8.08774978308611,83.56481481481481,-0.06686330353810524,0.02203856749311295,0.019704433497536946,0.025,0.005540370941162109,0.01670241355895996
3_backdoor,COPOD,42.51179532078409,1.7246773751806523,87.5,-0.035108125081098826,0.010554089709762533,0.006329113924050633,0.031746031746031744,0.03113102912902832,0.12229251861572266
4_breastw,COPOD,58.35549645390071,32.05780541102135,61.46341463414634,-0.1892994097121204,0.0,0.0,0.0,0.0022954940795898438,0.005014657974243164
5_campaign,COPOD,49.024843075323844,9.61131157573128,81.53333333333333,-0.007932828170061738,0.09477124183006536,0.09177215189873418,0.09797297297297297,0.028716564178466797,0.12077641487121582
6_cardio,COPOD,58.57142857142858,11.89704618564362,78.36363636363637,-0.12130057091755748,0.0,0.0,0.0,0.00433039665222168,0.013613462448120117
7_Cardiotocography,COPOD,64.1825249477837,25.497714831643904,69.92125984251969,-0.1377736678554373,0.020512820512820513,0.03571428571428571,0.014388489208633094,0.003446340560913086,0.012465953826904297
8_celeba,COPOD,46.77090414683889,1.7179403200809358,87.66666666666667,-0.04783605178973636,0.0,0.0,0.0,0.039772987365722656,0.15511083602905273
9_census,COPOD,46.460417427555925,4.7091612155795035,85.7,-0.008704795045030486,0.061269146608315096,0.046822742474916385,0.08860759493670886,0.03408074378967285,0.13150501251220703
10_cover,COPOD,62.337822671156,1.2451452923926476,89.2,-0.022018578348978395,0.006134969325153374,0.0033783783783783786,0.03333333333333333,0.009666681289672852,0.03371763229370117
11_donors,COPOD,52.07214864249809,4.376678230289077,85.26666666666667,-0.07388041261180645,0.0,0.0,0.0,0.00831294059753418,0.031195640563964844
12_fault,COPOD,85.24014155712841,61.28923369732141,61.4065180102916,0.016794041827322314,0.1444866920152091,0.3958333333333333,0.08837209302325581,0.003363370895385742,0.012438058853149414
13_fraud,COPOD,68.37949060171282,0.20539580659108078,90.23333333333333,-0.010349791703169688,0.0,0.0,0.0,0.03077101707458496,0.1206667423248291
14_glass,COPOD,67.46031746031746,6.631578947368421,84.61538461538461,-0.06675015657623451,0.0,0.0,0.0,0.002025604248046875,0.004047870635986328
15_Hepatitis,COPOD,83.75,42.65873015873016,75.0,-0.13483997249264842,0.0,0.0,0.0,0.0012221336364746094,0.0031621456146240234
16_http,COPOD,48.389173598413635,0.6361846880920687,89.4,0.011035635260662478,0.012422360248447204,0.006472491909385114,0.15384615384615385,0.004022359848022461,0.013899564743041992
17_InternetAds,COPOD,50.098484848484844,21.317815542457293,76.77966101694915,0.02940214745731233,0.13836477987421383,0.22448979591836735,0.1,0.0042803287506103516,0.016325712203979492
18_Ionosphere,COPOD,65.36548029085343,41.89819430917115,59.43396226415094,-0.15108620474506235,0.0,0.0,0.0,0.0016396045684814453,0.0048830509185791016
19_landsat,COPOD,65.90151783042734,23.763883371026438,72.1387881926463,-0.14802683378377182,0.0,0.0,0.0,0.013845682144165039,0.07305335998535156
20_letter,COPOD,71.00695771848,9.338518457056754,86.875,-0.07001365612498714,0.0,0.0,0.0,0.004584789276123047,0.015649080276489258
21_Lymphography,COPOD,68.6046511627907,9.821428571428571,73.33333333333333,-0.115278083540847,0.0,0.0,0.0,0.0013773441314697266,0.0035200119018554688
22_magic.gamma,COPOD,59.04044012328422,35.2842618631092,59.03333333333334,-0.1779171034693587,0.014434643143544507,0.04128440366972477,0.008746355685131196,0.0059490203857421875,0.024126529693603516
23_mammography,COPOD,50.24379380669964,1.8281370820261398,88.26666666666667,-0.030442263594762323,0.011235955056179775,0.006711409395973154,0.034482758620689655,0.006105184555053711,0.022487878799438477
24_mnist,COPOD,49.1869918699187,8.215886936478494,82.11310828583954,-0.09821741581557197,0.0,0.0,0.0,0.0229489803314209,0.09129524230957031
25_musk,COPOD,62.75862068965517,3.9553407230938897,87.81284004352557,-0.056877421942464465,0.0,0.0,0.0,0.007654666900634766,0.02670907974243164
26_optdigits,COPOD,67.05348517972443,4.6079709859306455,87.34824281150159,-0.059465823564651236,0.0,0.0,0.0,0.011625051498413086,0.057558536529541016
27_PageBlocks,COPOD,50.26932442742861,8.399706480591975,82.01483312731767,-0.09203729920853362,0.006825938566552901,0.006944444444444444,0.006711409395973154,0.005265235900878906,0.01869487762451172
28_pendigits,COPOD,62.37067391568954,2.9001666014162284,76.7103347889374,-0.05757767767923319,0.012345679012345678,0.006864988558352402,0.061224489795918366,0.008527040481567383,0.0326385498046875
29_Pima,COPOD,42.78632478632479,26.836324579720916,58.00865800865801,-0.2249606353329238,0.0,0.0,0.0,0.0014660358428955078,0.004127979278564453
30_satellite,COPOD,57.3857391057689,30.530068060440524,62.55825996892802,-0.18141131640730163,0.0,0.0,0.0,0.011677742004394531,0.06621837615966797
31_satimage-2,COPOD,57.55428455737207,1.5006932164661486,89.60367604824813,-0.03655446434531655,0.0,0.0,0.0,0.023280858993530273,0.09130024909973145
32_shuttle,COPOD,81.76677988158491,15.016226213152112,86.7,0.16845414749604018,0.22524271844660193,0.17365269461077845,0.32044198895027626,0.008213520050048828,0.02890920639038086
33_skin,COPOD,49.840611182017795,19.715444826669366,72.23333333333333,-0.04810574247086153,0.09554831704668838,0.14965986394557823,0.07017543859649122,0.003458738327026367,0.012123584747314453
34_smtp,COPOD,54.651550516838945,0.07347538574577515,90.63333333333333,-0.005858768404076089,0.0,0.0,0.0,0.004111528396606445,0.01420450210571289
35_SpamBase,COPOD,62.90073141924994,40.98409219232838,54.86935866983374,-0.21110103651352055,0.0,0.0,0.0,0.006012916564941406,0.025312423706054688
36_speech,COPOD,64.26954042267695,2.6270872611911806,88.60759493670885,-0.045896493665089175,0.0,0.0,0.0,0.008443593978881836,0.032232046127319336
37_Stamps,COPOD,64.25925925925927,18.00178741432798,82.35294117647058,0.0066577955161413425,0.1,0.125,0.08333333333333333,0.0013358592987060547,0.0036191940307617188
38_thyroid,COPOD,44.51714801444043,1.8601154042845804,88.16254416961131,-0.02823091759833796,0.014705882352941176,0.008928571428571428,0.041666666666666664,0.0029265880584716797,0.009786128997802734
39_vertebral,COPOD,38.447971781305114,10.618530601622389,79.16666666666666,-0.11396057645963795,0.0,0.0,0.0,0.0012683868408203125,0.0032050609588623047
40_vowels,COPOD,63.04693715194909,5.321119328350279,87.64302059496568,-0.06210238869787856,0.0,0.0,0.0,0.002312183380126953,0.00727391242980957
41_Waveform,COPOD,63.75082836315441,3.387556509092039,87.51210067763795,-0.054226070842897746,0.0,0.0,0.0,0.005636453628540039,0.020687580108642578
42_WBC,COPOD,69.23076923076923,6.926406926406926,86.56716417910447,-0.05991446895152781,0.0,0.0,0.0,0.0012276172637939453,0.0032634735107421875
43_WDBC,COPOD,71.72897196261681,7.274279774279774,88.28828828828829,-0.05743270556006763,0.0,0.0,0.0,0.0017375946044921875,0.0052318572998046875
44_Wilt,COPOD,47.98366560795607,4.920879152346283,85.20055325034578,-0.04824587194084796,0.02727272727272727,0.02127659574468085,0.0379746835443038,0.003091096878051758,0.010319709777832031
45_wine,COPOD,76.85185185185186,18.835978835978835,87.17948717948718,-0.06711560552140243,0.0,0.0,0.0,0.0012104511260986328,0.003221750259399414
46_WPBC,COPOD,67.2360248447205,30.65329172194693,65.0,-0.20049160254417167,0.0,0.0,0.0,0.0013909339904785156,0.004037618637084961
47_yeast,COPOD,71.61436428340345,48.81613994054719,60.0896860986547,-0.05139589340679191,0.08247422680412371,0.27586206896551724,0.048484848484848485,0.001758575439453125,0.005354166030883789
