Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,ECOD,68.0177154520517,3.7542022592630344,87.23333333333333,-0.04854718759255577,0.005194805194805195,0.0032679738562091504,0.012658227848101266,0.7803981304168701,0.8596980571746826
2_annthyroid,ECOD,57.5834375,7.805993720869169,83.79629629629629,-0.08213344751816712,0.005681818181818182,0.005208333333333333,0.00625,0.00522923469543457,0.016902685165405273
3_backdoor,ECOD,40.827753187303756,1.6979190140969596,87.43333333333332,-0.02801557628724583,0.015665796344647518,0.009375,0.047619047619047616,0.031081438064575195,0.13055872917175293
4_breastw,ECOD,55.49645390070922,30.75285846175303,60.48780487804878,-0.20259371428490355,0.0,0.0,0.0,0.0022423267364501953,0.004897117614746094
5_campaign,ECOD,48.78458339996802,9.744915546389244,81.46666666666667,-0.017517466568731762,0.08552631578947369,0.08333333333333333,0.08783783783783784,0.028478622436523438,0.11513257026672363
6_cardio,ECOD,59.54421768707483,12.108717396811448,79.0909090909091,-0.11664236870396087,0.0,0.0,0.0,0.004329681396484375,0.012841463088989258
7_Cardiotocography,ECOD,62.427477372940366,24.5090254925747,69.13385826771653,-0.16624173795106553,0.0,0.0,0.0,0.003326892852783203,0.011721372604370117
8_celeba,ECOD,42.13061722028178,1.595139375490674,86.96666666666667,-0.049613889093275396,0.0,0.0,0.0,0.04261016845703125,0.15855836868286133
9_census,ECOD,47.08553434468505,4.711846766201204,86.16666666666667,-0.03786063937457778,0.03263403263403263,0.025830258302583026,0.04430379746835443,0.030877113342285156,0.11898612976074219
10_cover,ECOD,61.70819304152637,1.2167989254642884,89.03333333333333,-0.033439186598525114,0.0,0.0,0.0,0.009884834289550781,0.035744667053222656
11_donors,ECOD,50.37077643023644,4.240327890800833,85.16666666666667,-0.07428658410173776,0.0,0.0,0.0,0.009044408798217773,0.03437209129333496
12_fault,ECOD,85.55106167846309,61.6647205683982,60.548885077186966,-0.04351132031780249,0.08,0.2857142857142857,0.046511627906976744,0.003336668014526367,0.012557744979858398
13_fraud,ECOD,66.66666666666666,0.19690334627376682,90.53333333333333,-0.010171050533366342,0.0,0.0,0.0,0.02980661392211914,0.11860537528991699
14_glass,ECOD,58.730158730158735,5.298913043478261,81.53846153846153,-0.07597371763975863,0.0,0.0,0.0,0.002102375030517578,0.004147052764892578
15_Hepatitis,ECOD,75.0,31.666666666666664,75.0,-0.13483997249264842,0.0,0.0,0.0,0.0012063980102539062,0.0031588077545166016
16_http,ECOD,41.98192166052897,0.41412014430880156,89.60000000000001,-0.0051403986398708655,0.006369426751592357,0.0033222591362126247,0.07692307692307693,0.004187345504760742,0.014548540115356445
