Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,83.18895471032548,7.3072594377321884,87.93333333333334,0.08943689564472536,0.10837438423645321,0.0672782874617737,0.27848101265822783,0.22885394096374512,0.27376604080200195
2_annthyroid,IForest,70.26281250000001,11.303287714591214,84.35185185185186,0.01271056004962695,0.0962566844919786,0.08411214953271028,0.1125,0.1755971908569336,0.20988202095031738
3_backdoor,IForest,45.56641860012646,1.8089127126230637,87.1,-0.04366850421957957,0.005141388174807198,0.003067484662576687,0.015873015873015872,0.19972848892211914,0.24181103706359863
4_breastw,IForest,72.17420212765957,43.05252112954554,65.3658536585366,-0.011731069852894231,0.12345679012345678,0.29411764705882354,0.078125,0.12634778022766113,0.1431751251220703
5_campaign,IForest,47.82229529825683,9.416711780888248,81.43333333333334,-0.008973151814380086,0.0943089430894309,0.09090909090909091,0.09797297297297297,0.20326828956604004,0.24961352348327637
6_cardio,IForest,78.31632653061224,21.491699528350676,80.9090909090909,0.09139601209834661,0.1984732824427481,0.18309859154929578,0.21666666666666667,0.13959717750549316,0.16040325164794922
7_Cardiotocography,IForest,84.14655372476213,44.402562412087526,76.06299212598425,0.21984711094872453,0.3559322033898305,0.4329896907216495,0.302158273381295,0.14064455032348633,0.16187524795532227
8_celeba,IForest,73.30282003797556,3.341214140148692,87.56666666666668,-0.048092327339471996,0.0,0.0,0.0,0.19907712936401367,0.24179315567016602
9_census,IForest,49.5764259435769,5.110197743147605,85.56666666666666,-0.009696870024724176,0.06073752711496746,0.0462046204620462,0.08860759493670886,0.21673989295959473,0.2672853469848633
10_cover,IForest,89.31200897867564,4.6817946866865965,89.26666666666667,0.1479039027577256,0.09550561797752809,0.05214723926380368,0.5666666666666667,0.2017045021057129,0.24494504928588867
11_donors,IForest,75.27905672665642,9.317738527892438,86.0,0.07094423442454263,0.125,0.08797653958944282,0.2158273381294964,0.20231890678405762,0.24786615371704102
12_fault,IForest,96.64812942366028,86.02389582835656,93.31046312178388,0.8667935099993338,0.9157667386609071,0.8548387096774194,0.986046511627907,0.1325829029083252,0.153303861618042
13_fraud,IForest,90.12345679012346,0.653698632189693,90.33333333333333,0.025414008828144284,0.00684931506849315,0.0034602076124567475,0.3333333333333333,0.19315838813781738,0.23241877555847168
14_glass,IForest,69.84126984126983,7.107843137254902,87.6923076923077,-0.05681909897271361,0.0,0.0,0.0,0.12005066871643066,0.1357870101928711
15_Hepatitis,IForest,81.25,41.666666666666664,79.16666666666666,0.1690308509457033,0.2857142857142857,0.3333333333333333,0.25,0.1370704174041748,0.1525099277496338
16_http,IForest,45.252504442327016,0.5451801968288337,89.33333333333333,-0.0056597282199161575,0.006211180124223602,0.003236245954692557,0.07692307692307693,0.2073521614074707,0.25347065925598145
17_InternetAds,IForest,49.61931818181818,19.887275265991867,75.76271186440678,0.03755104119416247,0.16374269005847952,0.22950819672131148,0.12727272727272726,0.13814926147460938,0.15949487686157227
18_Ionosphere,IForest,93.07309605817069,78.2472529107414,79.24528301886792,0.5438449386174836,0.65625,0.84,0.5384615384615384,0.12324666976928711,0.1395127773284912
19_landsat,IForest,95.54545330903355,68.09326815526768,91.71413775245986,0.7890262275247384,0.8233995584988962,0.7077798861480076,0.9841688654353562,0.16684913635253906,0.2028675079345703
20_letter,IForest,95.64186864439176,39.499509621443245,94.375,0.6577623523366024,0.6582278481012658,0.52,0.896551724137931,0.13506150245666504,0.1548748016357422
21_Lymphography,IForest,89.53488372093024,24.285714285714285,82.22222222222221,0.4034732923929645,0.3333333333333333,0.2,1.0,0.11790585517883301,0.13404393196105957
22_magic.gamma,IForest,79.7148547032062,53.33293229519924,66.26666666666667,0.15514933472551123,0.3143631436314363,0.5190156599552572,0.22546161321671526,0.17418742179870605,0.21723318099975586
23_mammography,IForest,71.57985419255021,3.6909032381918414,88.7,0.0639217992041163,0.07629427792915532,0.045307443365695796,0.2413793103448276,0.1931757926940918,0.23555779457092285
24_mnist,IForest,99.75962216269562,95.36842951523053,90.53046909250328,0.660508909517182,0.6549520766773163,0.48693586698337293,1.0,0.19026970863342285,0.2333829402923584
