Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,LUNAR,94.5618589090783,31.80784334251609,92.36666666666666,0.3791040534687569,0.3400576368876081,0.22014925373134328,0.7468354430379747,14.584462881088257,14.696214199066162
2_annthyroid,LUNAR,92.3553125,40.80960937612414,91.85185185185185,0.4161552088864062,0.4601226993865031,0.45180722891566266,0.46875,9.252105236053467,9.33232569694519
3_backdoor,LUNAR,47.06778864082235,1.9255248598845878,92.10000000000001,-0.026670442082058238,0.008368200836820083,0.005681818181818182,0.015873015873015872,14.791856527328491,14.90702772140503
4_breastw,LUNAR,81.43838652482269,56.77440631373767,77.07317073170732,0.4638886215040072,0.6299212598425197,0.6349206349206349,0.625,1.4580795764923096,1.463181734085083
5_campaign,LUNAR,47.683611866304176,9.318229740455347,80.2,-0.0044612383632181086,0.10542168674698796,0.09510869565217392,0.11824324324324324,12.297543287277222,12.409191370010376
6_cardio,LUNAR,95.79931972789116,72.3809785689254,90.72727272727272,0.6423834095615022,0.6709677419354839,0.5473684210526316,0.8666666666666667,2.703280210494995,2.7110793590545654
7_Cardiotocography,LUNAR,97.27750058018101,88.95348477380985,82.51968503937009,0.6569418396214092,0.7146529562982005,0.556,1.0,2.7205793857574463,2.7285919189453125
8_celeba,LUNAR,97.07213014838604,68.48546027295414,93.5,0.4146467556512431,0.3434343434343434,0.21338912133891214,0.8793103448275862,15.003306865692139,15.133820533752441
9_census,LUNAR,49.11944699311414,5.319438659891855,40.5,-0.007582711743635625,0.0943683409436834,0.05129619415333701,0.5886075949367089,13.125288248062134,13.240877389907837
10_cover,LUNAR,99.88776655443323,88.21304263550023,89.13333333333333,0.27389753839112074,0.15544041450777202,0.08426966292134831,1.0,15.134688377380371,15.352144241333008
11_donors,LUNAR,94.01250757520513,53.89981043219221,94.5,0.4941607000309619,0.5132743362831859,0.435,0.6258992805755396,14.400206565856934,14.702162981033325
12_fault,LUNAR,99.83569261880687,99.71052644022424,97.08404802744425,0.9401667469092931,0.9619686800894854,0.9267241379310345,1.0,2.8172543048858643,2.8250491619110107
13_fraud,LUNAR,99.76643309976643,21.26022126022126,93.89999999999999,0.12306167735935918,0.031746031746031744,0.016129032258064516,1.0,14.936591625213623,15.05907917022705
14_glass,LUNAR,76.98412698412699,53.2258064516129,86.15384615384616,0.1865079365079365,0.18181818181818182,0.1111111111111111,0.5,1.3777520656585693,1.3800160884857178
15_Hepatitis,LUNAR,92.5,85.0,87.5,0.4662524041201569,0.4,1.0,0.25,1.6545157432556152,1.6597065925598145
16_http,LUNAR,55.52007416754654,0.7499847304072446,84.7,0.014772459517541602,0.012903225806451613,0.00663716814159292,0.23076923076923078,14.606087923049927,14.639498710632324
17_InternetAds,LUNAR,53.56818181818181,22.577352258984305,78.64406779661017,0.06941185988652211,0.14864864864864866,0.2894736842105263,0.1,2.878004550933838,2.8872439861297607
18_Ionosphere,LUNAR,96.09644087256028,86.41796427173306,95.28301886792453,0.9056583772794791,0.9397590361445783,0.8863636363636364,1.0,1.4876031875610352,1.4943044185638428
19_landsat,LUNAR,99.9379471207464,99.59985657377266,96.32314862765406,0.896489111050093,0.9143546441495778,0.8422222222222222,1.0,7.479969263076782,7.528775930404663
20_letter,LUNAR,99.9311873996483,98.95952739737501,94.58333333333333,0.7048940558079093,0.6904761904761905,0.5272727272727272,1.0,2.9049761295318604,2.9121506214141846
21_Lymphography,LUNAR,97.67441860465115,58.33333333333333,68.88888888888889,0.29034862765543656,0.2222222222222222,0.125,1.0,1.2884368896484375,1.2936487197875977
22_magic.gamma,LUNAR,98.97956718383519,97.53821173280785,94.86666666666666,0.885953429012768,0.9249512670565302,0.927663734115347,0.9222546161321672,9.368763208389282,9.709647417068481
23_mammography,LUNAR,95.51911671628497,36.46259306692487,93.96666666666667,0.38535391145205206,0.33210332103321033,0.2112676056338028,0.7758620689655172,14.455256462097168,14.526564598083496
24_mnist,LUNAR,100.0,100.0,96.79964927663306,0.843492708319868,0.8488612836438924,0.737410071942446,1.0,9.713057518005371,9.785345315933228
25_musk,LUNAR,100.0,99.99999999999997,96.84439608269858,0.6954910963977463,0.6666666666666666,0.5,1.0,4.719402074813843,4.7359459400177
26_optdigits,LUNAR,99.99872896436017,99.96371552975329,96.42172523961662,0.6809262957934967,0.65,0.48148148148148145,1.0,7.457805871963501,7.495696544647217
27_PageBlocks,LUNAR,84.74513548457838,32.24984049809198,89.18417799752781,0.26594823384000293,0.31906614785992216,0.37962962962962965,0.2751677852348993,7.405069351196289,7.54561710357666
29_Pima,LUNAR,81.29914529914531,61.24600910519834,69.26406926406926,0.1957099569973498,0.3106796116504854,0.5714285714285714,0.21333333333333335,1.6250734329223633,1.6304395198822021
30_satellite,LUNAR,99.99696080964031,99.99302992965991,97.30709476954945,0.9397747904357963,0.9576547231270358,0.91875,1.0,6.369943857192993,6.409433126449585
31_satimage-2,LUNAR,100.0,99.99999999999999,94.77311889718553,0.4371129659847245,0.3357664233576642,0.20175438596491227,1.0,8.273315191268921,8.32100224494934
32_shuttle,LUNAR,97.26422323656169,69.4490504447277,94.93333333333334,0.6569468306137004,0.6666666666666666,0.5527272727272727,0.8397790055248618,13.98621916770935,14.324857473373413
33_skin,LUNAR,73.23874179952429,50.53646325596315,78.16666666666666,0.3361689135864691,0.4738955823293173,0.4773462783171521,0.4704944178628389,11.114179134368896,11.140939712524414
34_smtp,LUNAR,69.92330776925641,0.11074197120708748,80.4,-0.00900641919249259,0.0,0.0,0.0,14.750108003616333,14.778740644454956
35_SpamBase,LUNAR,96.80950792061903,92.15597424467718,93.98258115597783,0.8819911809742129,0.927063339731286,0.8687050359712231,0.9938271604938271,4.089605093002319,4.112168312072754
36_speech,LUNAR,99.98742032874874,99.45454545454544,97.10669077757686,0.6287929869781241,0.5789473684210527,0.4074074074074074,1.0,5.485226392745972,5.505843877792358
