Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,81.67222080178888,9.274080646283657,88.16666666666667,0.16871865540164332,0.16470588235294117,0.10115606936416185,0.4430379746835443,0.011868000030517578,0.016590118408203125
2_annthyroid,PCA,59.59406249999999,8.372846328950242,84.12037037037037,-0.04662035712416392,0.0392156862745098,0.03553299492385787,0.04375,0.0028076171875,0.003839254379272461
3_backdoor,PCA,46.5230150623409,1.9057715513100235,87.86666666666667,-0.026439480992895205,0.016216216216216217,0.009771986970684038,0.047619047619047616,0.009272336959838867,0.013379812240600586
4_breastw,PCA,58.38874113475177,36.78952611909633,67.31707317073172,0.09404347819115634,0.22988505747126436,0.43478260869565216,0.15625,0.0013051033020019531,0.0017535686492919922
5_campaign,PCA,47.30741743962897,9.367345705230527,81.16666666666667,-0.0030458758368924147,0.10174880763116058,0.0960960960960961,0.10810810810810811,0.008805036544799805,0.012833833694458008
6_cardio,PCA,60.84013605442178,12.624823737825992,79.45454545454545,-0.06476216921869594,0.05042016806722689,0.05084745762711865,0.05,0.0019407272338867188,0.0027284622192382812
7_Cardiotocography,PCA,66.4974472035275,27.9831961751174,72.59842519685039,0.03606374110177588,0.1792452830188679,0.2602739726027397,0.1366906474820144,0.0019404888153076172,0.002787351608276367
8_celeba,PCA,66.53343960242857,2.702270127058984,87.63333333333333,-0.04792156561173842,0.0,0.0,0.0,0.013514041900634766,0.019931554794311523
9_census,PCA,49.35528554503425,5.0426591089900645,85.76666666666667,-0.017249068448560344,0.05321507760532151,0.040955631399317405,0.0759493670886076,0.009824037551879883,0.013778448104858398
10_cover,PCA,64.41189674523008,1.3145243650976963,89.1,-0.03331483023263848,0.0,0.0,0.0,0.003242015838623047,0.004501819610595703
11_donors,PCA,54.531670015263565,7.31186467237745,84.96666666666667,-0.046042675173819006,0.02591792656587473,0.018518518518518517,0.04316546762589928,0.008479833602905273,0.010551929473876953
12_fault,PCA,89.69413549039434,73.10609932535546,78.04459691252144,0.5159029085040511,0.673469387755102,0.7457627118644068,0.6139534883720931,0.0033211708068847656,0.005057573318481445
13_fraud,PCA,75.26415304193083,0.260614639425615,90.63333333333333,-0.010111034526982554,0.0,0.0,0.0,0.009954214096069336,0.01381826400756836
14_glass,PCA,76.98412698412697,11.142857142857142,83.07692307692308,0.15717734935150035,0.15384615384615385,0.09090909090909091,0.5,0.0011942386627197266,0.001592874526977539
15_Hepatitis,PCA,76.25,37.5,75.0,-0.13483997249264842,0.0,0.0,0.0,0.001508474349975586,0.0019152164459228516
16_http,PCA,39.78522314645515,0.3850750245805925,90.0,-0.004340031802173505,0.006622516556291391,0.0034602076124567475,0.07692307692307693,0.0029239654541015625,0.0036878585815429688
17_InternetAds,PCA,51.196969696969695,20.979367324783958,76.4406779661017,0.032245415251799865,0.147239263803681,0.22641509433962265,0.10909090909090909,0.0027103424072265625,0.0038437843322753906
18_Ionosphere,PCA,70.03444316877152,45.014689111984126,62.264150943396224,-0.07445609458816627,0.0,0.0,0.0,0.0022089481353759766,0.002744436264038086
19_landsat,PCA,67.18762750591627,24.464573437975123,72.24236147074055,-0.147009961882559,0.0,0.0,0.0,0.006733894348144531,0.010270118713378906
20_letter,PCA,74.81458827127456,10.61890286139663,88.95833333333333,-0.058174669884133445,0.0,0.0,0.0,0.002916574478149414,0.003970146179199219
21_Lymphography,PCA,67.44186046511628,9.545454545454547,73.33333333333333,0.11379481553341216,0.14285714285714285,0.08333333333333333,0.5,0.0013642311096191406,0.0017769336700439453
22_magic.gamma,PCA,61.212557792559664,36.773649561452885,59.43333333333334,-0.15278123004657196,0.03335980937251787,0.09130434782608696,0.02040816326530612,0.0026116371154785156,0.0038619041442871094
