Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,SFF_OD,97.18927539120902,38.07231054935361,97.03333333333333,0.3565563656636699,0.36879432624113473,0.41935483870967744,0.3291139240506329,1.375417709350586,0.028302907943725586
2_annthyroid,SFF_OD,96.24062500000001,64.62284689845387,94.39814814814815,0.49860852198171596,0.48945147679324896,0.7532467532467533,0.3625,0.03675484657287598,0.01589822769165039
3_backdoor,SFF_OD,48.20327404597068,1.9491379055347062,96.66666666666667,-0.016366406651196937,0.0,0.0,0.0,0.09227800369262695,0.024620532989501953
4_breastw,SFF_OD,88.08732269503547,63.82320224537607,69.26829268292683,0.11253756326156757,0.136986301369863,0.5555555555555556,0.078125,0.017089366912841797,0.014806032180786133
5_campaign,SFF_OD,49.98388273628658,9.880261347442746,89.2,0.0045989609239712225,0.024096385542168676,0.1111111111111111,0.013513513513513514,0.056562185287475586,0.026224851608276367
6_cardio,SFF_OD,98.74149659863946,84.2630153551358,97.45454545454545,0.8758186675830276,0.8888888888888888,0.8484848484848485,0.9333333333333333,0.013737678527832031,0.0061986446380615234
7_Cardiotocography,SFF_OD,99.44592712926432,96.27561141992648,98.11023622047243,0.9444905944793643,0.9565217391304348,0.9635036496350365,0.9496402877697842,0.014239072799682617,0.0062830448150634766
8_celeba,SFF_OD,97.66227525258446,49.060629524698456,98.3,0.6201584858132955,0.6222222222222222,0.5454545454545454,0.7241379310344828,0.06981730461120605,0.029245853424072266
9_census,SFF_OD,48.8557710294943,5.0484602704335355,93.93333333333334,-0.02117413433767051,0.0,0.0,0.0,0.05476737022399902,0.02823805809020996
10_cover,SFF_OD,99.42760942760943,46.875,98.86666666666667,0.6807230261889474,0.6382978723404256,0.46875,1.0,0.05312657356262207,0.026962757110595703
11_donors,SFF_OD,97.02134133308522,62.81249724078325,96.7,0.5519090555570357,0.543778801843318,0.7564102564102564,0.4244604316546763,0.09963750839233398,0.045668601989746094
12_fault,SFF_OD,99.29979777553083,97.6669246176217,98.28473413379074,0.9631572295247725,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.010596990585327148,0.005351066589355469
13_fraud,SFF_OD,99.3993993993994,7.6923076923076925,98.8,0.2756792991848971,0.14285714285714285,0.07692307692307693,1.0,0.07633447647094727,0.03050088882446289
14_glass,SFF_OD,80.95238095238095,53.84615384615385,98.46153846153847,0.701560760020114,0.6666666666666666,1.0,0.5,0.017222881317138672,0.014910697937011719
15_Hepatitis,SFF_OD,92.5,57.14285714285714,87.5,0.6969320524371696,0.7272727272727273,0.5714285714285714,1.0,0.00379180908203125,0.0017652511596679688
16_http,SFF_OD,51.23612577579769,0.7240568326781893,98.63333333333333,0.04437234365600087,0.046511627906976744,0.03333333333333333,0.07692307692307693,0.03166794776916504,0.015041112899780273
17_InternetAds,SFF_OD,53.61174242424242,21.74497176395947,80.33898305084746,0.004571503208824944,0.03333333333333333,0.2,0.01818181818181818,0.014026165008544922,0.006409168243408203
18_Ionosphere,SFF_OD,97.01492537313433,90.69767441860465,96.22641509433963,0.9234873463461784,0.9512195121951219,0.9069767441860465,1.0,0.004984140396118164,0.0021047592163085938
19_landsat,SFF_OD,99.4201030927835,95.46599496221663,99.06784049715174,0.9713845081004635,0.9768041237113402,0.9546599496221663,1.0,0.030412912368774414,0.01174020767211914
20_letter,SFF_OD,99.66740576496674,90.625,99.375,0.9488001525558595,0.9508196721311475,0.90625,1.0,0.014443159103393555,0.004971981048583984
21_Lymphography,SFF_OD,98.83720930232558,66.66666666666666,97.77777777777777,0.806946584785929,0.8,0.6666666666666666,1.0,0.003983497619628906,0.0022449493408203125
22_magic.gamma,SFF_OD,99.64805520671703,98.93905685830032,97.39999999999999,0.9424900420294604,0.9609218436873748,0.9917269906928645,0.9319727891156463,0.053830623626708984,0.04414772987365723
23_mammography,SFF_OD,97.60542910054151,45.71815468784883,98.16666666666667,0.5205860337584707,0.5299145299145299,0.5254237288135594,0.5344827586206896,0.03804898262023926,0.01589179039001465
24_mnist,SFF_OD,99.49421965317919,90.7079646017699,99.07935116177116,0.9475779571404986,0.951276102088167,0.9070796460176991,1.0,0.04673337936401367,0.017616748809814453
25_musk,SFF_OD,99.38202247191012,72.5,98.80304678998912,0.8461910693470457,0.8405797101449275,0.725,1.0,0.016078948974609375,0.004767894744873047
26_optdigits,SFF_OD,99.53734302709847,78.78787878787878,99.10543130990416,0.8835091598724495,0.8813559322033898,0.7878787878787878,1.0,0.030317068099975586,0.010171651840209961
27_PageBlocks,SFF_OD,91.74300190514481,49.107114136831015,91.34734239802225,0.267330659602756,0.2222222222222222,0.6451612903225806,0.1342281879194631,0.06964588165283203,0.032488346099853516
29_Pima,SFF_OD,88.76923076923077,75.06877465752191,69.6969696969697,0.20101903851663863,0.14634146341463414,0.8571428571428571,0.08,0.017160654067993164,0.0153350830078125
30_satellite,SFF_OD,99.70215934475056,98.65771812080537,99.58570688762299,0.9903031481955163,0.9932432432432432,0.9865771812080537,1.0,0.028165102005004883,0.010493993759155273
31_satimage-2,SFF_OD,99.15599534342259,44.230769230769226,98.33429063756462,0.6594251263553265,0.6133333333333333,0.4423076923076923,1.0,0.04138612747192383,0.011213302612304688
32_shuttle,SFF_OD,98.6908096009909,76.45387697717636,97.53333333333333,0.7835872446601743,0.7967032967032966,0.7923497267759563,0.8011049723756906,0.09782719612121582,0.04009866714477539
33_skin,SFF_OD,73.82998929342664,54.51457184907614,83.3,0.39880227938082147,0.3713927227101631,0.8705882352941177,0.23604465709728867,0.020592927932739258,0.015619516372680664
34_smtp,SFF_OD,72.59086362120706,0.12150668286755771,98.76666666666667,-0.0020124445268402524,0.0,0.0,0.0,0.03423738479614258,0.01682567596435547
35_SpamBase,SFF_OD,98.6658616288246,96.17249254762858,82.58115597783056,0.6452317942568966,0.7150259067357513,0.965034965034965,0.5679012345679012,0.011282920837402344,0.004551410675048828
36_speech,SFF_OD,99.35424354243541,61.111111111111114,98.73417721518987,0.7766714441675592,0.7586206896551724,0.6111111111111112,1.0,0.018725156784057617,0.004444122314453125
37_Stamps,SFF_OD,87.5,49.85848506069093,89.2156862745098,0.3823158557185859,0.42105263157894735,0.5714285714285714,0.3333333333333333,0.01665520668029785,0.015308380126953125
38_thyroid,SFF_OD,89.12454873646209,13.58110697397173,97.52650176678446,0.1339942310913648,0.125,0.25,0.08333333333333333,0.02091217041015625,0.015091180801391602
39_vertebral,SFF_OD,95.94356261022928,85.64830231496897,90.27777777777779,0.4472135954999579,0.36363636363636365,1.0,0.2222222222222222,0.016644716262817383,0.01543283462524414
40_vowels,SFF_OD,99.76133651551314,90.0,99.54233409610984,0.9464164291046707,0.9473684210526315,0.9,1.0,0.021540164947509766,0.015682458877563477
41_Waveform,SFF_OD,99.40357852882703,69.23076923076923,98.83833494675702,0.8270728800176451,0.8181818181818182,0.6923076923076923,1.0,0.013065814971923828,0.004517078399658203
42_WBC,SFF_OD,92.3076923076923,22.619047619047617,95.52238805970148,-0.021591675854376522,0.0,0.0,0.0,0.01860213279724121,0.016170263290405273
43_WDBC,SFF_OD,99.06542056074767,66.66666666666666,98.1981981981982,0.808829776576404,0.8,0.6666666666666666,1.0,0.004198312759399414,0.002146482467651367
44_Wilt,SFF_OD,78.52036706082801,15.969788764271264,93.98340248962656,0.0694605187392043,0.06451612903225806,0.21428571428571427,0.0379746835443038,0.030989408493041992,0.015582084655761719
45_wine,SFF_OD,98.6111111111111,75.0,97.43589743589743,0.8539125638299665,0.8571428571428571,0.75,1.0,0.016845703125,0.01554250717163086
