Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,COPOD,100.0,100.0,92.83333333333333,0.49892813867907104,0.42359249329758714,0.2687074829931973,1.0,0.04852461814880371,0.18727469444274902
2_annthyroid,COPOD,99.8146875,98.13595888012607,94.21296296296296,0.7231843787265155,0.7178329571106095,0.5618374558303887,0.99375,0.008156776428222656,0.02691817283630371
3_backdoor,COPOD,100.0,100.0,93.10000000000001,0.4657123371062063,0.3783783783783784,0.23333333333333334,1.0,0.423032283782959,1.666179895401001
4_breastw,COPOD,98.37101063829788,93.76561319392249,95.60975609756098,0.8982643531289953,0.9302325581395349,0.9230769230769231,0.9375,0.007943868637084961,0.012424945831298828
5_campaign,COPOD,100.0,100.0,95.83333333333334,0.8188929553497614,0.8256624825662483,0.7030878859857482,1.0,0.1098792552947998,0.42511820793151855
6_cardio,COPOD,99.93537414965988,99.45435889160176,93.0909090909091,0.7515082710008967,0.759493670886076,0.6122448979591837,1.0,0.0074884891510009766,0.022681474685668945
7_Cardiotocography,COPOD,99.80273845439777,99.0213262496652,96.22047244094489,0.9008319043688202,0.9205298013245033,0.852760736196319,1.0,0.005360841751098633,0.0199127197265625
8_celeba,COPOD,100.0,100.0,91.36666666666666,0.4084824175779195,0.30933333333333335,0.1829652996845426,1.0,0.06722068786621094,0.26432061195373535
9_census,COPOD,100.0,100.0,96.39999999999999,0.7559184465435324,0.7452830188679245,0.5939849624060151,1.0,1.0620450973510742,4.118650436401367
10_cover,COPOD,99.75420875420876,81.74087188868698,89.16666666666667,0.27433490233639674,0.15584415584415584,0.08450704225352113,1.0,0.026253938674926758,0.06743979454040527
11_donors,COPOD,99.93814106352107,98.91197486608007,93.56666666666666,0.6248450619237825,0.5902335456475584,0.4186746987951807,1.0,0.012940168380737305,0.05221056938171387
12_fault,COPOD,99.85591506572295,99.65222108280251,99.48542024013722,0.9890392024973457,0.9930715935334873,0.9862385321100917,1.0,0.004805088043212891,0.019588232040405273
13_fraud,COPOD,100.0,100.0,89.2,0.09045714134896443,0.01818181818181818,0.009174311926605505,1.0,0.047002553939819336,0.20518231391906738
14_glass,COPOD,89.68253968253968,56.666666666666664,86.15384615384616,0.1865079365079365,0.18181818181818182,0.1111111111111111,0.5,0.002535581588745117,0.005156040191650391
15_Hepatitis,COPOD,97.50000000000001,91.66666666666666,87.5,0.5964809080634605,0.6666666666666666,0.6,0.75,0.0018017292022705078,0.0047454833984375
16_http,COPOD,99.89441425665062,86.32219932422773,90.2,0.1953903243458387,0.08125,0.04234527687296417,1.0,0.006278038024902344,0.020549297332763672
17_InternetAds,COPOD,100.0,99.99999999999997,100.0,1.0,1.0,1.0,1.0,0.5112204551696777,2.1204140186309814
18_Ionosphere,COPOD,95.59892843474933,90.08473992872197,82.0754716981132,0.6108134856976443,0.7076923076923077,0.8846153846153846,0.5897435897435898,0.01037907600402832,0.015531063079833984
19_landsat,COPOD,96.08641840981421,75.4033884745395,92.64629725530813,0.8021111691648544,0.8371559633027523,0.7403651115618661,0.9630606860158312,0.025192737579345703,0.11756753921508789
20_letter,COPOD,100.0,100.0,94.375,0.697749674887655,0.6823529411764706,0.5178571428571429,1.0,0.007707357406616211,0.024947643280029297
21_Lymphography,COPOD,100.0,100.0,86.66666666666667,0.4638062947716077,0.4,0.25,1.0,0.0019714832305908203,0.005326986312866211
22_magic.gamma,COPOD,99.43835764355752,99.02171189297923,94.89999999999999,0.8876522977478961,0.9206842923794712,0.9866666666666667,0.8629737609329446,0.009504318237304688,0.03884267807006836
23_mammography,COPOD,99.75679223610491,93.53779964212715,90.73333333333333,0.3953576386336165,0.29441624365482233,0.17261904761904762,1.0,0.009542226791381836,0.035108089447021484
24_mnist,COPOD,100.0,100.0,97.15037264357737,0.8576052069162424,0.8631578947368421,0.7592592592592593,1.0,0.12277841567993164,0.48940229415893555
25_musk,COPOD,100.0,99.99999999999997,90.53318824809575,0.4749334666590774,0.4,0.25,1.0,0.0803685188293457,0.3285529613494873
26_optdigits,COPOD,100.0,100.0,91.18210862619809,0.49871996724892825,0.4297520661157025,0.2736842105263158,1.0,0.05524015426635742,0.21563339233398438
27_PageBlocks,COPOD,99.80491682695163,97.85492984818474,94.56118665018542,0.7687850026641361,0.772020725388601,0.6286919831223629,1.0,0.009003400802612305,0.02979302406311035
28_pendigits,COPOD,99.52022558526393,90.28435735916858,91.70305676855895,0.4433963219655222,0.3595505617977528,0.22018348623853212,0.9795918367346939,0.014739513397216797,0.05797171592712402
29_Pima,COPOD,99.2051282051282,98.29310232150429,93.93939393939394,0.8604390555842361,0.9027777777777778,0.9420289855072463,0.8666666666666667,0.002634763717651367,0.007002353668212891
30_satellite,COPOD,99.12116745432351,97.01646252619486,94.25168306576903,0.8630099912512671,0.8995475113122172,0.9613152804642167,0.8452380952380952,0.02051830291748047,0.1055147647857666
31_satimage-2,COPOD,97.35536771777092,19.399752079332924,90.9821941412981,0.34073562062293794,0.22660098522167488,0.12777777777777777,1.0,0.039974212646484375,0.15342092514038086
32_shuttle,COPOD,99.9233692446089,99.08762822916056,92.16666666666666,0.6315261506963025,0.6063651591289783,0.43509615384615385,1.0,0.012904167175292969,0.04657793045043945
33_skin,COPOD,90.9197773194047,77.80844157049246,87.96666666666667,0.6100514669704683,0.6744815148782687,0.7759336099585062,0.5964912280701754,0.005429267883300781,0.019379854202270508
34_smtp,COPOD,99.13304434811604,3.7037037037037033,89.5,0.05321811425245022,0.006309148264984227,0.0031645569620253164,1.0,0.0066187381744384766,0.023255109786987305
35_SpamBase,COPOD,100.0,99.99999999999999,99.92082343626286,0.9983297317699021,0.998972250770812,0.997946611909651,1.0,0.018696308135986328,0.10405325889587402
36_speech,COPOD,100.0,100.0,92.49547920433996,0.43986467783779604,0.3464566929133858,0.20952380952380953,1.0,0.2847003936767578,1.101393461227417
37_Stamps,COPOD,97.22222222222221,86.59717597217599,92.15686274509804,0.679218086701411,0.7142857142857143,0.625,0.8333333333333334,0.006346940994262695,0.010184764862060547
38_thyroid,COPOD,99.86462093862815,94.5154279691307,91.69611307420494,0.4314333512658362,0.3380281690140845,0.2033898305084746,1.0,0.004731655120849609,0.015561342239379883
39_vertebral,COPOD,94.53262786596119,69.04779860662214,87.5,0.50709255283711,0.5714285714285714,0.5,0.6666666666666666,0.0018694400787353516,0.004815101623535156
40_vowels,COPOD,98.14372845399099,83.28616134622312,91.76201372997713,0.5284088737592217,0.4857142857142857,0.3269230769230769,0.9444444444444444,0.003708362579345703,0.011934757232666016
41_Waveform,COPOD,99.68338119431557,86.73235066879019,90.60987415295256,0.4435616504258093,0.3576158940397351,0.21774193548387097,1.0,0.009537220001220703,0.03555488586425781
42_WBC,COPOD,95.38461538461537,32.5,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.0020761489868164062,0.0053899288177490234
43_WDBC,COPOD,99.76635514018692,95.0,91.8918918918919,0.5308593470003402,0.47058823529411764,0.3076923076923077,1.0,0.002588987350463867,0.00825643539428711
44_Wilt,COPOD,98.99993518098395,84.37852644560887,91.28630705394191,0.5861031780678462,0.5531914893617021,0.3842364532019704,0.9873417721518988,0.004889488220214844,0.01687932014465332
45_wine,COPOD,96.29629629629629,72.22222222222221,82.05128205128204,0.4915960401250875,0.46153846153846156,0.3,1.0,0.0020668506622314453,0.005371570587158203
46_WPBC,COPOD,95.65217391304348,79.62053819196677,95.0,0.8645299348672512,0.896551724137931,0.8666666666666667,0.9285714285714286,0.002110719680786133,0.006159067153930664
47_yeast,COPOD,99.80804486142564,99.68968165259157,97.75784753363229,0.9518394433232489,0.9693251533742331,0.9813664596273292,0.9575757575757575,0.002602815628051758,0.008368730545043945
