Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,DeepSVDD,99.89512868403833,95.96572292133911,91.26666666666667,0.45922946597078884,0.3761904761904762,0.2316715542521994,1.0,17.81388545036316,17.81686782836914
2_annthyroid,DeepSVDD,99.78906249999999,97.70569687334296,92.4074074074074,0.6733003292241385,0.6611570247933884,0.49382716049382713,1.0,11.41574764251709,11.418566226959229
3_backdoor,DeepSVDD,99.99351460025618,99.70220534560448,90.93333333333334,0.41308983148825656,0.3165829145728643,0.1880597014925373,1.0,16.78960919380188,16.801016807556152
4_breastw,DeepSVDD,98.44858156028369,93.15410128057448,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.644047737121582,0.6453816890716553
5_campaign,DeepSVDD,99.75011994242763,98.01039045832275,90.9,0.6838783546022424,0.684393063583815,0.5202108963093146,1.0,15.06447434425354,15.069213628768921
6_cardio,DeepSVDD,99.70068027210884,96.83213065582875,90.0,0.680570771468932,0.6857142857142857,0.5217391304347826,1.0,2.406822919845581,2.408308982849121
7_Cardiotocography,DeepSVDD,99.34584590392203,96.6183934468559,92.1259842519685,0.8132107090289694,0.8475609756097561,0.7354497354497355,1.0,2.2426939010620117,2.2441508769989014
8_celeba,DeepSVDD,99.86579619775429,95.2769421900894,90.4,0.3888705662179921,0.2871287128712871,0.1676300578034682,1.0,16.031749725341797,16.034717321395874
9_census,DeepSVDD,99.77819150357655,98.22683512969249,90.9,0.5729538558350948,0.534923339011925,0.36596736596736595,0.9936708860759493,16.211117029190063,16.23497176170349
10_cover,DeepSVDD,98.67227833894499,44.07973709126792,89.8,0.2829957245022972,0.16393442622950818,0.08928571428571429,1.0,14.317051887512207,14.319066286087036
11_donors,DeepSVDD,99.33891404876798,94.76145616574802,91.83333333333333,0.5661867743047212,0.5261121856866537,0.35978835978835977,0.9784172661870504,13.899374008178711,13.904047727584839
12_fault,DeepSVDD,99.73205257836199,98.1993145265356,92.62435677530017,0.8578811951124329,0.9090909090909091,0.8333333333333334,1.0,2.278043031692505,2.279653787612915
13_fraud,DeepSVDD,99.98887776665555,91.66666666666666,89.1,0.08999448927022198,0.018018018018018018,0.00909090909090909,1.0,14.203235149383545,14.20589280128479
14_glass,DeepSVDD,96.03174603174602,36.66666666666667,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.363614559173584,0.3646235466003418
15_Hepatitis,DeepSVDD,100.0,100.0,95.83333333333334,0.8451542547285166,0.8571428571428571,1.0,0.75,0.16776490211486816,0.1687757968902588
16_http,DeepSVDD,99.80170482346578,53.79729188939716,90.16666666666666,0.1950366525118428,0.08099688473520249,0.04220779220779221,1.0,14.46581506729126,14.467670679092407
17_InternetAds,DeepSVDD,98.34848484848486,96.62683035057584,93.38983050847457,0.8134395619242905,0.8446215139442231,0.75177304964539,0.9636363636363636,3.054845094680786,3.073371648788452
18_Ionosphere,DeepSVDD,86.49062380405664,75.42564280392531,73.58490566037736,0.4052060398283144,0.5483870967741935,0.7391304347826086,0.4358974358974359,0.3885960578918457,0.3898944854736328
19_landsat,DeepSVDD,91.79966950466503,60.73527650404069,83.11755567063697,0.4363627235521821,0.5369318181818182,0.5815384615384616,0.49868073878627966,8.597358465194702,8.599862337112427
20_letter,DeepSVDD,99.17424879577949,93.59604324169266,90.41666666666667,0.5744015494587801,0.5490196078431373,0.3835616438356164,0.9655172413793104,2.5452842712402344,2.5466806888580322
21_Lymphography,DeepSVDD,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.29810643196105957,0.299285888671875
22_magic.gamma,DeepSVDD,98.88859798467477,98.06090786934288,92.93333333333334,0.8539992641451752,0.9042457091237579,0.8447257383966245,0.9727891156462585,11.02572512626648,11.027723789215088
23_mammography,DeepSVDD,99.4010642537331,80.77080895985041,89.1,0.36593010849878427,0.2618510158013544,0.15064935064935064,1.0,15.738939762115479,15.74071192741394
24_mnist,DeepSVDD,100.0,100.0,90.88119245944762,0.6683080094933811,0.6634304207119741,0.4963680387409201,1.0,12.387709140777588,12.393438577651978
