Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,ECOD,100.0,100.0,93.26666666666667,0.5115631006287925,0.4388888888888889,0.28113879003558717,1.0,0.4919123649597168,0.6217072010040283
2_annthyroid,ECOD,99.88531249999998,98.7751494457915,94.95370370370371,0.7477499383236372,0.7447306791569087,0.5955056179775281,0.99375,0.008040428161621094,0.025651931762695312
3_backdoor,ECOD,100.0,100.0,93.13333333333334,0.46666261628791095,0.3795180722891566,0.2342007434944238,1.0,0.39316678047180176,1.6070218086242676
4_breastw,ECOD,98.7034574468085,95.63948207091634,94.14634146341463,0.8650695018616753,0.9076923076923077,0.8939393939393939,0.921875,0.007125139236450195,0.010605573654174805
5_campaign,ECOD,100.0,100.0,96.66666666666667,0.8484288129246209,0.8554913294797688,0.7474747474747475,1.0,0.09607172012329102,0.4284694194793701
6_cardio,ECOD,99.97619047619047,99.80247289076371,95.63636363636364,0.8241967553595377,0.8333333333333334,0.7142857142857143,1.0,0.006640195846557617,0.01850605010986328
7_Cardiotocography,ECOD,99.80273845439777,98.93681850119496,96.53543307086613,0.9083281940987797,0.9266666666666666,0.8633540372670807,1.0,0.005526542663574219,0.019791126251220703
8_celeba,ECOD,100.0,100.0,91.93333333333334,0.42122478501453003,0.3240223463687151,0.19333333333333333,1.0,0.06211662292480469,0.26856231689453125
9_census,ECOD,100.0,100.0,96.63333333333334,0.767045528248023,0.7577937649880095,0.61003861003861,1.0,0.9986016750335693,3.968163251876831
10_cover,ECOD,99.82716049382717,89.1989254134024,90.63333333333333,0.29552730224423623,0.17595307917888564,0.09646302250803858,1.0,0.027588605880737305,0.0691373348236084
11_donors,ECOD,99.96429280902436,99.36316946296103,93.46666666666667,0.6216911347048745,0.5864978902953587,0.41492537313432837,1.0,0.014554738998413086,0.05219578742980957
12_fault,ECOD,99.87487360970678,99.76176651536679,98.97084048027445,0.9782581371417891,0.9862385321100917,0.9728506787330317,1.0,0.005217552185058594,0.019608259201049805
13_fraud,ECOD,100.0,100.0,89.36666666666667,0.0912419600930242,0.018461538461538463,0.009316770186335404,1.0,0.04569101333618164,0.19948530197143555
14_glass,ECOD,94.44444444444444,29.166666666666664,81.53846153846153,0.3400680204068024,0.25,0.14285714285714285,1.0,0.0031418800354003906,0.00631403923034668
15_Hepatitis,ECOD,98.75,95.0,87.5,0.6969320524371696,0.7272727272727273,0.5714285714285714,1.0,0.0018305778503417969,0.004892587661743164
16_http,ECOD,99.98454842780252,96.2730858884705,89.9,0.19226568486992843,0.0790273556231003,0.04113924050632911,1.0,0.007053375244140625,0.02585744857788086
17_InternetAds,ECOD,100.0,99.99999999999997,100.0,1.0,1.0,1.0,1.0,0.49918460845947266,2.1696889400482178
18_Ionosphere,ECOD,97.28281668580176,94.52452060867088,90.56603773584906,0.7967548013234649,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.010005950927734375,0.014821290969848633
19_landsat,ECOD,98.46516878383157,91.48005218133936,94.76954945624028,0.8507879970062072,0.8784596871239471,0.8075221238938053,0.9630606860158312,0.025827884674072266,0.12027955055236816
20_letter,ECOD,100.0,100.0,94.79166666666666,0.7122273513076612,0.6987951807228916,0.5370370370370371,1.0,0.007362842559814453,0.027126789093017578
21_Lymphography,ECOD,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.002000093460083008,0.005471467971801758
22_magic.gamma,ECOD,99.44171043788972,98.99569365052976,96.0,0.911077375113934,0.9395770392749244,0.9749216300940439,0.9067055393586005,0.010035514831542969,0.042909860610961914
23_mammography,ECOD,99.81246630253874,96.0432868702007,90.56666666666666,0.3920799568920276,0.2907268170426065,0.17008797653958943,1.0,0.010730743408203125,0.039344072341918945
24_mnist,ECOD,100.0,100.0,97.32573432704955,0.8648881819967831,0.8704883227176221,0.7706766917293233,1.0,0.11553525924682617,0.5146658420562744
25_musk,ECOD,100.0,99.99999999999997,92.05658324265505,0.510875337951948,0.44274809160305345,0.28431372549019607,1.0,0.08590292930603027,0.32656407356262207
26_optdigits,ECOD,100.0,100.0,92.01277955271566,0.5191469509764578,0.45414847161572053,0.2937853107344633,1.0,0.054982900619506836,0.21554350852966309
27_PageBlocks,ECOD,99.80902865027116,98.00908514680545,93.63411619283065,0.7390845689790643,0.7418546365914787,0.592,0.9932885906040269,0.00916743278503418,0.03017449378967285
28_pendigits,ECOD,99.80322148740211,96.78172485004607,92.52789907811741,0.47212705448521325,0.3888888888888889,0.2413793103448276,1.0,0.01491999626159668,0.05225062370300293
29_Pima,ECOD,98.47008547008548,97.03339647109519,94.8051948051948,0.8805814094306592,0.9178082191780822,0.9436619718309859,0.8933333333333333,0.002079010009765625,0.005681037902832031
30_satellite,ECOD,98.96123006164491,95.6824255656802,96.47850854479543,0.917545776372856,0.9428571428571428,0.9318936877076412,0.9540816326530612,0.021050453186035156,0.1082315444946289
31_satimage-2,ECOD,98.61314976970188,35.66095201688713,90.29293509477311,0.3286453053207241,0.21395348837209302,0.11979166666666667,1.0,0.03591346740722656,0.13513946533203125
32_shuttle,ECOD,99.9188615531153,99.05368166638993,92.43333333333334,0.6386738968800381,0.6146010186757216,0.44362745098039214,1.0,0.014098644256591797,0.04984474182128906
33_skin,ECOD,92.09387104123945,79.50275777494558,87.63333333333333,0.6099266510705272,0.6842553191489362,0.7335766423357665,0.6411483253588517,0.0056803226470947266,0.020174503326416016
34_smtp,ECOD,100.0,100.0,89.63333333333333,0.053598063919761636,0.006389776357827476,0.003205128205128205,1.0,0.006620883941650391,0.023140430450439453
35_SpamBase,ECOD,100.0,99.99999999999999,99.92082343626286,0.9983297317699021,0.998972250770812,0.997946611909651,1.0,0.017538070678710938,0.09858202934265137
36_speech,ECOD,100.0,100.0,91.77215189873418,0.4223107161623225,0.32592592592592595,0.19469026548672566,1.0,0.2665579319000244,1.110640525817871
37_Stamps,ECOD,98.24074074074073,85.7019832019832,90.19607843137256,0.6963106238227914,0.7058823529411765,0.5454545454545454,1.0,0.006521701812744141,0.010139942169189453
38_thyroid,ECOD,99.89470517448858,94.67382452711419,91.34275618374559,0.42346401629396546,0.3287671232876712,0.19672131147540983,1.0,0.004803895950317383,0.01568460464477539
39_vertebral,ECOD,90.12345679012346,49.74220224220225,81.94444444444444,0.4606822127204283,0.5185185185185185,0.3888888888888889,0.7777777777777778,0.0020127296447753906,0.004940509796142578
40_vowels,ECOD,99.35030495889686,90.77405065408162,91.30434782608695,0.5406269800312178,0.4864864864864865,0.32142857142857145,1.0,0.003282785415649414,0.011809349060058594
41_Waveform,ECOD,99.88955157941241,95.651504719332,91.19070667957405,0.4561970106265858,0.3724137931034483,0.2288135593220339,1.0,0.009537220001220703,0.0357358455657959
42_WBC,ECOD,96.9230769230769,45.0,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.002054452896118164,0.0050048828125
43_WDBC,ECOD,100.0,100.0,91.8918918918919,0.5308593470003402,0.47058823529411764,0.3076923076923077,1.0,0.002773761749267578,0.008761882781982422
44_Wilt,ECOD,98.59527932365985,85.09966013167562,91.28630705394191,0.5861031780678462,0.5531914893617021,0.3842364532019704,0.9873417721518988,0.005341291427612305,0.019066572189331055
45_wine,ECOD,93.51851851851852,66.66666666666666,84.61538461538461,0.36647045615996826,0.4,0.2857142857142857,0.6666666666666666,0.001969575881958008,0.0051686763763427734
46_WPBC,ECOD,96.11801242236024,86.35148425092034,91.66666666666666,0.7899464730200436,0.8387096774193549,0.7647058823529411,0.9285714285714286,0.002321004867553711,0.007013082504272461
47_yeast,ECOD,99.42629138358676,98.93610411541572,96.18834080717488,0.9180431274578562,0.9473684210526315,0.9683544303797469,0.9272727272727272,0.0027964115142822266,0.008785009384155273
