Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,99.99826658981881,99.93766633708638,91.23333333333333,0.45847135080301177,0.3752969121140142,0.2309941520467836,1.0,0.26787233352661133,0.3150317668914795
2_annthyroid,IForest,99.88874999999999,98.5109592613787,91.85185185185185,0.6590035768383312,0.6451612903225806,0.47619047619047616,1.0,0.23907065391540527,0.2890505790710449
3_backdoor,IForest,100.0,100.0,90.0,0.39474810500206536,0.29577464788732394,0.17355371900826447,1.0,0.33673524856567383,0.40926694869995117
4_breastw,IForest,98.8142730496454,95.65165103929357,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.1694028377532959,0.19094610214233398
5_campaign,IForest,100.0,100.0,91.06666666666666,0.6876090782501388,0.6883720930232559,0.524822695035461,1.0,0.30293750762939453,0.36180567741394043
6_cardio,IForest,99.98979591836734,99.91665123028002,91.27272727272727,0.7079080355865954,0.7142857142857143,0.5555555555555556,1.0,0.21250414848327637,0.24328255653381348
7_Cardiotocography,IForest,99.91007194244604,99.63733350528317,89.60629921259843,0.7666971681181004,0.8081395348837209,0.6780487804878049,1.0,0.1819136142730713,0.20355653762817383
8_celeba,IForest,100.0,100.0,90.96666666666667,0.4000660125420576,0.2997416020671835,0.1762917933130699,1.0,0.25087761878967285,0.3030562400817871
9_census,IForest,100.0,100.0,89.76666666666667,0.5505274927794332,0.507223113964687,0.33978494623655914,1.0,0.41248130798339844,0.48691487312316895
10_cover,IForest,99.78002244668912,86.2159374642248,89.16666666666667,0.27433490233639674,0.15584415584415584,0.08450704225352113,1.0,0.27655577659606934,0.33328866958618164
11_donors,IForest,99.93663230897282,98.87366459491815,90.83333333333333,0.5508870470041985,0.5027124773960217,0.3357487922705314,1.0,0.27324628829956055,0.3326756954193115
12_fault,IForest,99.8938321536906,99.77162492202147,95.19725557461408,0.9041315874126448,0.9388646288209607,0.8847736625514403,1.0,0.1975855827331543,0.22785496711730957
13_fraud,IForest,100.0,100.0,89.13333333333333,0.09014803215342965,0.018072289156626505,0.00911854103343465,1.0,0.2592895030975342,0.31069231033325195
14_glass,IForest,93.65079365079364,26.785714285714285,76.92307692307693,0.2993924754260479,0.21052631578947367,0.11764705882352941,1.0,0.16060137748718262,0.17829680442810059
15_Hepatitis,IForest,97.50000000000001,91.66666666666666,87.5,0.5964809080634605,0.6666666666666666,0.6,0.75,0.17049169540405273,0.18698620796203613
16_http,IForest,99.99484947593417,98.97435897435895,89.43333333333334,0.1876517960988265,0.07580174927113703,0.03939393939393939,1.0,0.27103567123413086,0.3286008834838867
17_InternetAds,IForest,100.0,99.99999999999997,92.54237288135593,0.8054871344779653,0.8333333333333334,0.7142857142857143,1.0,0.2060868740081787,0.23195576667785645
18_Ionosphere,IForest,99.34940681209338,98.73099777305416,93.39622641509435,0.8713479454561286,0.9176470588235294,0.8478260869565217,1.0,0.17560219764709473,0.20244860649108887
19_landsat,IForest,99.6467236079754,98.1745441688594,91.97307094769549,0.7992843711746732,0.8302300109529025,0.7097378277153558,1.0,0.23503351211547852,0.2826111316680908
20_letter,IForest,100.0,100.0,90.0,0.5801200670493948,0.5471698113207547,0.37662337662337664,1.0,0.21539306640625,0.24548029899597168
