Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,100.0,100.0,92.03333333333333,0.4775992035902982,0.3979848866498741,0.24842767295597484,1.0,1.5811173915863037,1.7378566265106201
2_annthyroid,KNN,99.90187499999999,98.63957998043058,91.85185185185185,0.6590035768383312,0.6451612903225806,0.47619047619047616,1.0,0.04421806335449219,0.08205604553222656
3_backdoor,KNN,100.0,100.0,90.60000000000001,0.4062945685802204,0.3088235294117647,0.1826086956521739,1.0,0.40184831619262695,0.574244499206543
4_breastw,KNN,98.82535460992908,96.51777231433623,94.6341463414634,0.8869956196703683,0.920863309352518,0.8533333333333334,1.0,0.004151105880737305,0.007802724838256836
5_campaign,KNN,100.0,100.0,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.13728976249694824,0.23665428161621094
6_cardio,KNN,99.93877551020408,99.42289127504523,92.18181818181819,0.7289751675658642,0.7361963190184049,0.5825242718446602,1.0,0.01940464973449707,0.035965919494628906
7_Cardiotocography,KNN,99.50394523091205,96.81489871189612,90.5511811023622,0.7835798659911909,0.8224852071005917,0.6984924623115578,1.0,0.017545461654663086,0.034568071365356445
8_celeba,KNN,100.0,100.0,90.56666666666666,0.3920799568920276,0.2907268170426065,0.17008797653958943,1.0,0.12900853157043457,0.22870492935180664
9_census,KNN,100.0,100.0,90.10000000000001,0.557641005592587,0.5154975530179445,0.34725274725274724,1.0,0.9678268432617188,1.3046462535858154
10_cover,KNN,98.54096520763187,85.31695630616024,90.66666666666666,0.27607008114936576,0.16666666666666666,0.0915032679738562,0.9333333333333333,0.10369634628295898,0.17287921905517578
11_donors,KNN,99.9977368681776,99.95317288690408,92.4,0.590392550059237,0.549407114624506,0.3787465940054496,1.0,0.16652679443359375,0.33156681060791016
12_fault,KNN,99.72826086956522,97.69543855754334,93.99656946826758,0.8821601451772408,0.9247311827956989,0.86,1.0,0.013211250305175781,0.030878782272338867
13_fraud,KNN,100.0,100.0,89.33333333333333,0.09108359851539101,0.018404907975460124,0.009287925696594427,1.0,0.09687018394470215,0.1673576831817627
14_glass,KNN,98.41269841269842,75.0,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.002017498016357422,0.0036153793334960938
15_Hepatitis,KNN,96.24999999999999,80.41666666666667,87.5,0.4662524041201569,0.4,1.0,0.25,0.003174304962158203,0.007628679275512695
16_http,KNN,99.94334423527593,89.85892877861204,90.26666666666667,0.19610268046419332,0.08176100628930817,0.04262295081967213,1.0,0.07808613777160645,0.14067721366882324
17_InternetAds,KNN,100.0,99.99999999999997,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.25260090827941895,0.3257002830505371
18_Ionosphere,KNN,100.0,100.0,96.22641509433963,0.9234873463461784,0.9512195121951219,0.9069767441860465,1.0,0.005030632019042969,0.010814428329467773
19_landsat,KNN,100.0,100.0,92.594510616261,0.8118840165186096,0.8412874583795783,0.7260536398467433,1.0,0.042832374572753906,0.07200479507446289
20_letter,KNN,100.0,100.0,89.16666666666667,0.5628007485765644,0.5272727272727272,0.35802469135802467,1.0,0.01927495002746582,0.032680511474609375
21_Lymphography,KNN,100.0,100.0,86.66666666666667,0.4638062947716077,0.4,0.25,1.0,0.003278970718383789,0.007657289505004883
22_magic.gamma,KNN,99.98693396326422,99.97492716028414,94.06666666666666,0.8806450229310252,0.9203935599284436,0.8525269262634632,1.0,0.2078533172607422,0.5964686870574951
23_mammography,KNN,99.95018636161184,98.39477698201127,89.16666666666667,0.367024568644536,0.26303854875283444,0.1514360313315927,1.0,0.14222025871276855,0.27689480781555176
24_mnist,KNN,100.0,100.0,91.75800087680842,0.6887600925752453,0.68561872909699,0.5216284987277354,1.0,0.12108039855957031,0.18673419952392578
25_musk,KNN,100.0,99.99999999999997,90.75081610446138,0.47967767941454553,0.40559440559440557,0.2543859649122807,1.0,0.0669248104095459,0.09064221382141113
26_optdigits,KNN,100.0,100.0,90.03194888178913,0.47352233022747525,0.4,0.25,1.0,0.06387996673583984,0.0915367603302002
27_PageBlocks,KNN,99.90314371736241,98.37597780993606,90.97651421508036,0.6744521608332195,0.6711711711711712,0.5050847457627119,1.0,0.038297414779663086,0.06719446182250977
28_pendigits,KNN,100.0,100.0,91.46045608927706,0.44578877755595303,0.35766423357664234,0.21777777777777776,1.0,0.06013178825378418,0.09640264511108398
29_Pima,KNN,98.02564102564102,95.33092994386327,93.07359307359307,0.8488173802822715,0.8987341772151899,0.8554216867469879,0.9466666666666667,0.002987384796142578,0.006016254425048828
30_satellite,KNN,100.0,100.0,93.7856033143449,0.869655516913949,0.9074074074074074,0.8305084745762712,1.0,0.03245091438293457,0.07046008110046387
31_satimage-2,KNN,100.0,99.99999999999999,91.38426191843769,0.3483391725462255,0.23469387755102042,0.1329479768786127,1.0,0.05217456817626953,0.07892012596130371
32_shuttle,KNN,99.96550636074467,99.36733746120167,90.46666666666667,0.5901343632087543,0.558641975308642,0.3875802997858672,1.0,0.15106606483459473,0.2725679874420166
33_skin,KNN,99.15167376741665,97.10477992947214,92.10000000000001,0.8038079678328433,0.8391038696537678,0.7304964539007093,0.9856459330143541,0.02880549430847168,0.05581545829772949
34_smtp,KNN,100.0,100.0,89.56666666666668,0.05340721692245951,0.006349206349206349,0.0031847133757961785,1.0,0.04581880569458008,0.07446718215942383
35_SpamBase,KNN,99.452627230405,98.99723949714898,94.22011084718923,0.8867021947918334,0.9298751200768491,0.872072072072072,0.9958847736625515,0.018677473068237305,0.032820940017700195
36_speech,KNN,100.0,100.0,88.51717902350813,0.36104350278970454,0.2573099415204678,0.1476510067114094,1.0,0.20061659812927246,0.2651355266571045
37_Stamps,KNN,98.6111111111111,89.70119613501967,83.33333333333334,0.5793377114499331,0.5853658536585366,0.41379310344827586,1.0,0.003300905227661133,0.0057485103607177734
38_thyroid,KNN,99.86086040914562,93.72396464383291,90.98939929328623,0.41586221121610945,0.32,0.19047619047619047,1.0,0.03117680549621582,0.0560762882232666
39_vertebral,KNN,98.58906525573192,84.12257495590829,90.27777777777779,0.7071067811865476,0.72,0.5625,1.0,0.0019500255584716797,0.0036695003509521484
40_vowels,KNN,99.96022275258551,99.07216297825174,89.93135011441647,0.5097403703921078,0.45,0.2903225806451613,1.0,0.02657294273376465,0.046364784240722656
41_Waveform,KNN,100.0,100.0,90.80348499515974,0.4476743017148354,0.3624161073825503,0.22131147540983606,1.0,0.018970966339111328,0.02970409393310547
42_WBC,KNN,98.46153846153847,58.33333333333333,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.0020089149475097656,0.003950595855712891
43_WDBC,KNN,99.29906542056075,89.28571428571428,90.09009009009009,0.48913427241259444,0.42105263157894735,0.26666666666666666,1.0,0.00434422492980957,0.009320735931396484
44_Wilt,KNN,99.8361004879946,97.11620286423873,89.55739972337483,0.5527543357424446,0.511326860841424,0.34347826086956523,1.0,0.026799678802490234,0.04873013496398926
45_wine,KNN,75.00000000000001,22.12166918049271,89.74358974358975,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0017325878143310547,0.0032520294189453125
46_WPBC,KNN,100.0,99.99999999999999,91.66666666666666,0.8104014882034583,0.8484848484848485,0.7368421052631579,1.0,0.003481149673461914,0.008268356323242188
47_yeast,KNN,99.90941442898738,99.84011083365884,94.61883408071749,0.8935615478149105,0.9322033898305084,0.873015873015873,1.0,0.013331890106201172,0.028034210205078125
