Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,LUNAR,100.0,100.0,95.46666666666667,0.5918901830896052,0.5374149659863946,0.3674418604651163,1.0,35.69846153259277,35.869709491729736
2_annthyroid,LUNAR,99.91875,98.9656662066166,90.97222222222221,0.6377778323054837,0.6213592233009708,0.4507042253521127,1.0,24.20548725128174,24.402902603149414
3_backdoor,LUNAR,100.0,99.99999999999997,86.6,0.34196432945969846,0.23863636363636365,0.13548387096774195,1.0,37.13668632507324,37.58645415306091
4_breastw,LUNAR,98.13829787234043,90.9966499190211,94.6341463414634,0.8869956196703683,0.920863309352518,0.8533333333333334,1.0,8.761087894439697,8.783893585205078
5_campaign,LUNAR,100.0,100.0,92.06666666666666,0.7109980661832693,0.7132530120481928,0.5543071161048689,1.0,29.508047342300415,29.727731466293335
6_cardio,LUNAR,100.0,100.0,97.0909090909091,0.8738964192997225,0.8823529411764706,0.7894736842105263,1.0,11.59294319152832,11.615821123123169
7_Cardiotocography,LUNAR,99.9970990949176,99.98968553831138,76.85039370078741,0.5847850465281286,0.6541176470588236,0.486013986013986,1.0,11.608941555023193,11.624696969985962
8_celeba,LUNAR,100.0,100.0,94.83333333333334,0.5078919685157152,0.4280442804428044,0.27230046948356806,1.0,36.67846918106079,36.896872997283936
9_census,LUNAR,100.0,100.0,87.73333333333333,0.5113561485208382,0.4619883040935672,0.30038022813688214,1.0,35.10687279701233,35.98739790916443
10_cover,LUNAR,99.89337822671156,95.5304831790982,72.96666666666667,0.16103145831938268,0.06888633754305395,0.0356718192627824,1.0,37.37105107307434,38.352322816848755
11_donors,LUNAR,99.98063764996392,99.60233459373572,96.66666666666667,0.7491740470016294,0.7354497354497355,0.5815899581589958,1.0,34.485501527786255,35.07674431800842
12_fault,LUNAR,100.0,99.99999999999999,97.42710120068611,0.9469319176745364,0.9662921348314607,0.9347826086956522,1.0,8.88762640953064,8.91090726852417
13_fraud,LUNAR,100.0,100.0,82.43333333333334,0.06830111566359262,0.01125703564727955,0.005660377358490566,1.0,33.11862230300903,33.251914262771606
14_glass,LUNAR,98.41269841269842,58.33333333333333,93.84615384615384,0.5587211398983505,0.5,0.3333333333333333,1.0,4.611266851425171,4.617007255554199
15_Hepatitis,LUNAR,97.50000000000001,91.66666666666666,91.66666666666666,0.7745966692414834,0.8,0.6666666666666666,1.0,4.53355598449707,4.561005115509033
16_http,LUNAR,99.83260796786072,68.97366273964738,87.43333333333332,0.1706640371965723,0.06451612903225806,0.03333333333333333,1.0,35.4309766292572,35.52842855453491
17_InternetAds,LUNAR,100.0,99.99999999999997,91.52542372881356,0.7847836750765568,0.8148148148148148,0.6875,1.0,9.56064248085022,9.78259539604187
18_Ionosphere,LUNAR,100.0,100.0,98.11320754716981,0.9606377568525973,0.975,0.9512195121951219,1.0,6.3992674350738525,6.419585943222046
19_landsat,LUNAR,100.0,100.0,94.45882962195753,0.8520979793672874,0.8763005780346821,0.779835390946502,1.0,19.229519844055176,19.320451021194458
20_letter,LUNAR,100.0,100.0,77.70833333333333,0.40329282461612526,0.3515151515151515,0.21323529411764705,1.0,7.705264329910278,7.734145641326904
21_Lymphography,LUNAR,100.0,100.0,84.44444444444444,0.4313310928137537,0.36363636363636365,0.2222222222222222,1.0,6.390796184539795,6.411048650741577
22_magic.gamma,LUNAR,99.97564293529254,99.95249513605215,94.76666666666667,0.893594880693319,0.9291196388261851,0.8676222596964587,1.0,25.368260622024536,26.208690404891968
23_mammography,LUNAR,99.92733069223375,97.6088827469227,94.23333333333333,0.4861252175523265,0.4013840830449827,0.2510822510822511,1.0,36.786654233932495,37.06424927711487
24_mnist,LUNAR,100.0,100.0,54.27444103463394,0.2858947129503099,0.28217481073640743,0.1642628205128205,1.0,23.738885164260864,23.89101815223694
25_musk,LUNAR,100.0,99.99999999999997,96.08269858541894,0.6542989941342958,0.6170212765957447,0.4461538461538462,1.0,14.519076585769653,14.585736989974976
26_optdigits,LUNAR,100.0,100.0,92.46006389776358,0.5310615404864433,0.46846846846846846,0.3058823529411765,1.0,20.056840181350708,20.152946949005127
27_PageBlocks,LUNAR,99.88167086224935,97.27065467702096,95.11742892459827,0.7863614465999366,0.7904509283819628,0.6535087719298246,1.0,21.860557556152344,22.090331554412842
28_pendigits,LUNAR,100.0,100.0,95.34206695778748,0.5672804319765155,0.5051546391752577,0.33793103448275863,1.0,24.16804313659668,24.26780414581299
29_Pima,LUNAR,99.64102564102565,99.30039454543757,92.64069264069265,0.8522790614946535,0.8982035928143712,0.8152173913043478,1.0,7.59372353553772,7.620300531387329
30_satellite,LUNAR,100.0,100.0,95.5981356809943,0.9046559525374768,0.9325931800158604,0.8736998514115899,1.0,20.3452787399292,20.45478057861328
31_satimage-2,LUNAR,100.0,99.99999999999999,93.22228604250431,0.38976494200026135,0.2804878048780488,0.16312056737588654,1.0,24.182384252548218,24.28146266937256
32_shuttle,LUNAR,99.96021472290437,98.7715204605229,85.26666666666667,0.4949511264968641,0.4502487562189055,0.29052969502407705,1.0,32.47832179069519,32.92522883415222
33_skin,LUNAR,98.50612049028445,94.58273449585487,90.10000000000001,0.7659543651817006,0.8065146579804561,0.6817180616740088,0.9872408293460925,27.60858416557312,27.660901069641113
34_smtp,LUNAR,99.56652217405801,7.142857142857142,87.53333333333333,0.04831264193207425,0.005319148936170213,0.0026666666666666666,1.0,30.86211323738098,30.954644441604614
35_SpamBase,LUNAR,100.0,99.99999999999999,83.05621536025336,0.7092719790105889,0.8195615514333895,0.6942857142857143,1.0,9.611803770065308,9.65693473815918
36_speech,LUNAR,100.0,100.0,84.99095840867993,0.31480318327795126,0.20952380952380953,0.11702127659574468,1.0,13.750471353530884,13.883939504623413
37_Stamps,LUNAR,98.79629629629629,81.28276815776815,82.35294117647058,0.565685424949238,0.5714285714285714,0.4,1.0,5.26080584526062,5.268057107925415
38_thyroid,LUNAR,99.43968110709989,73.04886572349808,95.49469964664311,0.5525131293668447,0.48484848484848486,0.32,1.0,10.783880710601807,10.852824926376343
39_vertebral,LUNAR,99.47089947089948,96.26543209876543,80.55555555555556,0.5516772843673704,0.5625,0.391304347826087,1.0,3.4128029346466064,3.4169154167175293
40_vowels,LUNAR,100.0,100.0,60.86956521739131,0.237423760500572,0.17391304347826086,0.09523809523809523,1.0,7.080542325973511,7.125516414642334
41_Waveform,LUNAR,100.0,100.0,87.12487899322362,0.38267493952953907,0.2887700534759358,0.16875,1.0,9.856524229049683,9.882940292358398
42_WBC,LUNAR,96.92307692307692,66.66666666666666,82.08955223880598,0.34129681581215565,0.25,0.14285714285714285,1.0,2.998575210571289,3.00624942779541
43_WDBC,LUNAR,100.0,100.0,88.28828828828829,0.45465039520291173,0.38095238095238093,0.23529411764705882,1.0,4.685257196426392,4.704763650894165
44_Wilt,LUNAR,99.64627336957025,95.11437167333887,82.50345781466113,0.4403549087794786,0.3844282238442822,0.23795180722891565,1.0,12.985251188278198,13.047211170196533
45_wine,LUNAR,100.0,100.0,84.61538461538461,0.5270462766947298,0.5,0.3333333333333333,1.0,2.801762819290161,2.806290864944458
46_WPBC,LUNAR,100.0,99.99999999999999,95.0,0.8773944220628529,0.9032258064516129,0.8235294117647058,1.0,3.3181121349334717,3.327113628387451
47_yeast,LUNAR,99.803731262806,99.56709877871916,92.60089686098655,0.8575946388883616,0.9090909090909091,0.8333333333333334,1.0,5.34991192817688,5.377320289611816
