Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,OCSVM,99.89122851113066,96.51362324574802,91.13333333333333,0.45621596841715056,0.37264150943396224,0.2289855072463768,1.0,5.541027069091797,8.232112646102905
2_annthyroid,OCSVM,95.113125,74.6099866404025,88.33333333333333,0.5091267032871091,0.5153846153846153,0.37222222222222223,0.8375,1.895399570465088,2.9667348861694336
3_backdoor,OCSVM,99.9897314504056,99.4742350110701,91.3,0.420909619160677,0.32558139534883723,0.19444444444444445,1.0,12.613587141036987,18.33220148086548
4_breastw,OCSVM,99.01374113475178,97.21374042656987,95.60975609756098,0.9059536231819242,0.9343065693430657,0.8767123287671232,1.0,0.007460355758666992,0.012776613235473633
5_campaign,OCSVM,100.0,100.0,89.96666666666667,0.6637923327883931,0.6629339305711086,0.49581239530988275,1.0,5.001892566680908,7.8078882694244385
6_cardio,OCSVM,99.97278911564625,99.76774669941845,92.0,0.7246500806620072,0.7317073170731707,0.5769230769230769,1.0,0.1476607322692871,0.24143719673156738
7_Cardiotocography,OCSVM,91.33064516129032,61.77777777777778,21.88976377952756,0.0,0.35917312661498707,0.2188976377952756,1.0,0.23030781745910645,0.42399048805236816
8_celeba,OCSVM,100.0,100.0,90.2,0.38510603209312955,0.28292682926829266,0.16477272727272727,1.0,5.522722959518433,8.526221752166748
9_census,OCSVM,100.0,100.0,90.4,0.5642343522981066,0.5231788079470199,0.3542600896860987,1.0,21.22083306312561,30.35557532310486
10_cover,OCSVM,50.0,1.0,1.0,0.0,0.019801980198019802,0.01,1.0,12.001484632492065,18.55635690689087
11_donors,OCSVM,99.8893579997938,98.40508048571294,91.73333333333333,0.5727468292271118,0.5285171102661597,0.35917312661498707,1.0,4.119069814682007,6.677891969680786
12_fault,OCSVM,99.99873609706775,99.99784668389321,93.65351629502572,0.8760099662718407,0.9207708779443254,0.8531746031746031,1.0,0.09531760215759277,0.1759340763092041
13_fraud,OCSVM,100.0,100.0,89.83333333333333,0.09353613605986057,0.01929260450160772,0.00974025974025974,1.0,5.76483416557312,8.563758373260498
14_glass,OCSVM,91.26984126984128,25.757575757575758,84.61538461538461,0.3744484480027127,0.2857142857142857,0.16666666666666666,1.0,0.002986431121826172,0.00455927848815918
15_Hepatitis,OCSVM,87.5,44.44444444444444,16.666666666666664,0.0,0.2857142857142857,0.16666666666666666,1.0,0.0013897418975830078,0.00203704833984375
16_http,OCSVM,99.86093585022276,82.46837538113336,89.5,0.1882935180870432,0.07624633431085044,0.039634146341463415,1.0,4.131007432937622,6.21673583984375
17_InternetAds,OCSVM,100.0,99.99999999999997,91.86440677966101,0.7915695032535125,0.8208955223880597,0.6962025316455697,1.0,1.5158793926239014,2.460886240005493
18_Ionosphere,OCSVM,98.3543819364715,97.07764227897518,91.50943396226415,0.8218140055997474,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.004225254058837891,0.0069119930267333984
19_landsat,OCSVM,99.98350923482849,99.92283225619796,91.92128430864837,0.7982511716482883,0.8293216630196937,0.708411214953271,1.0,1.3568594455718994,2.2843759059906006
20_letter,OCSVM,100.0,100.0,41.25,0.1869277961777757,0.17058823529411765,0.0932475884244373,1.0,0.1483154296875,0.22665667533874512
21_Lymphography,OCSVM,100.0,100.0,93.33333333333333,0.6099942813304187,0.5714285714285714,0.4,1.0,0.002144336700439453,0.0031926631927490234
22_magic.gamma,OCSVM,99.966472056678,99.93609960001125,93.73333333333333,0.8745703662393983,0.9162956366874443,0.8455217748562038,1.0,1.7665562629699707,3.259012460708618
23_mammography,OCSVM,99.6700579010291,92.44414076714237,88.73333333333333,0.36005227516917615,0.2555066079295154,0.14646464646464646,1.0,4.102130174636841,6.378567695617676
24_mnist,OCSVM,50.0,8.987286277948268,8.987286277948268,0.0,0.16492357200321803,0.08987286277948268,1.0,8.57712721824646,13.182239294052124
25_musk,OCSVM,50.0,3.1556039173014145,3.1556039173014145,0.0,0.06118143459915612,0.031556039173014146,1.0,1.655165195465088,2.6654906272888184
26_optdigits,OCSVM,100.0,100.0,3.3226837060702876,0.0,0.06431663574520717,0.033226837060702875,1.0,2.767505168914795,4.589231967926025
