Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,PCA,99.98786612873171,99.51871466895581,91.3,0.4599907801382454,0.37708830548926014,0.2323529411764706,1.0,0.013503551483154297,0.019048213958740234
2_annthyroid,PCA,99.82375000000002,97.99682397194644,91.80555555555556,0.657844695894794,0.6438631790744467,0.47477744807121663,1.0,0.0035691261291503906,0.0048427581787109375
3_backdoor,PCA,100.0,100.0,90.76666666666667,0.4096563217977041,0.31265508684863524,0.18529411764705883,1.0,1.9374916553497314,2.199545383453369
4_breastw,PCA,98.48182624113475,94.12344252725151,95.1219512195122,0.8963966372016942,0.927536231884058,0.8648648648648649,1.0,0.0018777847290039062,0.00250244140625
5_campaign,PCA,100.0,100.0,91.5,0.6975271317200532,0.6989374262101535,0.5372050816696915,1.0,0.03217935562133789,0.05893111228942871
6_cardio,PCA,99.77551020408164,97.82901730566135,91.45454545454545,0.7120124038034316,0.718562874251497,0.5607476635514018,1.0,0.0027196407318115234,0.003887176513671875
7_Cardiotocography,PCA,99.58081921559526,97.96523152809402,90.07874015748033,0.7750591100566221,0.8152492668621701,0.6881188118811881,1.0,0.003043651580810547,0.004476308822631836
8_celeba,PCA,100.0,100.0,90.3,0.3869766966019639,0.28501228501228504,0.166189111747851,1.0,0.021663427352905273,0.03334450721740723
9_census,PCA,100.0,100.0,89.7,0.5491306203437528,0.5056,0.33832976445396146,1.0,3.32338547706604,5.441592216491699
10_cover,PCA,99.70482603815937,78.36470252741812,89.56666666666668,0.2797248952480405,0.16085790884718498,0.08746355685131195,1.0,0.0059108734130859375,0.00811314582824707
11_donors,PCA,99.8702471088491,97.81765980449075,90.66666666666666,0.5470606309247782,0.4982078853046595,0.3317422434367542,1.0,0.005333423614501953,0.0075531005859375
12_fault,PCA,99.72826086956522,97.69543855754334,93.82504288164665,0.8790781827640499,0.9227467811158798,0.8565737051792829,1.0,0.0025937557220458984,0.003950595855712891
13_fraud,PCA,100.0,100.0,89.93333333333334,0.09404738424993407,0.01948051948051948,0.009836065573770493,1.0,0.013255596160888672,0.017720937728881836
14_glass,PCA,96.03174603174604,64.28571428571428,81.53846153846153,0.3400680204068024,0.25,0.14285714285714285,1.0,0.0013353824615478516,0.0017445087432861328
15_Hepatitis,PCA,100.0,100.0,83.33333333333334,0.6324555320336759,0.6666666666666666,0.5,1.0,0.0019392967224121094,0.0023615360260009766
16_http,PCA,99.81973165769617,61.236437016980005,89.46666666666667,0.1879719556779936,0.07602339181286549,0.03951367781155015,1.0,0.0030434131622314453,0.004127025604248047
17_InternetAds,PCA,100.0,99.99999999999997,91.18644067796609,0.7781083953390552,0.8088235294117647,0.6790123456790124,1.0,5.906399726867676,13.222312688827515
18_Ionosphere,PCA,98.1630309988519,96.0097237200311,91.50943396226415,0.8318766282687997,0.8941176470588236,0.8260869565217391,0.9743589743589743,0.0034875869750976562,0.004278659820556641
19_landsat,PCA,98.39733563637353,91.13194511019901,92.3873640600725,0.8076422621904213,0.8375690607734807,0.720532319391635,1.0,0.008836984634399414,0.013387680053710938
20_letter,PCA,100.0,100.0,91.45833333333333,0.6136964857512031,0.5858585858585859,0.4142857142857143,1.0,0.003542661666870117,0.0050182342529296875
21_Lymphography,PCA,100.0,100.0,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.0023813247680664062,0.003050565719604492
