Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,SFF_OD,99.60629921259843,77.45098039215686,99.23333333333333,0.8765907263532312,0.8729281767955801,0.7745098039215687,1.0,1.3559000492095947,0.025906801223754883
2_annthyroid,SFF_OD,99.75,94.11764705882352,99.53703703703704,0.967714104596649,0.9696969696969697,0.9411764705882353,1.0,0.0541689395904541,0.028072118759155273
3_backdoor,SFF_OD,99.30200885257065,60.57692307692307,98.63333333333333,0.772860142302597,0.7544910179640718,0.6057692307692307,1.0,0.30230712890625,0.05706524848937988
4_breastw,SFF_OD,98.81427304964538,95.13966078495379,96.58536585365853,0.9202090025420182,0.9448818897637795,0.9523809523809523,0.9375,0.016796350479125977,0.01480245590209961
5_campaign,SFF_OD,99.50073964497041,91.64086687306502,99.1,0.952500991277488,0.9563812600969306,0.9164086687306502,1.0,0.08899068832397461,0.036788225173950195
6_cardio,SFF_OD,99.48979591836734,92.3076923076923,99.0909090909091,0.9558544715596763,0.96,0.9230769230769231,1.0,0.012722253799438477,0.006123065948486328
7_Cardiotocography,SFF_OD,99.39516129032259,95.86206896551724,99.05511811023622,0.9731518235276292,0.9788732394366197,0.9586206896551724,1.0,0.013828516006469727,0.0059468746185302734
8_celeba,SFF_OD,99.4901427600272,65.9090909090909,99.0,0.8076942884872369,0.7945205479452054,0.6590909090909091,1.0,0.09304547309875488,0.03329181671142578
9_census,SFF_OD,96.65728360309642,45.40229885057471,93.66666666666667,0.6508990603317542,0.6245059288537549,0.4540229885057471,1.0,0.8792321681976318,0.12192440032958984
10_cover,SFF_OD,99.52861952861952,51.724137931034484,99.06666666666666,0.7157967795445918,0.6818181818181818,0.5172413793103449,1.0,0.2618141174316406,0.10234975814819336
11_donors,SFF_OD,99.61551904928348,86.33540372670807,99.26666666666667,0.9255890954662402,0.9266666666666666,0.8633540372670807,1.0,0.08747363090515137,0.0372622013092041
12_fault,SFF_OD,98.5054347826087,95.13274336283186,98.11320754716981,0.9606721687315076,0.9750566893424036,0.9513274336283186,1.0,0.010573387145996094,0.005659341812133789
13_fraud,SFF_OD,99.28261594928262,6.521739130434782,98.56666666666666,0.25353830672568034,0.12244897959183673,0.06521739130434782,1.0,0.06774282455444336,0.03040337562561035
14_glass,SFF_OD,96.03174603174604,28.57142857142857,92.3076923076923,0.5128728387747147,0.4444444444444444,0.2857142857142857,1.0,0.017200946807861328,0.015026092529296875
15_Hepatitis,SFF_OD,97.5,80.0,95.83333333333334,0.8717797887081347,0.8888888888888888,0.8,1.0,0.003467082977294922,0.0018672943115234375
16_http,SFF_OD,99.43086709072648,27.659574468085108,98.86666666666667,0.5229219347699935,0.43333333333333335,0.2765957446808511,1.0,0.03380703926086426,0.015291929244995117
17_InternetAds,SFF_OD,50.0,18.64406779661017,18.64406779661017,0.0,0.3142857142857143,0.1864406779661017,1.0,3.1225438117980957,0.04285597801208496
18_Ionosphere,SFF_OD,97.01492537313433,90.69767441860465,96.22641509433963,0.9234873463461784,0.9512195121951219,0.9069767441860465,1.0,0.0047855377197265625,0.0017287731170654297
19_landsat,SFF_OD,99.45231958762886,95.70707070707071,99.11962713619886,0.972927196392603,0.9780645161290322,0.9570707070707071,1.0,0.038579702377319336,0.010728597640991211
20_letter,SFF_OD,99.77827050997783,93.54838709677419,99.58333333333333,0.9650571919503368,0.9666666666666667,0.9354838709677419,1.0,0.014971256256103516,0.0048978328704833984
21_Lymphography,SFF_OD,97.67441860465117,50.0,95.55555555555556,0.6904666436885359,0.6666666666666666,0.5,1.0,0.003944873809814453,0.0018513202667236328
22_magic.gamma,SFF_OD,99.59253687703972,98.46528596503087,99.43333333333332,0.9875310162513434,0.9917993246502653,0.9846743295019157,0.9990281827016521,0.1060330867767334,0.0583343505859375
23_mammography,SFF_OD,99.29733467732483,58.60443423543317,98.63333333333333,0.7544361932691109,0.7354838709677419,0.5876288659793815,0.9827586206896551,0.04440140724182129,0.027709245681762695
24_mnist,SFF_OD,99.373795761079,88.74458874458875,98.86014905743095,0.9361257607369081,0.9403669724770642,0.8874458874458875,1.0,0.10472702980041504,0.024346351623535156
25_musk,SFF_OD,99.21348314606742,67.44186046511628,98.4766050054407,0.8147452194814561,0.8055555555555556,0.6744186046511628,1.0,0.07611823081970215,0.01129460334777832
26_optdigits,SFF_OD,99.43820224719101,75.36231884057972,98.91373801916933,0.8632239061399857,0.859504132231405,0.7536231884057971,1.0,0.05287003517150879,0.013474225997924805
27_PageBlocks,SFF_OD,99.48944860449286,90.85365853658537,99.07292954264524,0.9482929362466521,0.952076677316294,0.9085365853658537,1.0,0.05706667900085449,0.025945186614990234
28_pendigits,SFF_OD,99.47813121272367,70.0,98.98107714701602,0.832282306058546,0.8235294117647058,0.7,1.0,0.036374568939208984,0.009699821472167969
29_Pima,SFF_OD,98.26495726495725,95.86190020941136,96.96969696969697,0.9305891015382333,0.9523809523809523,0.9722222222222222,0.9333333333333333,0.017694473266601562,0.014929533004760742
30_satellite,SFF_OD,99.40431868950111,97.35099337748345,99.17141377524598,0.9807710743655427,0.9865771812080537,0.9735099337748344,1.0,0.028287172317504883,0.010390043258666992
31_satimage-2,SFF_OD,99.56344586728754,60.526315789473685,99.13842619184376,0.7745828265818873,0.7540983606557377,0.6052631578947368,1.0,0.041997671127319336,0.011411666870117188
32_shuttle,SFF_OD,99.36147570060305,83.41013824884793,98.8,0.9074411840284139,0.9095477386934674,0.8341013824884793,1.0,0.1464080810546875,0.05984377861022949
33_skin,SFF_OD,98.61809256313214,94.20679769315848,95.16666666666667,0.8497864913648241,0.8729184925503944,0.9688715953307393,0.7942583732057417,0.02064037322998047,0.015069961547851562
34_smtp,SFF_OD,99.54984994998333,3.571428571428571,99.1,0.18812960948312685,0.06896551724137931,0.03571428571428571,1.0,0.03383636474609375,0.016115665435791016
35_SpamBase,SFF_OD,98.3912483912484,95.10763209393346,98.02058590657165,0.9594140970989535,0.9749247743229689,0.9510763209393346,1.0,0.02515721321105957,0.0054225921630859375
36_speech,SFF_OD,79.38191881918819,4.690831556503198,59.58408679927667,0.16602748687350727,0.08961303462321792,0.046908315565031986,1.0,0.31055545806884766,0.019997596740722656
37_Stamps,SFF_OD,100.0,100.0,98.0392156862745,0.902893898143269,0.9090909090909091,1.0,0.8333333333333334,0.017656326293945312,0.0153656005859375
38_thyroid,SFF_OD,99.44908243080626,67.1011586452763,98.93992932862191,0.800440312057421,0.7931034482758621,0.6764705882352942,0.9583333333333334,0.030889511108398438,0.015529870986938477
39_vertebral,SFF_OD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.016533851623535156,0.015210628509521484
40_vowels,SFF_OD,99.40334128878281,78.26086956521739,98.8558352402746,0.8793575437428568,0.8780487804878049,0.782608695652174,1.0,0.019764184951782227,0.015510320663452148
41_Waveform,SFF_OD,99.45328031809146,71.05263157894737,98.9351403678606,0.8383061143534336,0.8307692307692308,0.7105263157894737,1.0,0.012114286422729492,0.003809690475463867
42_WBC,SFF_OD,98.46153846153847,50.0,97.01492537313433,0.6961432213383857,0.6666666666666666,0.5,1.0,0.01735711097717285,0.016111373901367188
43_WDBC,SFF_OD,98.59813084112149,57.14285714285714,97.2972972972973,0.7452564723723083,0.7272727272727273,0.5714285714285714,1.0,0.005460023880004883,0.0021114349365234375
44_Wilt,SFF_OD,99.43607456038818,83.78018370882508,98.89349930843707,0.9045265950855618,0.9069767441860465,0.8387096774193549,0.9873417721518988,0.031226158142089844,0.015193462371826172
45_wine,SFF_OD,100.0,100.0,100.0,1.0,1.0,1.0,1.0,0.016788005828857422,0.014560461044311523
46_WPBC,SFF_OD,97.82608695652173,87.5,96.66666666666667,0.9148532788043832,0.9333333333333333,0.875,1.0,0.003706216812133789,0.001714944839477539
47_yeast,SFF_OD,99.644128113879,98.80239520958084,99.55156950672645,0.9904502779789136,0.9939759036144579,0.9880239520958084,1.0,0.022745847702026367,0.04006361961364746
