Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,AutoEncoder,91.0842047330765,21.562021701460818,89.53333333333333,0.26660551790496645,0.23786407766990292,0.14714714714714713,0.620253164556962,12.17845892906189,12.422945499420166
2_annthyroid,AutoEncoder,85.8534375,36.70754442888608,89.16666666666667,0.40061092011044946,0.44285714285714284,0.3576923076923077,0.58125,6.167824029922485,6.361940622329712
3_backdoor,AutoEncoder,100.0,100.0,89.06666666666668,0.37832667393338,0.2775330396475771,0.16112531969309463,1.0,10.161214590072632,10.420775890350342
4_breastw,AutoEncoder,84.15336879432624,70.27464537405017,80.48780487804879,0.5183086779759357,0.6153846153846154,0.8,0.5,0.37830448150634766,0.3969440460205078
5_campaign,AutoEncoder,99.81209019670558,98.4662530192005,90.60000000000001,0.6772759624143969,0.6773455377574371,0.5121107266435986,1.0,8.88472318649292,9.1611909866333
6_cardio,AutoEncoder,95.69727891156464,66.57685077100919,89.63636363636364,0.6243310812448882,0.6503067484662577,0.5145631067961165,0.8833333333333333,1.7594451904296875,1.8188517093658447
7_Cardiotocography,AutoEncoder,95.28893014620562,77.4194571835547,88.9763779527559,0.7250521414207507,0.7839506172839507,0.6864864864864865,0.9136690647482014,2.3186190128326416,2.3847668170928955
8_celeba,AutoEncoder,99.5370261843925,85.09473924554335,90.43333333333334,0.38950709935897054,0.2878411910669975,0.1681159420289855,1.0,12.803573846817017,13.117459774017334
9_census,AutoEncoder,99.91982825430478,99.39623577856237,88.9,0.5329986282128449,0.4869029275808937,0.32179226069246436,1.0,10.59053349494934,10.9326491355896
10_cover,AutoEncoder,96.17508417508417,34.60927720242884,89.96666666666667,0.2560014605031355,0.15211267605633802,0.08307692307692308,0.9,9.870001792907715,10.140620708465576
11_donors,AutoEncoder,87.7456440998896,44.344319214914286,88.93333333333334,0.3809696142485171,0.37358490566037733,0.2531969309462916,0.7122302158273381,9.388995170593262,9.646461963653564
12_fault,AutoEncoder,93.13447927199192,90.06506770431508,86.10634648370498,0.7060683880222324,0.8171557562076749,0.793859649122807,0.8418604651162791,1.3079049587249756,1.3622517585754395
13_fraud,AutoEncoder,96.40751862974086,6.631099729691278,88.96666666666667,0.08938694509881077,0.017804154302670624,0.008982035928143712,1.0,9.883257150650024,10.154762029647827
14_glass,AutoEncoder,46.03174603174603,4.126602564102564,76.92307692307693,-0.0890870806374748,0.0,0.0,0.0,0.19655442237854004,0.2046360969543457
15_Hepatitis,AutoEncoder,98.75,95.0,83.33333333333334,0.6324555320336759,0.6666666666666666,0.5,1.0,0.05818653106689453,0.06207084655761719
16_http,AutoEncoder,68.88825938039196,1.2250288682116393,89.16666666666667,0.01042550371930255,0.0121580547112462,0.006329113924050633,0.15384615384615385,10.017402172088623,10.28654146194458
17_InternetAds,AutoEncoder,100.0,99.99999999999997,88.13559322033898,0.7224892668688863,0.7586206896551724,0.6111111111111112,1.0,2.3012802600860596,2.406747579574585
18_Ionosphere,AutoEncoder,89.2460773057788,85.49019621922469,82.0754716981132,0.6063516825647367,0.7246376811594203,0.8333333333333334,0.6410256410256411,0.20929932594299316,0.2211453914642334
19_landsat,AutoEncoder,93.61433370508392,74.28683967034107,88.14085965820819,0.6554458000076275,0.725748502994012,0.6644736842105263,0.7994722955145118,5.600157976150513,5.790446519851685
20_letter,AutoEncoder,96.07768177995261,82.28138466217871,85.83333333333333,0.4415034941144115,0.423728813559322,0.2808988764044944,0.8620689655172413,1.6211450099945068,1.667691707611084
21_Lymphography,AutoEncoder,88.37209302325581,26.666666666666668,84.44444444444444,0.20496119754404388,0.2222222222222222,0.14285714285714285,0.5,0.15857577323913574,0.16457295417785645
22_magic.gamma,AutoEncoder,94.56112661778488,89.56396014623687,88.96666666666667,0.7563461511133728,0.8406355320173327,0.8330152671755725,0.8483965014577259,7.357177019119263,7.707398176193237
23_mammography,AutoEncoder,70.88422138352985,25.120333413361696,88.96666666666667,0.20221977878575637,0.16624685138539042,0.09734513274336283,0.5689655172413793,11.645292520523071,11.958948850631714
24_mnist,AutoEncoder,99.49551200714319,91.5071294107577,91.40727750986409,0.6804089133973527,0.6765676567656765,0.5112219451371571,1.0,8.011337757110596,8.252381086349487
25_musk,AutoEncoder,99.86826811313445,96.85884986071953,88.90097932535365,0.4427223596605148,0.3625,0.22137404580152673,1.0,3.59187388420105,3.7105205059051514
26_optdigits,AutoEncoder,98.77980578575422,70.5814857248418,90.35143769968052,0.480200648954894,0.40784313725490196,0.2561576354679803,1.0,6.282110214233398,6.4435203075408936
27_PageBlocks,AutoEncoder,78.80355078787103,32.73482728384883,84.54882571075402,0.2467772149680673,0.32432432432432434,0.27149321266968324,0.40268456375838924,5.4748053550720215,5.631833791732788
28_pendigits,AutoEncoder,94.26096482330507,56.52468100792017,90.00485201358563,0.34308381343306926,0.27972027972027974,0.16877637130801687,0.8163265306122449,7.2647857666015625,7.463000297546387
29_Pima,AutoEncoder,94.11965811965813,91.42656189177099,89.6103896103896,0.7630769230769231,0.84,0.84,0.84,0.5049784183502197,0.5295608043670654
30_satellite,AutoEncoder,96.08223036049863,90.7678679385635,89.95339202485758,0.776142374025397,0.8462757527733756,0.7922848664688428,0.9081632653061225,4.813945531845093,5.005968809127808
31_satimage-2,AutoEncoder,96.42658298324645,52.15876324615327,90.06318207926479,0.26771531833336426,0.18009478672985782,0.10106382978723404,0.8260869565217391,6.326858997344971,6.501363039016724
32_shuttle,AutoEncoder,92.14074188762523,55.959204557136445,88.56666666666668,0.46333352703512504,0.45984251968503936,0.32158590308370044,0.8066298342541437,9.971275091171265,10.26016902923584
33_skin,AutoEncoder,62.49762244173049,41.85226837234824,77.3,0.23686162521449558,0.36533084808946875,0.43946188340807174,0.31259968102073366,8.455191373825073,8.742778062820435
34_smtp,AutoEncoder,99.69989996665555,10.0,89.43333333333334,0.053030728583608494,0.006269592476489028,0.0031446540880503146,1.0,10.79194951057434,11.07728123664856
35_SpamBase,AutoEncoder,92.81185947852615,84.52783590743813,86.30245447347585,0.7131482988519946,0.8254288597376388,0.80990099009901,0.8415637860082305,2.790492057800293,2.915494680404663
36_speech,AutoEncoder,100.0,100.0,84.81012658227847,0.312800641943572,0.20754716981132076,0.11578947368421053,1.0,4.458406925201416,4.588409185409546
37_Stamps,AutoEncoder,83.7037037037037,48.26113299063897,83.33333333333334,0.3723990332281634,0.45161290322580644,0.3684210526315789,0.5833333333333334,0.3139030933380127,0.32596707344055176
