Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,COPOD,90.96719954584654,21.96419726577009,91.06666666666666,0.3218734886534794,0.2872340425531915,0.18181818181818182,0.6835443037974683,0.05022311210632324,0.18747472763061523
2_annthyroid,COPOD,82.78687500000001,33.0647954237783,88.42592592592592,0.34674939995255877,0.3961352657004831,0.3228346456692913,0.5125,0.006575584411621094,0.02769780158996582
3_backdoor,COPOD,100.0,100.0,91.06666666666666,0.41589010870281773,0.3197969543147208,0.1903323262839879,1.0,0.3530576229095459,1.5321660041809082
4_breastw,COPOD,80.55186170212767,58.24938877954339,71.70731707317073,0.24255539792101863,0.32558139534883723,0.6363636363636364,0.21875,0.00825357437133789,0.012615203857421875
5_campaign,COPOD,99.75699164401087,98.26864883471936,92.93333333333334,0.7303115768052435,0.735,0.5833333333333334,0.9932432432432432,0.08115172386169434,0.36407971382141113
6_cardio,COPOD,93.21088435374149,69.68373939464877,89.81818181818181,0.5932396588040155,0.631578947368421,0.5217391304347826,0.8,0.0076751708984375,0.0216519832611084
7_Cardiotocography,COPOD,93.4483058714319,79.89261503028862,88.66141732283465,0.6774774556382719,0.75,0.7248322147651006,0.7769784172661871,0.0058269500732421875,0.02362966537475586
8_celeba,COPOD,98.94981129421693,75.94815333236627,90.9,0.3923187008182671,0.29457364341085274,0.17325227963525835,0.9827586206896551,0.0807347297668457,0.2832050323486328
9_census,COPOD,98.94084215964867,93.25865798609779,92.43333333333334,0.6012673264217695,0.574108818011257,0.408,0.9683544303797469,1.2120685577392578,4.750849962234497
10_cover,COPOD,88.3872053872054,15.298714872252342,89.23333333333333,0.17778060423451353,0.11019283746556474,0.06006006006006006,0.6666666666666666,0.03230404853820801,0.0824120044708252
11_donors,COPOD,82.01137098011209,32.29758507533741,89.66666666666666,0.30463313207742027,0.3231441048034934,0.23197492163009403,0.5323741007194245,0.012526512145996094,0.04159832000732422
12_fault,COPOD,86.76820020222448,78.47944516896976,77.87307032590051,0.5124092318017862,0.6282420749279539,0.8257575757575758,0.5069767441860465,0.0050716400146484375,0.01903247833251953
13_fraud,COPOD,96.55210766321878,17.74888937440827,89.43333333333334,0.09156081794841821,0.018575851393188854,0.009375,1.0,0.04933977127075195,0.19447612762451172
14_glass,COPOD,33.333333333333336,3.4355179704016914,84.61538461538461,-0.06675015657623451,0.0,0.0,0.0,0.003580808639526367,0.00718998908996582
15_Hepatitis,COPOD,95.0,81.66666666666667,83.33333333333334,0.4,0.5,0.5,0.5,0.0017724037170410156,0.004549264907836914
16_http,COPOD,83.41531250804769,2.059577459772915,89.8,0.09492970455592477,0.04375,0.02280130293159609,0.5384615384615384,0.00571751594543457,0.020937681198120117
17_InternetAds,COPOD,100.0,99.99999999999997,99.83050847457628,0.9944477997494018,0.995475113122172,0.990990990990991,1.0,0.5340802669525146,2.2239460945129395
18_Ionosphere,COPOD,79.48717948717949,69.83493398412593,71.69811320754717,0.35750546260420196,0.4827586206896552,0.7368421052631579,0.358974358974359,0.011474370956420898,0.01687932014465332
19_landsat,COPOD,73.80331447379159,45.5674869750687,79.7514241325738,0.2871563186790615,0.39938556067588327,0.47794117647058826,0.34300791556728233,0.03139829635620117,0.13176512718200684
20_letter,COPOD,89.00527563269362,66.00825990741637,90.20833333333333,0.4593867982215172,0.47191011235955055,0.35,0.7241379310344828,0.007284879684448242,0.02378535270690918
21_Lymphography,COPOD,94.18604651162791,64.28571428571428,88.88888888888889,0.5024855165595914,0.4444444444444444,0.2857142857142857,1.0,0.001728057861328125,0.003997325897216797
22_magic.gamma,COPOD,78.5113494553435,65.18423978089251,71.5,0.3094258022409328,0.40418118466898956,0.7142857142857143,0.2818270165208941,0.00859379768371582,0.03636026382446289
23_mammography,COPOD,70.93403502191799,16.09625414998562,89.2,0.17733090263125803,0.1518324607329843,0.08950617283950617,0.5,0.008613824844360352,0.03237724304199219
24_mnist,COPOD,99.97180318623997,99.71292150544187,93.86234107847436,0.7444000350187633,0.7454545454545455,0.5942028985507246,1.0,0.1230921745300293,0.47511839866638184
