Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,DeepSVDD,86.07291589927154,13.913724796168456,90.0,0.2281236776209374,0.21465968586387435,0.1353135313531353,0.5189873417721519,14.802650213241577,14.805203199386597
2_annthyroid,DeepSVDD,80.7671875,27.140820145718802,88.00925925925925,0.2758329193105753,0.3341902313624679,0.2838427947598253,0.40625,9.655953884124756,9.657816886901855
3_backdoor,DeepSVDD,97.72470558987413,77.93733926981542,90.8,0.3862096427745894,0.29949238578680204,0.1782477341389728,0.9365079365079365,16.85593581199646,16.86722731590271
4_breastw,DeepSVDD,85.52748226950355,65.59088218050417,73.65853658536585,0.31672131987179303,0.425531914893617,0.6666666666666666,0.3125,0.7554190158843994,0.7567329406738281
5_campaign,DeepSVDD,96.21506676795138,77.87675019330452,89.86666666666666,0.6174522446767807,0.6354916067146283,0.49256505576208176,0.8952702702702703,14.524080514907837,14.528672933578491
6_cardio,DeepSVDD,92.23469387755102,57.69929585906448,88.36363636363636,0.5830978889715639,0.6144578313253012,0.4811320754716981,0.85,2.738422155380249,2.7399394512176514
7_Cardiotocography,DeepSVDD,94.65653283824554,81.7877188364818,89.29133858267716,0.717482097082583,0.7806451612903226,0.7076023391812866,0.8705035971223022,2.866452693939209,2.8680858612060547
8_celeba,DeepSVDD,93.78091375794088,32.20206250302095,89.96666666666667,0.2971747112791062,0.23017902813299232,0.13513513513513514,0.7758620689655172,16.070284605026245,16.073129415512085
9_census,DeepSVDD,96.13527645890306,75.78531247957166,90.23333333333333,0.5021279075226415,0.48324514991181655,0.33496332518337407,0.8670886075949367,16.34512686729431,16.3716983795166
10_cover,DeepSVDD,85.34904601571269,9.883628808961925,89.36666666666667,0.14883014202718617,0.09631728045325778,0.05263157894736842,0.5666666666666667,15.559053659439087,15.561136722564697
11_donors,DeepSVDD,75.84886302771834,28.36657811549727,89.53333333333333,0.27484594552098673,0.29910714285714285,0.2168284789644013,0.48201438848920863,15.671576499938965,15.673965454101562
12_fault,DeepSVDD,87.54423660262891,80.06040445986085,80.61749571183533,0.575526959044133,0.7196029776674938,0.7712765957446809,0.6744186046511628,2.234663963317871,2.2362966537475586
13_fraud,DeepSVDD,94.04960516071627,4.839092307188901,89.06666666666668,0.05639736493013139,0.012048192771084338,0.0060790273556231,0.6666666666666666,14.54715609550476,14.549880266189575
14_glass,DeepSVDD,18.253968253968257,2.7579737335834897,81.53846153846153,-0.07597371763975863,0.0,0.0,0.0,0.37331414222717285,0.37447285652160645
15_Hepatitis,DeepSVDD,100.0,100.0,95.83333333333334,0.8451542547285166,0.8571428571428571,1.0,0.75,0.1638779640197754,0.16498732566833496
