Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,IForest,90.61401722143015,17.930589110694058,90.26666666666667,0.28436238742232617,0.25510204081632654,0.1597444089456869,0.6329113924050633,0.19275879859924316,0.22869467735290527
2_annthyroid,IForest,84.11843750000001,31.672353806173813,88.33333333333333,0.35171666918787825,0.4,0.3230769230769231,0.525,0.20380187034606934,0.2485196590423584
3_backdoor,IForest,99.99945955002134,99.97519841269842,90.0,0.39474810500206536,0.29577464788732394,0.17355371900826447,1.0,0.29871273040771484,0.35196495056152344
4_breastw,IForest,79.49911347517731,59.48894531120769,75.1219512195122,0.3637084837560066,0.4742268041237113,0.696969696969697,0.359375,0.14626646041870117,0.16452646255493164
5_campaign,IForest,98.87216636014712,92.19863784837835,90.9,0.67703255036678,0.6807017543859649,0.5205724508050089,0.9831081081081081,0.24634981155395508,0.3035459518432617
6_cardio,IForest,93.26530612244898,69.65438236577685,88.72727272727273,0.553813451628019,0.5974025974025974,0.48936170212765956,0.7666666666666667,0.14818382263183594,0.17195606231689453
7_Cardiotocography,IForest,94.79432582965886,80.95386844831857,87.55905511811024,0.6963149420870165,0.7613293051359517,0.65625,0.9064748201438849,0.17655110359191895,0.2009108066558838
8_celeba,IForest,98.36083827562766,58.33784535049242,90.96666666666667,0.4000660125420576,0.2997416020671835,0.1762917933130699,1.0,0.27771806716918945,0.3219437599182129
9_census,IForest,95.82995572738042,81.33090371412884,89.03333333333333,0.473932620742679,0.4525790349417637,0.30699774266365687,0.8607594936708861,0.3573572635650635,0.41379737854003906
10_cover,IForest,92.25252525252526,17.138866532287988,88.96666666666667,0.21430410286891421,0.1266490765171504,0.06876790830945559,0.8,0.279186487197876,0.3379993438720703
11_donors,IForest,81.76318085692229,23.783586367724084,88.56666666666668,0.27288622893378905,0.2927835051546392,0.20520231213872833,0.5107913669064749,0.2835071086883545,0.3385009765625
12_fault,IForest,90.85945399393327,84.56670120176778,83.53344768439108,0.6396406873904168,0.7538461538461538,0.84,0.6837209302325581,0.19722771644592285,0.2232837677001953
13_fraud,IForest,94.06072739406072,6.2224376930259275,89.1,0.056506496383531356,0.012084592145015106,0.006097560975609756,0.6666666666666666,0.24483418464660645,0.2955596446990967
14_glass,IForest,49.20634920634921,4.419642857142857,73.84615384615385,-0.09759000729485331,0.0,0.0,0.0,0.17350983619689941,0.19068050384521484
