Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,KNN,79.5739277774648,25.36775453668556,90.7,0.2274319661343473,0.2184873949579832,0.14028776978417265,0.4936708860759494,1.6355109214782715,1.705620288848877
2_annthyroid,KNN,83.2615625,41.58240146065968,88.37962962962963,0.35615660053584003,0.40380047505938244,0.32567049808429116,0.53125,0.04244184494018555,0.07499217987060547
3_backdoor,KNN,80.14927228410373,65.31351474444278,90.03333333333333,0.29137607058288645,0.23529411764705882,0.1402439024390244,0.7301587301587301,0.36264729499816895,0.5741255283355713
4_breastw,KNN,79.32180851063832,62.30531032194448,78.04878048780488,0.45265665757325396,0.5714285714285714,0.7317073170731707,0.46875,0.004402875900268555,0.00855255126953125
5_campaign,KNN,99.99025467775469,99.91754224472035,89.53333333333333,0.6549023440339529,0.6534216335540839,0.4852459016393443,1.0,0.10942506790161133,0.18011140823364258
6_cardio,KNN,96.69047619047619,81.03323728453594,91.45454545454545,0.6861539864395926,0.7044025157232704,0.5656565656565656,0.9333333333333333,0.015670299530029297,0.03208446502685547
7_Cardiotocography,KNN,93.94436064051985,78.01434932183092,87.24409448818898,0.6701677885745587,0.7444794952681388,0.6629213483146067,0.8489208633093526,0.016450881958007812,0.03203725814819336
8_celeba,KNN,99.9894512295178,99.49844329860154,90.56666666666666,0.3920799568920276,0.2907268170426065,0.17008797653958943,1.0,0.10222768783569336,0.17342400550842285
9_census,KNN,94.6460862826143,85.01889738422128,89.33333333333333,0.47711152011601937,0.4576271186440678,0.3125,0.8544303797468354,0.7757301330566406,1.1119678020477295
10_cover,KNN,93.19416386083053,44.84181956776718,90.53333333333333,0.2335949460826332,0.14457831325301204,0.07947019867549669,0.8,0.09101223945617676,0.1384727954864502
11_donors,KNN,85.3024675680637,46.00876442677291,90.93333333333334,0.4094546529053399,0.41125541125541126,0.29411764705882354,0.6834532374100719,0.15471243858337402,0.291658878326416
12_fault,KNN,89.9191102123357,87.9596872266556,86.79245283018868,0.7146184616111646,0.817966903073286,0.8317307692307693,0.8046511627906977,0.011589765548706055,0.026140689849853516
13_fraud,KNN,99.31042153264376,38.38095238095238,89.33333333333333,0.09108359851539101,0.018404907975460124,0.009287925696594427,1.0,0.09677553176879883,0.15948200225830078
14_glass,KNN,50.0,4.470046082949308,81.53846153846153,-0.07597371763975863,0.0,0.0,0.0,0.002034902572631836,0.0036611557006835938
15_Hepatitis,KNN,83.75,60.71428571428571,87.5,0.4662524041201569,0.4,1.0,0.25,0.0029053688049316406,0.007067680358886719
16_http,KNN,69.29772604362495,1.5271954543927915,89.96666666666667,0.04624083676375775,0.025889967637540454,0.013513513513513514,0.3076923076923077,0.07629156112670898,0.12664532661437988
17_InternetAds,KNN,100.0,99.99999999999997,93.05084745762711,0.8162430761616899,0.842911877394636,0.7284768211920529,1.0,0.20243096351623535,0.2720518112182617
18_Ionosphere,KNN,97.51243781094527,95.48729533643281,91.50943396226415,0.816637690274383,0.8831168831168831,0.8947368421052632,0.8717948717948718,0.004340410232543945,0.008864402770996094
19_landsat,KNN,92.23386965155183,70.50831079570472,86.48368720870016,0.582474290592327,0.6666666666666666,0.6460396039603961,0.6886543535620053,0.039728403091430664,0.07480502128601074
20_letter,KNN,97.34689196421743,84.40628862378048,88.54166666666666,0.5045663696654874,0.48598130841121495,0.3333333333333333,0.896551724137931,0.01736617088317871,0.029848337173461914
21_Lymphography,KNN,80.23255813953489,55.263157894736835,84.44444444444444,0.20496119754404388,0.2222222222222222,0.14285714285714285,0.5,0.0029430389404296875,0.007310152053833008
22_magic.gamma,KNN,94.28146412584023,89.23582804892608,87.93333333333334,0.731903166407118,0.8235867446393762,0.8260019550342131,0.8211856171039844,0.19978594779968262,0.480776309967041
23_mammography,KNN,71.03424834149887,24.182056455771193,88.23333333333333,0.17340423451984865,0.14527845036319612,0.08450704225352113,0.5172413793103449,0.14700078964233398,0.25555920600891113
24_mnist,KNN,99.8688848160158,99.11160930741065,91.71416045594037,0.685757396683916,0.6834170854271356,0.5204081632653061,0.9951219512195122,0.1634371280670166,0.23267507553100586
25_musk,KNN,99.89926385122045,97.63547834668522,90.75081610446138,0.47967767941454553,0.40559440559440557,0.2543859649122807,1.0,0.0545649528503418,0.07620024681091309
26_optdigits,KNN,99.93009303980884,98.28552451464584,90.03194888178913,0.47352233022747525,0.4,0.25,1.0,0.049895286560058594,0.07787013053894043
27_PageBlocks,KNN,70.745290820126,19.638674686994584,83.80716934487022,0.11254449767788276,0.20121951219512196,0.18435754189944134,0.2214765100671141,0.0331568717956543,0.05918693542480469
28_pendigits,KNN,91.87527893861322,44.91657912828739,90.5870936438622,0.2763186781486178,0.2421875,0.1497584541062802,0.6326530612244898,0.0440213680267334,0.07499265670776367
29_Pima,KNN,92.2051282051282,84.14450990474604,87.87878787878788,0.7202864483759056,0.8082191780821918,0.8309859154929577,0.7866666666666666,0.002901792526245117,0.006059885025024414
30_satellite,KNN,95.14755269196286,88.94949099089897,87.88192646297254,0.7147393882029452,0.8020304568527918,0.797979797979798,0.8061224489795918,0.030297517776489258,0.05424380302429199
31_satimage-2,KNN,96.0722781798856,59.914590131489085,91.09707064905227,0.2688607426928288,0.18848167539267016,0.10714285714285714,0.782608695652174,0.04814553260803223,0.07313656806945801
32_shuttle,KNN,92.29086761302057,51.5856188340812,89.33333333333333,0.4815223271262346,0.4788273615635179,0.3394919168591224,0.8121546961325967,0.1202394962310791,0.24854040145874023
33_skin,KNN,73.21562151557495,44.369995414770436,76.43333333333334,0.17187881935268612,0.2951146560319043,0.39361702127659576,0.23604465709728867,0.0186007022857666,0.03954339027404785
34_smtp,KNN,99.76658886295432,12.5,89.56666666666668,0.05340721692245951,0.006349206349206349,0.0031847133757961785,1.0,0.04256105422973633,0.06615591049194336
35_SpamBase,KNN,88.86373145632405,76.99534595067946,74.50514647664292,0.4453254078400372,0.5934343434343434,0.7679738562091504,0.4835390946502058,0.02093505859375,0.03635382652282715
36_speech,KNN,100.0,100.0,88.51717902350813,0.36104350278970454,0.2573099415204678,0.1476510067114094,1.0,0.14765167236328125,0.19783520698547363
37_Stamps,KNN,81.11111111111111,45.56761618995661,78.43137254901961,0.2996020627622514,0.3888888888888889,0.2916666666666667,0.5833333333333334,0.002979278564453125,0.005280733108520508
38_thyroid,KNN,72.49548736462094,8.407357896398981,89.66431095406361,0.13705627540115276,0.13333333333333333,0.08108108108108109,0.375,0.027849674224853516,0.052095651626586914
39_vertebral,KNN,86.41975308641976,48.357023690357025,83.33333333333334,0.30641428955017175,0.4,0.36363636363636365,0.4444444444444444,0.0012531280517578125,0.0024209022521972656
40_vowels,KNN,99.11164147440998,89.1763269457235,89.93135011441647,0.5097403703921078,0.45,0.2903225806451613,1.0,0.025556325912475586,0.03969287872314453
41_Waveform,KNN,100.0,100.0,90.80348499515974,0.4476743017148354,0.3624161073825503,0.22131147540983606,1.0,0.016807079315185547,0.027112245559692383
42_WBC,KNN,93.84615384615384,26.785714285714285,91.04477611940298,0.47636443708895493,0.4,0.25,1.0,0.0021562576293945312,0.003960371017456055
43_WDBC,KNN,90.18691588785047,31.452702702702705,89.1891891891892,0.3633356393316354,0.3333333333333333,0.21428571428571427,0.75,0.0034863948822021484,0.00790262222290039
44_Wilt,KNN,85.57128702786292,26.551117316808487,87.13692946058092,0.297080698230166,0.32116788321167883,0.22564102564102564,0.5569620253164557,0.024501800537109375,0.042627811431884766
45_wine,KNN,80.55555555555554,46.25,89.74358974358975,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0014700889587402344,0.0026710033416748047
46_WPBC,KNN,99.06832298136645,97.61009667024703,91.66666666666666,0.8104014882034583,0.8484848484848485,0.7368421052631579,1.0,0.002989053726196289,0.007086515426635742
47_yeast,KNN,94.79348646608432,90.12527540386401,89.46188340807176,0.7742372248570835,0.8580060422960725,0.8554216867469879,0.8606060606060606,0.01354837417602539,0.030495166778564453
