Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,NeuTraLAD,63.54096698286956,16.00840289113871,95.39999999999999,0.16512215791012658,0.18823529411764706,0.17582417582417584,0.20253164556962025,90.74942898750305,90.78395366668701
2_annthyroid,NeuTraLAD,72.5009375,25.199517537000986,90.92592592592592,0.22710998958306758,0.26865671641791045,0.3333333333333333,0.225,64.63543510437012,64.66960120201111
3_backdoor,NeuTraLAD,89.02832498338115,30.319939928194,95.16666666666667,0.32906835150093955,0.3192488262910798,0.22666666666666666,0.5396825396825397,137.10271048545837,137.17355060577393
4_breastw,NeuTraLAD,80.08643617021278,67.27222147532726,72.1951219512195,0.26000930687408697,0.24,0.8181818181818182,0.140625,4.838405609130859,4.848641872406006
5_campaign,NeuTraLAD,86.01296377738686,42.98170969711359,90.26666666666667,0.31900271603170927,0.3452914798206278,0.5133333333333333,0.26013513513513514,105.97963857650757,106.0227062702179
6_cardio,NeuTraLAD,66.15306122448979,24.318444521835392,87.27272727272727,0.15774653202422992,0.20454545454545456,0.32142857142857145,0.15,17.957958936691284,17.98013401031494
7_Cardiotocography,NeuTraLAD,92.41413320956138,78.29463500426904,82.20472440944881,0.3829316380800347,0.3391812865497076,0.90625,0.20863309352517986,17.09089756011963,17.105506658554077
8_celeba,NeuTraLAD,94.85923251834313,38.409970549037084,95.86666666666666,0.4343047923313104,0.40384615384615385,0.28,0.7241379310344828,116.66607117652893,116.70658445358276
9_census,NeuTraLAD,90.37137334200376,55.104510184079146,95.19999999999999,0.5073770544943473,0.5324675324675324,0.5466666666666666,0.5189873417721519,153.37226843833923,153.54277086257935
10_cover,NeuTraLAD,85.94163860830528,21.251994798606013,94.8,0.16140004156875074,0.13333333333333333,0.08,0.4,86.94132852554321,86.97049856185913
11_donors,NeuTraLAD,75.62506443639218,16.81276054600871,92.9,0.22591677025655993,0.2629757785467128,0.25333333333333335,0.2733812949640288,81.65086126327515,81.68187379837036
12_fault,NeuTraLAD,66.56471183013146,55.51052470940887,65.52315608919382,0.1759875624620226,0.17959183673469387,0.7333333333333333,0.10232558139534884,11.766063928604126,11.776129245758057
13_fraud,NeuTraLAD,90.82415749082415,7.382224380767363,95.03333333333333,0.08952017546358701,0.026143790849673203,0.013333333333333334,0.6666666666666666,88.1151487827301,88.14448094367981
14_glass,NeuTraLAD,53.968253968253975,4.849137931034483,90.76923076923077,-0.04562572738861032,0.0,0.0,0.0,2.2164793014526367,2.220998764038086
15_Hepatitis,NeuTraLAD,82.5,56.547619047619044,83.33333333333334,0.26967994498529685,0.3333333333333333,0.5,0.25,0.9495744705200195,0.9529941082000732
16_http,NeuTraLAD,70.63171177667328,1.614366423620274,94.76666666666667,0.05471819590892515,0.03680981595092025,0.02,0.23076923076923078,85.36439990997314,85.39156222343445
17_InternetAds,NeuTraLAD,93.74337121212122,86.93739635239271,86.4406779661017,0.48349377841522817,0.42857142857142855,1.0,0.2727272727272727,97.09083533287048,97.3575541973114
18_Ionosphere,NeuTraLAD,92.72866437045542,87.06497021244914,66.98113207547169,0.23639940602349502,0.2222222222222222,0.8333333333333334,0.1282051282051282,5.092667818069458,5.11416220664978
19_landsat,NeuTraLAD,69.35335799581101,32.1453687462908,79.07819782496117,0.10125117899672736,0.15126050420168066,0.3711340206185567,0.09498680738786279,68.18507790565491,68.20782852172852
20_letter,NeuTraLAD,95.69538955577644,73.99479369097004,96.875,0.7041141079079599,0.7169811320754716,0.7916666666666666,0.6551724137931034,13.95388150215149,13.963075399398804
21_Lymphography,NeuTraLAD,46.51162790697674,5.948275862068965,88.88888888888889,-0.05763904177042349,0.0,0.0,0.0,1.400416612625122,1.404371976852417
22_magic.gamma,NeuTraLAD,64.71716467988949,49.062462114875316,67.30000000000001,0.15319786642058392,0.16793893129770993,0.66,0.09620991253644315,55.717933177948,55.74847984313965
23_mammography,NeuTraLAD,55.354673105323606,6.08011695376515,93.60000000000001,0.05664845117364918,0.07692307692307693,0.05333333333333334,0.13793103448275862,84.16172957420349,84.194899559021
24_mnist,NeuTraLAD,81.93101179566709,30.762624485447333,89.96054362121878,0.24449149956644906,0.28213166144200624,0.39473684210526316,0.21951219512195122,66.1089026927948,66.14080548286438
25_musk,NeuTraLAD,95.95118171251454,62.14601150383729,96.40914036996736,0.5580166808936189,0.56,0.45652173913043476,0.7241379310344828,30.82945942878723,30.848788499832153
26_optdigits,NeuTraLAD,96.41822156693274,71.53558684250798,96.74121405750799,0.6086286402906103,0.6106870229007634,0.5063291139240507,0.7692307692307693,46.90564036369324,46.92837381362915
27_PageBlocks,NeuTraLAD,71.90939368880808,24.372209610626317,89.49320148331273,0.22093483461502272,0.2608695652173913,0.37037037037037035,0.20134228187919462,41.91983914375305,41.93723511695862
28_pendigits,NeuTraLAD,92.33780987544124,28.867470525290766,95.14798641436197,0.3442340610951326,0.34210526315789475,0.2524271844660194,0.5306122448979592,57.791184186935425,57.81392812728882
29_Pima,NeuTraLAD,87.38461538461539,78.86024419833775,72.72727272727273,0.33759828604382164,0.27586206896551724,1.0,0.16,4.401043891906738,4.4067277908325195
30_satellite,NeuTraLAD,94.9579831932773,89.85800514743788,74.57276022786121,0.3475646066487845,0.2832116788321168,1.0,0.1649659863945578,39.628729820251465,39.65023350715637
31_satimage-2,NeuTraLAD,94.15270537024853,32.045245552071826,95.29006318207927,0.29670259584044223,0.2545454545454545,0.16091954022988506,0.6086956521739131,52.14876103401184,52.169612407684326
32_shuttle,NeuTraLAD,91.18961898247684,47.49549948190004,94.56666666666666,0.48143538466377056,0.5075528700906344,0.56,0.46408839779005523,78.55535173416138,78.58335256576538
33_skin,NeuTraLAD,57.73686025199765,25.90729857986488,77.10000000000001,0.051345596909595476,0.11583011583011583,0.3,0.07177033492822966,66.8494725227356,66.87566208839417
34_smtp,NeuTraLAD,99.0330110036679,3.3333333333333335,95.03333333333333,0.07959550959936619,0.013245033112582781,0.006666666666666667,1.0,85.47095894813538,85.49644374847412
35_SpamBase,NeuTraLAD,72.9634396301063,60.568195810515626,64.37054631828978,0.18825460381213133,0.18181818181818182,0.78125,0.102880658436214,23.129626989364624,23.146324634552002
36_speech,NeuTraLAD,26.86179134518618,6.356186129456217,93.30922242314648,0.026170464508076457,0.05128205128205128,0.03571428571428571,0.09090909090909091,51.173072814941406,51.229355573654175
37_Stamps,NeuTraLAD,60.83333333333334,25.473424573871768,86.27450980392157,0.16735967034880075,0.2222222222222222,0.3333333333333333,0.16666666666666666,3.0374233722686768,3.0427703857421875
38_thyroid,NeuTraLAD,68.24608904933814,9.425278730002857,94.25795053003534,0.1904566818044299,0.19753086419753085,0.14035087719298245,0.3333333333333333,32.8792359828949,32.893832206726074
39_vertebral,NeuTraLAD,79.54144620811287,40.045240303304816,87.5,0.27500954910846337,0.3076923076923077,0.5,0.2222222222222222,2.2473676204681396,2.251732110977173
40_vowels,NeuTraLAD,61.893396976929196,5.908223353117403,91.30434782608695,0.004940890212788571,0.05,0.045454545454545456,0.05555555555555555,12.209856748580933,12.217810869216919
41_Waveform,NeuTraLAD,88.39187099624475,21.660334502538333,94.28848015488867,0.23979484056007921,0.25316455696202533,0.19230769230769232,0.37037037037037035,29.2109637260437,29.22433614730835
42_WBC,NeuTraLAD,82.3076923076923,54.0,94.02985074626866,0.32597182586479967,0.3333333333333333,0.25,0.5,2.260258436203003,2.2659685611724854
