Dataset,Model,AUCROC,AUCPR,Accuracy,MCC,F1 Score,Precision,Recall,Time Train,Time Test
1_ALOI,OCSVM,75.4947802685919,12.685418385355396,89.53333333333333,0.16156057068145693,0.16489361702127658,0.10437710437710437,0.3924050632911392,5.596540451049805,8.632570028305054
2_annthyroid,OCSVM,75.0321875,38.00857993176621,85.64814814814815,0.2733740163554541,0.329004329004329,0.25165562913907286,0.475,2.1067824363708496,3.3137569427490234
3_backdoor,OCSVM,93.76158589641736,38.13503388847196,90.83333333333333,0.32451049799867915,0.26273458445040215,0.15806451612903225,0.7777777777777778,12.168795347213745,17.698938846588135
4_breastw,OCSVM,86.4029255319149,68.82776341131684,80.97560975609757,0.5320044892197147,0.6355140186915887,0.7906976744186046,0.53125,0.010004043579101562,0.01817607879638672
5_campaign,OCSVM,99.97901007516393,99.82402408569604,89.96666666666667,0.6637923327883931,0.6629339305711086,0.49581239530988275,1.0,5.256733179092407,8.454659938812256
6_cardio,OCSVM,96.43537414965986,82.49423071464007,91.0909090909091,0.6709735885095132,0.6918238993710691,0.5555555555555556,0.9166666666666666,0.14518141746520996,0.2478806972503662
7_Cardiotocography,OCSVM,89.4269262009747,58.48232410684718,21.88976377952756,0.0,0.35917312661498707,0.2188976377952756,1.0,0.26442551612854004,0.4499170780181885
8_celeba,OCSVM,99.96366534611688,98.36453050719062,90.2,0.38510603209312955,0.28292682926829266,0.16477272727272727,1.0,5.437443733215332,8.390460729598999
9_census,OCSVM,99.77240132194301,97.41857996911195,90.4,0.5642343522981066,0.5231788079470199,0.3542600896860987,1.0,22.669140338897705,33.690457582473755
10_cover,OCSVM,50.0,1.0,1.0,0.0,0.019801980198019802,0.01,1.0,11.496474981307983,18.316134214401245
11_donors,OCSVM,82.11547504394247,38.25415109375723,89.73333333333333,0.32488949550224283,0.33905579399141633,0.2415902140672783,0.5683453237410072,4.031074523925781,6.558611154556274
12_fault,OCSVM,92.55182002022244,88.56240822790554,86.27787307032591,0.7037119386964277,0.8113207547169812,0.8229665071770335,0.8,0.08332967758178711,0.1374497413635254
13_fraud,OCSVM,99.68857746635524,44.907407407407405,89.83333333333333,0.09353613605986057,0.01929260450160772,0.00974025974025974,1.0,5.932069540023804,9.231330156326294
14_glass,OCSVM,11.111111111111116,2.5562994522215456,81.53846153846153,-0.07597371763975863,0.0,0.0,0.0,0.0034379959106445312,0.005408763885498047
15_Hepatitis,OCSVM,79.375,35.81730769230769,16.666666666666664,0.0,0.2857142857142857,0.16666666666666666,1.0,0.0018777847290039062,0.0028624534606933594
16_http,OCSVM,61.21140326028174,0.6866433125344916,89.13333333333333,0.010339452090938115,0.012121212121212121,0.006309148264984227,0.15384615384615385,4.4278724193573,6.676726818084717
17_InternetAds,OCSVM,100.0,99.99999999999997,91.86440677966101,0.7915695032535125,0.8208955223880597,0.6962025316455697,1.0,1.4498226642608643,2.168673038482666
18_Ionosphere,OCSVM,79.14274779946422,78.124550069366,78.30188679245283,0.519069682099962,0.6567164179104478,0.7857142857142857,0.5641025641025641,0.004320383071899414,0.0072667598724365234
19_landsat,OCSVM,85.3631708511275,62.82544175247885,82.59968928016572,0.4353139013324323,0.5422343324250681,0.5605633802816902,0.525065963060686,1.3752021789550781,2.384343147277832
20_letter,OCSVM,98.46318525881183,88.086805020867,41.25,0.1869277961777757,0.17058823529411765,0.0932475884244373,1.0,0.15836691856384277,0.2509803771972656
21_Lymphography,OCSVM,91.86046511627907,61.111111111111114,91.11111111111111,0.3115520221521443,0.3333333333333333,0.25,0.5,0.0024330615997314453,0.003737211227416992
